trial_index,alarm_minus_tomo_intervals
0,0
1,-1
2,2
3,0
4,1
5,-1
6,1
7,1
8,1
9,0
10,0
11,1
12,1
13,1
14,0
15,0
16,2
17,-1
18,0
19,0
20,0
21,0
22,2
23,2
24,1
25,1
26,1
27,2
28,1
29,0
30,1
31,2
32,1
33,1
34,0
35,0
36,2
37,1
38,2
39,1
40,2
41,1
42,1
43,1
44,1
45,0
46,0
47,0
48,1
49,2
50,-1
51,1
52,-1
53,2
54,1
55,0
56,1
57,1
58,0
59,-2
60,1
61,1
62,1
63,0
64,0
65,2
66,2
67,3
68,1
69,-1
70,-1
71,1
72,1
73,2
74,2
75,0
76,1
77,1
78,0
79,1
80,0
81,-2
82,1
83,1
84,1
85,0
86,0
87,0
88,1
89,2
90,0
91,2
92,1
93,0
94,0
95,1
96,2
97,0
98,1
99,1
