exponent,shell_index,shell,allocated_ledgers,shell_volume,ledgers_per_unit_volume,atoms_per_unit_volume
0,0,core,2,0.08244795760081053,24.257726427662757,3929.7516812813665
0,1,heavy_shell,3,0.5065294555137942,5.922656555001274,959.4703619102065
0,2,fusion_shell,4,1.2498009558217058,3.2005096342482173,518.4825607482112
0,3,outer_light_shell,5,2.3500118358500797,2.1276488584966335,344.67911507645465
1,0,core,5,0.08244795760081053,60.64431606915689,9824.379203203416
1,1,heavy_shell,5,0.5065294555137942,9.871094258335457,1599.1172698503442
1,2,fusion_shell,5,1.2498009558217058,4.000637042810272,648.103200935264
1,3,outer_light_shell,6,2.3500118358500797,2.5531786301959603,413.61493809174556
2,0,core,11,0.08244795760081053,133.41749535214515,21613.634247047517
2,1,heavy_shell,9,0.5065294555137942,17.767969665003825,2878.4110857306196
2,2,fusion_shell,7,1.2498009558217058,5.60089185993438,907.3444813093696
2,3,outer_light_shell,6,2.3500118358500797,2.5531786301959603,413.61493809174556
3,0,core,24,0.08244795760081053,291.09271713195307,47157.0201753764
3,1,heavy_shell,16,0.5065294555137942,31.587501626673465,5117.175263521101
3,2,fusion_shell,9,1.2498009558217058,7.201146677058489,1166.585761683475
3,3,outer_light_shell,7,2.3500118358500797,2.978708401895287,482.55076110703646
