link_id,link_type,left_node_id,right_node_id,left_coordinate,right_coordinate
0,cell_face,CELL_+0_+0_+0,FACE_-1_-1_-1,"[0,0,0]","[-1,-1,-1]"
1,cell_face,CELL_+0_+0_+0,FACE_-1_-1_+1,"[0,0,0]","[-1,-1,1]"
2,cell_face,CELL_+0_+0_+0,FACE_-1_+1_-1,"[0,0,0]","[-1,1,-1]"
3,cell_face,CELL_+0_+0_+0,FACE_-1_+1_+1,"[0,0,0]","[-1,1,1]"
4,cell_face,CELL_+0_+0_+0,FACE_+1_-1_-1,"[0,0,0]","[1,-1,-1]"
5,cell_face,CELL_+0_+0_+0,FACE_+1_-1_+1,"[0,0,0]","[1,-1,1]"
6,cell_face,CELL_+0_+0_+0,FACE_+1_+1_-1,"[0,0,0]","[1,1,-1]"
7,cell_face,CELL_+0_+0_+0,FACE_+1_+1_+1,"[0,0,0]","[1,1,1]"
8,face_edge,FACE_-1_-1_-1,EDGE_-1_-1_+0,"[-1,-1,-1]","[-1,-1,0]"
9,face_edge,FACE_-1_-1_-1,EDGE_-1_+0_-1,"[-1,-1,-1]","[-1,0,-1]"
10,face_edge,FACE_-1_-1_-1,EDGE_+0_-1_-1,"[-1,-1,-1]","[0,-1,-1]"
11,face_edge,FACE_-1_-1_+1,EDGE_-1_-1_+0,"[-1,-1,1]","[-1,-1,0]"
12,face_edge,FACE_-1_-1_+1,EDGE_-1_+0_+1,"[-1,-1,1]","[-1,0,1]"
13,face_edge,FACE_-1_-1_+1,EDGE_+0_-1_+1,"[-1,-1,1]","[0,-1,1]"
14,face_edge,FACE_-1_+1_-1,EDGE_-1_+0_-1,"[-1,1,-1]","[-1,0,-1]"
15,face_edge,FACE_-1_+1_-1,EDGE_-1_+1_+0,"[-1,1,-1]","[-1,1,0]"
16,face_edge,FACE_-1_+1_-1,EDGE_+0_+1_-1,"[-1,1,-1]","[0,1,-1]"
17,face_edge,FACE_-1_+1_+1,EDGE_-1_+0_+1,"[-1,1,1]","[-1,0,1]"
