route,dimension,side,hemisphere,route_point,endpoint_1,endpoint_2,route_point_incident,antipodal_route
0,0,0,0,"[-1,0,0]","[-1,0,0]","[0,-1,0]",True,3
1,1,1,0,"[0,1,0]","[0,0,1]","[0,1,0]",True,4
2,2,0,0,"[0,0,-1]","[-1,0,0]","[0,0,-1]",True,5
3,0,1,0,"[1,0,0]","[0,1,0]","[1,0,0]",True,0
4,1,0,0,"[0,-1,0]","[0,-1,0]","[0,0,-1]",True,1
5,2,1,0,"[0,0,1]","[0,0,1]","[1,0,0]",True,2
6,0,0,1,"[-1,0,0]","[-1,0,0]","[0,0,1]",True,9
7,1,1,1,"[0,1,0]","[-1,0,0]","[0,1,0]",True,10
8,2,0,1,"[0,0,-1]","[0,0,-1]","[0,1,0]",True,11
9,0,1,1,"[1,0,0]","[0,0,-1]","[1,0,0]",True,6
10,1,0,1,"[0,-1,0]","[0,-1,0]","[1,0,0]",True,7
11,2,1,1,"[0,0,1]","[0,-1,0]","[0,0,1]",True,8
