slot,block,kind,q,residue,dimension,side,k18_channel,partner_slot,partner_block,partner_kind,partner_q,partner_residue,partner_dimension,partner_side,partner_k18_channel,image_in_boundary,image_in_ledger,block_swapped,kind_flipped,q_preserved,dimension_preserved,side_flipped,channel_preserved,round_trip_slot,round_trip_identity,fixed_point
0,0,carrier,0,0,0,0,edge,147,8,ledger_shadow,0,3,0,1,edge,True,True,True,True,True,True,True,True,0,True,False
1,0,carrier,0,1,1,1,edge,148,8,ledger_shadow,0,4,1,0,edge,True,True,True,True,True,True,True,True,1,True,False
2,0,carrier,0,2,2,0,edge,149,8,ledger_shadow,0,5,2,1,edge,True,True,True,True,True,True,True,True,2,True,False
3,0,carrier,0,3,0,1,edge,144,8,ledger_shadow,0,0,0,0,edge,True,True,True,True,True,True,True,True,3,True,False
4,0,carrier,0,4,1,0,edge,145,8,ledger_shadow,0,1,1,1,edge,True,True,True,True,True,True,True,True,4,True,False
5,0,carrier,0,5,2,1,edge,146,8,ledger_shadow,0,2,2,0,edge,True,True,True,True,True,True,True,True,5,True,False
6,0,carrier,1,0,0,0,edge,153,8,ledger_shadow,1,3,0,1,edge,True,True,True,True,True,True,True,True,6,True,False
7,0,carrier,1,1,1,1,edge,154,8,ledger_shadow,1,4,1,0,edge,True,True,True,True,True,True,True,True,7,True,False
8,0,carrier,1,2,2,0,edge,155,8,ledger_shadow,1,5,2,1,edge,True,True,True,True,True,True,True,True,8,True,False
9,0,carrier,1,3,0,1,edge,150,8,ledger_shadow,1,0,0,0,edge,True,True,True,True,True,True,True,True,9,True,False
10,0,carrier,1,4,1,0,edge,151,8,ledger_shadow,1,1,1,1,edge,True,True,True,True,True,True,True,True,10,True,False
11,0,carrier,1,5,2,1,edge,152,8,ledger_shadow,1,2,2,0,edge,True,True,True,True,True,True,True,True,11,True,False
12,0,carrier,2,0,0,0,point,159,8,ledger_shadow,2,3,0,1,point,True,True,True,True,True,True,True,True,12,True,False
13,0,carrier,2,1,1,1,point,160,8,ledger_shadow,2,4,1,0,point,True,True,True,True,True,True,True,True,13,True,False
14,0,carrier,2,2,2,0,point,161,8,ledger_shadow,2,5,2,1,point,True,True,True,True,True,True,True,True,14,True,False
15,0,carrier,2,3,0,1,point,156,8,ledger_shadow,2,0,0,0,point,True,True,True,True,True,True,True,True,15,True,False
16,0,carrier,2,4,1,0,point,157,8,ledger_shadow,2,1,1,1,point,True,True,True,True,True,True,True,True,16,True,False
17,0,carrier,2,5,2,1,point,158,8,ledger_shadow,2,2,2,0,point,True,True,True,True,True,True,True,True,17,True,False
144,8,ledger_shadow,0,0,0,0,edge,3,0,carrier,0,3,0,1,edge,True,True,True,True,True,True,True,True,144,True,False
145,8,ledger_shadow,0,1,1,1,edge,4,0,carrier,0,4,1,0,edge,True,True,True,True,True,True,True,True,145,True,False
146,8,ledger_shadow,0,2,2,0,edge,5,0,carrier,0,5,2,1,edge,True,True,True,True,True,True,True,True,146,True,False
147,8,ledger_shadow,0,3,0,1,edge,0,0,carrier,0,0,0,0,edge,True,True,True,True,True,True,True,True,147,True,False
148,8,ledger_shadow,0,4,1,0,edge,1,0,carrier,0,1,1,1,edge,True,True,True,True,True,True,True,True,148,True,False
149,8,ledger_shadow,0,5,2,1,edge,2,0,carrier,0,2,2,0,edge,True,True,True,True,True,True,True,True,149,True,False
150,8,ledger_shadow,1,0,0,0,edge,9,0,carrier,1,3,0,1,edge,True,True,True,True,True,True,True,True,150,True,False
151,8,ledger_shadow,1,1,1,1,edge,10,0,carrier,1,4,1,0,edge,True,True,True,True,True,True,True,True,151,True,False
152,8,ledger_shadow,1,2,2,0,edge,11,0,carrier,1,5,2,1,edge,True,True,True,True,True,True,True,True,152,True,False
153,8,ledger_shadow,1,3,0,1,edge,6,0,carrier,1,0,0,0,edge,True,True,True,True,True,True,True,True,153,True,False
154,8,ledger_shadow,1,4,1,0,edge,7,0,carrier,1,1,1,1,edge,True,True,True,True,True,True,True,True,154,True,False
155,8,ledger_shadow,1,5,2,1,edge,8,0,carrier,1,2,2,0,edge,True,True,True,True,True,True,True,True,155,True,False
156,8,ledger_shadow,2,0,0,0,point,15,0,carrier,2,3,0,1,point,True,True,True,True,True,True,True,True,156,True,False
157,8,ledger_shadow,2,1,1,1,point,16,0,carrier,2,4,1,0,point,True,True,True,True,True,True,True,True,157,True,False
158,8,ledger_shadow,2,2,2,0,point,17,0,carrier,2,5,2,1,point,True,True,True,True,True,True,True,True,158,True,False
159,8,ledger_shadow,2,3,0,1,point,12,0,carrier,2,0,0,0,point,True,True,True,True,True,True,True,True,159,True,False
160,8,ledger_shadow,2,4,1,0,point,13,0,carrier,2,1,1,1,point,True,True,True,True,True,True,True,True,160,True,False
161,8,ledger_shadow,2,5,2,1,point,14,0,carrier,2,2,2,0,point,True,True,True,True,True,True,True,True,161,True,False
