pair_id,left_slot,right_slot,left_kind,right_kind,left_side,right_side
0,0,147,carrier,ledger_shadow,0,1
1,1,148,carrier,ledger_shadow,1,0
2,2,149,carrier,ledger_shadow,0,1
3,3,144,carrier,ledger_shadow,1,0
4,4,145,carrier,ledger_shadow,0,1
5,5,146,carrier,ledger_shadow,1,0
6,6,153,carrier,ledger_shadow,0,1
7,7,154,carrier,ledger_shadow,1,0
8,8,155,carrier,ledger_shadow,0,1
9,9,150,carrier,ledger_shadow,1,0
10,10,151,carrier,ledger_shadow,0,1
11,11,152,carrier,ledger_shadow,1,0
12,12,159,carrier,ledger_shadow,0,1
13,13,160,carrier,ledger_shadow,1,0
14,14,161,carrier,ledger_shadow,0,1
15,15,156,carrier,ledger_shadow,1,0
16,16,157,carrier,ledger_shadow,0,1
17,17,158,carrier,ledger_shadow,1,0
