ledger_parity,w9_block,valid_partition_count,alternative_count,contiguous_window_count,representative_valid,representative_route_count,representative_point_count
0,0,64,63,7,True,12,6
0,1,64,63,7,True,12,6
0,2,64,63,7,True,12,6
0,3,64,63,7,True,12,6
0,4,64,63,7,True,12,6
0,5,64,63,7,True,12,6
0,6,64,63,7,True,12,6
0,7,64,63,7,True,12,6
0,8,64,63,7,True,12,6
1,0,64,63,7,True,12,6
1,1,64,63,7,True,12,6
1,2,64,63,7,True,12,6
1,3,64,63,7,True,12,6
1,4,64,63,7,True,12,6
1,5,64,63,7,True,12,6
1,6,64,63,7,True,12,6
1,7,64,63,7,True,12,6
1,8,64,63,7,True,12,6
