route,dimension,side,hemisphere,route_point,endpoint_1,endpoint_2,route_point_incident,same_axis_edge
0,0,0,0,"[-1,0,0]","[-1,0,0]","[0,-1,0]",True,False
1,1,1,0,"[0,1,0]","[0,0,1]","[0,1,0]",True,False
2,2,0,0,"[0,0,-1]","[-1,0,0]","[0,0,-1]",True,False
3,0,1,0,"[1,0,0]","[0,1,0]","[1,0,0]",True,False
4,1,0,0,"[0,-1,0]","[0,-1,0]","[0,0,-1]",True,False
5,2,1,0,"[0,0,1]","[0,0,1]","[1,0,0]",True,False
6,0,0,1,"[-1,0,0]","[-1,0,0]","[0,0,1]",True,False
7,1,1,1,"[0,1,0]","[-1,0,0]","[0,1,0]",True,False
8,2,0,1,"[0,0,-1]","[0,0,-1]","[0,1,0]",True,False
9,0,1,1,"[1,0,0]","[0,0,-1]","[1,0,0]",True,False
10,1,0,1,"[0,-1,0]","[0,-1,0]","[1,0,0]",True,False
11,2,1,1,"[0,0,1]","[0,-1,0]","[0,0,1]",True,False
