pair_id,left_slot,right_slot,left_kind,right_kind,same_kind,side_flipped
0,0,3,carrier,carrier,True,True
1,1,4,carrier,carrier,True,True
2,2,5,carrier,carrier,True,True
3,6,9,carrier,carrier,True,True
4,7,10,carrier,carrier,True,True
5,8,11,carrier,carrier,True,True
6,12,15,carrier,carrier,True,True
7,13,16,carrier,carrier,True,True
8,14,17,carrier,carrier,True,True
9,144,147,ledger_shadow,ledger_shadow,True,True
10,145,148,ledger_shadow,ledger_shadow,True,True
11,146,149,ledger_shadow,ledger_shadow,True,True
12,150,153,ledger_shadow,ledger_shadow,True,True
13,151,154,ledger_shadow,ledger_shadow,True,True
14,152,155,ledger_shadow,ledger_shadow,True,True
15,156,159,ledger_shadow,ledger_shadow,True,True
16,157,160,ledger_shadow,ledger_shadow,True,True
17,158,161,ledger_shadow,ledger_shadow,True,True
