ledger_slot,kind,w9_block,w9_role,w9_coordinate,k18_offset,k18_role,microcycle_q,residue_r,dimension,side,fiber_residue,fiber_j,ternary_coordinate,ternary_rank,route_parity_0,route_parity_1
0,carrier,0,oriented_face,"[-1,-1,-1]",0,edge,0,0,0,0,0,0,"[-1,-1,-1]",3,0,6
1,carrier,0,oriented_face,"[-1,-1,-1]",1,edge,0,1,1,1,1,0,"[-1,-1,-1]",3,1,7
2,carrier,0,oriented_face,"[-1,-1,-1]",2,edge,0,2,2,0,2,0,"[-1,-1,-1]",3,2,8
3,carrier,0,oriented_face,"[-1,-1,-1]",3,edge,0,3,0,1,3,0,"[-1,-1,-1]",3,3,9
4,carrier,0,oriented_face,"[-1,-1,-1]",4,edge,0,4,1,0,4,0,"[-1,-1,-1]",3,4,10
5,carrier,0,oriented_face,"[-1,-1,-1]",5,edge,0,5,2,1,5,0,"[-1,-1,-1]",3,5,11
6,carrier,0,oriented_face,"[-1,-1,-1]",6,edge,1,0,0,0,0,1,"[-1,-1,0]",2,6,0
7,carrier,0,oriented_face,"[-1,-1,-1]",7,edge,1,1,1,1,1,1,"[-1,-1,0]",2,7,1
8,carrier,0,oriented_face,"[-1,-1,-1]",8,edge,1,2,2,0,2,1,"[-1,-1,0]",2,8,2
9,carrier,0,oriented_face,"[-1,-1,-1]",9,edge,1,3,0,1,3,1,"[-1,-1,0]",2,9,3
10,carrier,0,oriented_face,"[-1,-1,-1]",10,edge,1,4,1,0,4,1,"[-1,-1,0]",2,10,4
11,carrier,0,oriented_face,"[-1,-1,-1]",11,edge,1,5,2,1,5,1,"[-1,-1,0]",2,11,5
12,carrier,0,oriented_face,"[-1,-1,-1]",12,point,2,0,0,0,0,2,"[-1,-1,1]",3,0,6
13,carrier,0,oriented_face,"[-1,-1,-1]",13,point,2,1,1,1,1,2,"[-1,-1,1]",3,1,7
14,carrier,0,oriented_face,"[-1,-1,-1]",14,point,2,2,2,0,2,2,"[-1,-1,1]",3,2,8
15,carrier,0,oriented_face,"[-1,-1,-1]",15,point,2,3,0,1,3,2,"[-1,-1,1]",3,3,9
16,carrier,0,oriented_face,"[-1,-1,-1]",16,point,2,4,1,0,4,2,"[-1,-1,1]",3,4,10
17,carrier,0,oriented_face,"[-1,-1,-1]",17,point,2,5,2,1,5,2,"[-1,-1,1]",3,5,11
18,matter,1,oriented_face,"[1,-1,-1]",0,edge,0,0,0,0,0,3,"[-1,0,-1]",2,6,0
19,matter,1,oriented_face,"[1,-1,-1]",1,edge,0,1,1,1,1,3,"[-1,0,-1]",2,7,1
20,matter,1,oriented_face,"[1,-1,-1]",2,edge,0,2,2,0,2,3,"[-1,0,-1]",2,8,2
21,matter,1,oriented_face,"[1,-1,-1]",3,edge,0,3,0,1,3,3,"[-1,0,-1]",2,9,3
22,matter,1,oriented_face,"[1,-1,-1]",4,edge,0,4,1,0,4,3,"[-1,0,-1]",2,10,4
23,matter,1,oriented_face,"[1,-1,-1]",5,edge,0,5,2,1,5,3,"[-1,0,-1]",2,11,5
24,matter,1,oriented_face,"[1,-1,-1]",6,edge,1,0,0,0,0,4,"[-1,0,0]",1,0,6
25,matter,1,oriented_face,"[1,-1,-1]",7,edge,1,1,1,1,1,4,"[-1,0,0]",1,1,7
26,matter,1,oriented_face,"[1,-1,-1]",8,edge,1,2,2,0,2,4,"[-1,0,0]",1,2,8
27,matter,1,oriented_face,"[1,-1,-1]",9,edge,1,3,0,1,3,4,"[-1,0,0]",1,3,9
28,matter,1,oriented_face,"[1,-1,-1]",10,edge,1,4,1,0,4,4,"[-1,0,0]",1,4,10
29,matter,1,oriented_face,"[1,-1,-1]",11,edge,1,5,2,1,5,4,"[-1,0,0]",1,5,11
30,matter,1,oriented_face,"[1,-1,-1]",12,point,2,0,0,0,0,5,"[-1,0,1]",2,6,0
31,matter,1,oriented_face,"[1,-1,-1]",13,point,2,1,1,1,1,5,"[-1,0,1]",2,7,1
32,matter,1,oriented_face,"[1,-1,-1]",14,point,2,2,2,0,2,5,"[-1,0,1]",2,8,2
33,matter,1,oriented_face,"[1,-1,-1]",15,point,2,3,0,1,3,5,"[-1,0,1]",2,9,3
34,matter,1,oriented_face,"[1,-1,-1]",16,point,2,4,1,0,4,5,"[-1,0,1]",2,10,4
35,matter,1,oriented_face,"[1,-1,-1]",17,point,2,5,2,1,5,5,"[-1,0,1]",2,11,5
36,matter,2,oriented_face,"[-1,1,-1]",0,edge,0,0,0,0,0,6,"[-1,1,-1]",3,0,6
37,matter,2,oriented_face,"[-1,1,-1]",1,edge,0,1,1,1,1,6,"[-1,1,-1]",3,1,7
38,matter,2,oriented_face,"[-1,1,-1]",2,edge,0,2,2,0,2,6,"[-1,1,-1]",3,2,8
39,matter,2,oriented_face,"[-1,1,-1]",3,edge,0,3,0,1,3,6,"[-1,1,-1]",3,3,9
40,matter,2,oriented_face,"[-1,1,-1]",4,edge,0,4,1,0,4,6,"[-1,1,-1]",3,4,10
41,matter,2,oriented_face,"[-1,1,-1]",5,edge,0,5,2,1,5,6,"[-1,1,-1]",3,5,11
42,matter,2,oriented_face,"[-1,1,-1]",6,edge,1,0,0,0,0,7,"[-1,1,0]",2,6,0
43,matter,2,oriented_face,"[-1,1,-1]",7,edge,1,1,1,1,1,7,"[-1,1,0]",2,7,1
44,matter,2,oriented_face,"[-1,1,-1]",8,edge,1,2,2,0,2,7,"[-1,1,0]",2,8,2
45,matter,2,oriented_face,"[-1,1,-1]",9,edge,1,3,0,1,3,7,"[-1,1,0]",2,9,3
46,matter,2,oriented_face,"[-1,1,-1]",10,edge,1,4,1,0,4,7,"[-1,1,0]",2,10,4
47,matter,2,oriented_face,"[-1,1,-1]",11,edge,1,5,2,1,5,7,"[-1,1,0]",2,11,5
48,matter,2,oriented_face,"[-1,1,-1]",12,point,2,0,0,0,0,8,"[-1,1,1]",3,0,6
49,matter,2,oriented_face,"[-1,1,-1]",13,point,2,1,1,1,1,8,"[-1,1,1]",3,1,7
50,matter,2,oriented_face,"[-1,1,-1]",14,point,2,2,2,0,2,8,"[-1,1,1]",3,2,8
