ledger_instance_id,starbreaker_cell_id,slot_index,w9_block,k18_channel,dimension,side,route,h27_rank,h27_address,qp_template_id,qp_source_row_id,qp_template_class,qp_partition_labels,decoded_content_points,relation_geometry,native_signature_id,payload_status,binding_role,authority,source_hashes
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,0,0,0,0,0,0,FACE,"[-1,-1,-1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,1,0,1,1,1,1,FACE,"[-1,-1,-1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,2,0,2,2,0,2,FACE,"[-1,-1,-1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,3,0,3,0,1,3,FACE,"[-1,-1,-1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,4,0,4,1,0,4,FACE,"[-1,-1,-1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,5,0,5,2,1,5,FACE,"[-1,-1,-1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,6,0,6,0,0,6,EDGE,"[-1,-1,0]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,7,0,7,1,1,7,EDGE,"[-1,-1,0]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,8,0,8,2,0,8,EDGE,"[-1,-1,0]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,9,0,9,0,1,9,EDGE,"[-1,-1,0]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
