qp_template_id,qp_source_row_id,qp_template_class,qp_partition_labels,charge_orientation,closure_depth,native_signature_id,payload_status,source_disposition,source_stability,source_closure
TPL_024774dee7da0a8c4e8b2966,TOK_501059946ad85b6cca319e0c,UNARY,12,positive,1,TYPEDRAW_cdf6948adbfc9f43ab791c94,PAYLOAD,LEGAL_LOCAL_TEMPLATE,stable_matter_rows,CLOSED_WRITE
TPL_02590d66625ba878b980e86f,TOK_d5c44ad7dcfa6427034b52f0,UNARY,1,neutral,2,TYPEDRAW_fe5e307969c90f2c235395d3,PAYLOAD,LEGAL_LOCAL_TEMPLATE,stable_matter_rows,CLOSED_WRITE
TPL_0350929040a21ba95d891e35,TOK_160174dd27c1be1aa1dead1a,UNARY,8,negative,0,TYPEDRAW_9d5ad2d74a7e0d68508eec79,PAYLOAD,LEGAL_LOCAL_TEMPLATE,antimatter_conjugate_rows,CLOSED_CONJUGATE_WRITE
TPL_0413790da59d51cdb9806e7c,TOK_0c1a9e6b3b92910775f901ec,PAIR,6|6,neutral,1,TYPEDRAW_983160f3a77f2f8530f009a2,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_PAIR_WRITE
TPL_04509e830dea97f4fad62584,TOK_eb56bd3df44a3666da1ba5ee,SUPPORT,,positive,3,TYPEDRAW_27c4e65a5c6d42e3b79b2a0a,INFRASTRUCTURE,NONLOCAL_NODE,hidden_source_support_rows,SOURCE_SUPPORT_ONLY
TPL_054173dd7674131957f6b216,TOK_5b054c58fd3e9a2dca664102,PAIR,2|9,negative,3,TYPEDRAW_0a216881879a2c1f4a87527f,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_PAIR_WRITE
TPL_057e07fb333ab8994f6875d2,TOK_97a4808a85b263d249e43b5d,PAIR,12|9,positive,3,TYPEDRAW_a6c71eb69d4098a6b7e0fa24,PAYLOAD,LEGAL_LOCAL_TEMPLATE,unstable_resonance_rows,CLOSED_PAIR_WRITE
TPL_0863272e546f3eadd728e34e,TOK_569629cafd53a9c3c13e8a6f,UNARY,8,positive,2,TYPEDRAW_5d3cf7fc081d7497e7b2a64d,PAYLOAD,LEGAL_LOCAL_TEMPLATE,unstable_resonance_rows,CLOSED_WRITE
TPL_087a4dd1c65e57c6e8048873,TOK_81ccf9948f0b5c711d1659ba,UNARY,2,positive,2,TYPEDRAW_7707c440e4d03ec8153cfd5f,PAYLOAD,LEGAL_LOCAL_TEMPLATE,antimatter_conjugate_rows,CLOSED_CONJUGATE_WRITE
TPL_09e6e04db362da7cdb725215,TOK_cc1f12d7e135b14113b60b32,UNARY,3,positive,2,TYPEDRAW_9582b89cc66c853bcbbed156,PAYLOAD,LEGAL_LOCAL_TEMPLATE,antimatter_conjugate_rows,CLOSED_CONJUGATE_WRITE
