control,forbidden_effect,accepted,detected,pass
random_slot_assignment,no source-authorized incidence operator,False,True,True
candidate_ID_whitelist,no candidate IDs accepted as selectors,False,True,True
workbook_81_roster_as_geometry_truth,workbooks absent from source manifest,False,True,True
all_scalar_nines_merged,321 opaque template IDs preserved,False,True,True
all_pairs_called_edges,pair relation remains unresolved before Stage C,False,True,True
all_triads_called_faces,triad relation remains unresolved before Stage C,False,True,True
carrier_inserted_as_matter_payload,carrier rows remain infrastructure,False,True,True
hidden_support_inserted_as_particle,support rows remain infrastructure,False,True,True
scalar_parent_repeated_per_constituent,one global scalar template retained,False,True,True
A_mutates_QP_grammar,A affects multiplicity only,False,True,True
Starbreaker_outcome_selects_placement,outcomes absent and placements null,False,True,True
binding_residual_selects_placement,binding observations absent and placements null,False,True,True
