primitive,formula_or_lock,value_exact,value_decimal,source,status
alpha_H,locked Higgs branch count,2,2,"CR114, CR116",LOCKED
R,completed-WRITE address count,12,12,CR113,LOCKED
D,invariant carrier uniqueness,3,3,CR115,LOCKED
A0,"1/(pi*R), applied after R is fixed",1/(12*pi),0.026525823848649222628147293895,CR113 plus post-R A0 convention,LOCKED
R^2,R*R,144,144,CR113,DERIVED_FROM_LOCK
split_fraction,2^-D,1/8,0.125000000000000000000000000000,CR114,DERIVED_FROM_LOCK
retained_side,1 - 2^-D,7/8,0.875000000000000000000000000000,CR114,DERIVED_FROM_LOCK
carrier_side,2^-D,1/8,0.125000000000000000000000000000,"CR114, CR116",DERIVED_FROM_LOCK
bounce_lift,D^2/2^D,9/8,1.125000000000000000000000000000,CR104c,DERIVED_FROM_LOCK
resolved_half_bounce,D^2/2^(D+1),9/16,0.562500000000000000000000000000,CR104c,DERIVED_FROM_LOCK
surface_debit,D^2/R,3/4,0.750000000000000000000000000000,CR114,DERIVED_FROM_LOCK
