step,name,formula,exact,decimal,source
LC02_STEP_01,closed_loop_total,R^2,144,144,LC01/CR113
LC02_STEP_02,face_state_count,2^D,8,8,LC01/CR114
LC02_STEP_03,carrier_fraction,1/2^D,1/8,0.125000000000000000000000000000,LC01/CR114
LC02_STEP_04,retained_fraction,1 - 2^-D,7/8,0.875000000000000000000000000000,LC01/CR114
LC02_STEP_05,split_loss,R^2 * 2^-D,18,18.000000000000000000000000000000,LC01/CR114/CR116
LC02_STEP_06,tensor_identity,alpha_H * D^2,18,18.000000000000000000000000000000,LC01/CR116
LC02_STEP_07,H_native,R^2 * (1 - 2^-D),126,126.000000000000000000000000000000,LC01/CR114/CR092a/QP091T
LC02_STEP_08,surface_debit,D^2/R,3/4,0.750000000000000000000000000000,LC01/CR114/CR092a/QP091T
LC02_STEP_09,H_reveal,R^2*(1 - 2^-D) - D^2/R,501/4,125.250000000000000000000000000000,LC01/CR114/CR092a/QP091T
LC02_STEP_10,shell_share_identity_left,2*H_native/R,21,21.000000000000000000000000000000,CR092a
LC02_STEP_11,shell_share_identity_right,H_native/(alpha_H*D),21,21.000000000000000000000000000000,CR092a
LC02_STEP_12,HZZ4l_category_projection,ordered routes collapse 1:2:1,4e=1/4;2e2mu=1/2;4mu=1/4,0.25;0.50;0.25,CR092a/QP091T
