check,status,value,detail
LC01 primitive stack lock present,PASS,,LC01_PASS_LOCKED_PRIMITIVE_STACK_AND_REPLAY_REGISTER
LC04 completed before LC05,PASS,,LC04_PASS_PARTICLE_MASS_CHAIN_TABLE_REPLAY_FROM_LOCKED_PRIMITIVE_STACK
alpha_H locked at 2,PASS,2,LC01 primitive
R locked at 12,PASS,12,LC01 primitive
D locked at 3,PASS,3,LC01 primitive
split fraction locked at 1/8,PASS,1/8,LC01 primitive
retained side locked at 7/8,PASS,7/8,LC01 primitive
carrier side locked at 1/8,PASS,1/8,LC01 primitive
CR114 binary face split passes,PASS,,CR114_PASS_BINARY_FACE_STATE_SPLIT_THEOREM
CR116 carrier/matter boundary passes,PASS,,CR116_PASS_18_GRAVITON_CHANNEL_CARRIER_THEOREM
CR119 vault reveal passes,PASS,,PASS_CR119_COURTROOM_TABLE_VAULT_REVEAL__321_PARTICLE__126_MATTER__126_PERIODIC__DOWNSTREAM_IDENTITIES_ASSIGNED__KNOWN_LABELS_REVEAL_ONLY
CR119 summary periodic count is 126,PASS,126,periodic row count in CR119 summary
CR119 known periodic labels are 118,PASS,118,known labels by layer
Latest export summary periodic rows are 126,PASS,126,latest export summary
Latest export summary known/frontier split is 118/8,PASS,118/8,known/frontier split
Periodic invariant: row_count,PASS,126,126
Periodic invariant: source_copy_row_count,PASS,126,126
Periodic invariant: Z_sequence_1_to_126,PASS,1..126 count=126,1..126
Periodic invariant: Z_equals_proton_and_electron_count,PASS,126,Z=proton_count=electron_count
Periodic invariant: native_capacity_126,PASS,126,all rows native_element_capacity=126
Periodic invariant: scope_and_source_locked,PASS,126,SAM_NATIVE_126_ELEMENT_FAMILY / QP094A / periodic
Periodic invariant: closed_element_and_neutral_atom_writes,PASS,126,126 closed element-family and neutral-atom writes
Periodic invariant: matter_row_allowed_all,PASS,{'yes': 126},126 yes
Periodic invariant: known_label_status_counts,PASS,"{'KNOWN_Z_DOWNSTREAM': 118, 'SAM_FRONTIER_UNKNOWN_Z119_Z126': 8}","{'KNOWN_Z_DOWNSTREAM': 118, 'SAM_FRONTIER_UNKNOWN_Z119_Z126': 8}"
Periodic invariant: known_labels_not_construction_inputs,PASS,{'no': 126},{'no': 126}
Periodic invariant: identity_role_counts,PASS,"{'downstream_only': 118, 'native_frontier_identity': 8}","{'downstream_only': 118, 'native_frontier_identity': 8}"
Periodic invariant: Z119_Z126_frontier_not_promoted,PASS,8,Z119-Z126 are frontier unknown native identities with no known symbol/name
Periodic invariant: shell_period_counts,PASS,"{'1': 2, '2': 8, '3': 18, '4': 32, '5': 32, '6': 18, '7': 8, '8': 8}","{'1': 2, '2': 8, '3': 18, '4': 32, '5': 32, '6': 18, '7': 8, '8': 8}"
Periodic invariant: shell_capacity_counts,PASS,"{'2': 2, '8': 24, '18': 36, '32': 64}","{'2': 2, '8': 24, '18': 36, '32': 64}"
Periodic invariant: shell_occupancy_within_capacity,PASS,126,1 <= shell_occupancy <= shell_capacity
Periodic invariant: qA_support_split_from_LC01,PASS,max_error=1E-96; tolerance=1E-90,tensor=qA/8 and retained=7qA/8 within 1e-90 exported-decimal tolerance
Branch-10 layer: CR065_vault_protocol_and_hash_chain,PASS,155 hash checks; 5/5 byte equivalent; IAEA anchor verified,"Protocol/chain-of-custody lane, not a physics derivation by itself."
Branch-10 layer: CR066_allowed_inputs_and_forbidden_targets,PASS,12 clean vault-chain checks; 0 forbidden engine-hit classes,Original CR066 remains BOUNDARY; CR072 records deferred-support appeal without modifying it.
Branch-10 layer: CR067_periodic_structure_derivation,PASS,12/12 vault-chain steps; 9/9 phase5 table checks; 6/6 wrong derivations rejected,"Scoped structural derivation, not full nuclear shell model."
Branch-10 layer: CR068_isotope_manifest_reproduction,PASS,200 sealed prediction rows present; 4/4 QP artifacts reproduced,"Manifest reproduction, not observed-data construction."
Branch-10 layer: CR069_observed_roster_comparison,PASS,162/162 exact matches for Z=1..96; 0/38 for Z=97..118 deferred to CR071,"Observed IAEA roster enters as sealed comparator, not generator input."
Branch-10 layer: CR070_nulls_rarity_wrong_controls,PASS,three sub-lanes pass; 6/6 meta controls wired,"Rarity alignment is supporting evidence, not a row-by-row binding-energy derivation."
Branch-10 layer: CR071_frontier_seal,PASS,island rows=22; broader band=38,CR071 verdict is permanent BOUNDARY_PRE_REGISTERED_PREDICTION; never overwritten.
Branch-10 layer: CR072_branch_verdict,PASS,CR067-CR070 PASS-tier; CR065 PASS; CR071 permanent boundary; CR066 deferred support,"Strongest export claim remains scoped: 162/162 Z=1..96, 162/200 Z=1..118, frontier sealed."
CR069 Z=1..96 K1 pass is 162/162,PASS,162/162,CR069 z_001_096 summary
"CR069 Z=97..118 is deferred, not failure",PASS,z_097_118_recorded_for_cr071_seal,CR069 z_097_118 summary
CR071 frontier map sealed,PASS,BOUNDARY_PRE_REGISTERED_PREDICTION,CR071 frontier map
CR071 frontier count check 22/38,PASS,22/38,CR071 frontier count check
CR119 wrong controls all pass/reject,PASS,6,CR119 wrong controls
CR070 wrong controls meta all wired,PASS,6,CR070 wrong controls
CR072 wrong controls all wired,PASS,6,CR072 wrong controls
WC22_PERIODIC_TABLE_DATA_BACKFILL rejected,PASS,,CR119 table has known_label_used_as_construction_input=no on 126/126 rows; CR066/CR069 reserve observed data for comparator stage
WC23_CARRIER_MATTER_MIXING rejected,PASS,,CR116 keeps tensor carrier as carrier-only; LC05 uses support split columns but does not promote tensor support into element identities
WC_Z119_Z126_PROMOTION rejected,PASS,,CR119 rejects promote_Z119_Z126_to_known_elements and table keeps 8 native_frontier_identity rows with blank known symbol/name
WC_CR071_FRONTIER_OVERWRITE rejected,PASS,,CR071 map is sealed/permanent; CR072 cites it with modification forbidden and appeal-only channels
