check,status,value,detail
LC01 primitive stack passes,PASS,,LC01_PASS_LOCKED_PRIMITIVE_STACK_AND_REPLAY_REGISTER
LC06 baryon/matter inventory already replayed,PASS,,LC06_PASS_BARYON_AND_MATTER_INVENTORY_REPLAY_FROM_LOCKED_PRIMITIVE_STACK
CR115 D3 gate passes,PASS,,CR115_PASS_D3_INVARIANT_CARRIER_UNIQUENESS_THEOREM_GATE
CR115 stable D list is [3],PASS,[3],D source
R locked at 12,PASS,12,LC01 primitive
D locked at 3,PASS,3,LC01 primitive
A0 locked as 1/(12*pi),PASS,1/(12*pi),LC01 primitive
A_inf saturates at 1/pi,PASS,0.3183098861837907,A0*R
CR012 summary passes,PASS,,PASS
CR012 pass conditions all true,PASS,"{""A0_identity"": true, ""free_parameters_introduced_zero"": true, ""no_older_test_verdicts_used"": true, ""phi_and_phi_R_roles_separated"": true, ""projection_operator_identity"": true, ""r_drag_identity"": true, ""w_identity"": true, ""wrong_controls_do_not_match_packet"": true}",pass_conditions
CR012 introduced zero free parameters,PASS,0,declared premises
CR012 did not use older test verdicts as computed inputs,PASS,False,declared premises
CR013 summary passes,PASS,,PASS
CR013 pass conditions all true,PASS,"{""A_los_row_identity"": true, ""bao_inputs_not_loaded"": true, ""c_eff_row_identity"": true, ""free_parameters_introduced_zero"": true, ""high_z_shrink_larger_than_low_z"": true, ""low_z_shrink_near_zero"": true, ""native_distance_row_identity"": true, ""native_mu_row_identity"": true, ""no_older_test_verdicts_used"": true, ""sn_source_rows_present"": true, ""wrong_controls_do_not_match_packet"": true}",pass_conditions
CR013 introduced zero free parameters,PASS,0,declared premises
CR013 did not use older test verdicts as computed inputs,PASS,False,declared premises
CR014 summary passes,PASS,,PASS
CR014 pass conditions all true,PASS,"{""all_primary_rows_under_3sigma"": true, ""bao_source_rows_present"": true, ""bao_windowed_prediction_identity"": true, ""f_ap_derived_from_dm_dh_rows"": true, ""free_parameters_introduced_zero"": true, ""no_older_test_verdicts_used"": true, ""sn_inputs_not_loaded"": true, ""window_values_follow_declared_symbols"": true, ""wrong_controls_do_not_match_packet"": true}",pass_conditions
CR014 introduced zero free parameters,PASS,0,declared premises
CR014 did not use older test verdicts as computed inputs,PASS,False,declared premises
CR015 summary passes,PASS,,PASS
CR015 pass conditions all true,PASS,"{""all_bao_sites_have_sn_overlap_rows"": true, ""free_parameters_introduced_zero"": true, ""independent_ledger_functions_defined_before_overlap"": true, ""no_older_test_verdicts_used"": true, ""overlap_max_abs_pct_within_declared_window"": true, ""overlap_not_formula_source"": true, ""same_z_identity_holds"": true, ""wrong_controls_do_not_match_packet"": true}",pass_conditions
CR015 introduced zero free parameters,PASS,0,declared premises
CR015 did not use older test verdicts as computed inputs,PASS,False,declared premises
CR016 summary passes,PASS,,PASS
