metric,replayed,source,status
R_locked,12,12,PASS
D_locked,3,[3],PASS
Omega_substrate_vacuum,0.6862390844309427,0.6862390844309427,PASS
Omega_BB_PBH_trapped,0.26446190430295646,0.26446190430295646,PASS
Omega_H_arrival_baryon,0.049299011266100756,0.049299011266100756,PASS
total_inventory,1.0,1.0,PASS
PBH_to_hydrogen_ratio,5.364446416084761,5.364446416084761,PASS
trapped_fraction_of_matter,0.8428771436471338,0.8428771436471338,PASS
escaped_hydrogen_fraction_of_matter,0.15712285635286619,0.15712285635286619,PASS
SPARC_galaxies,175,175,PASS
SPARC_mass_model_points,3391,3391.0,PASS
median_outer_dark_fraction_v2,0.760699023482704,0.760699023482704,PASS
post_BB_envelope_supplied_pct_dark_residual,2.576714268055339,2.576714268055339,PASS
missing_after_post_BB_envelope_pct_dark_residual,97.42328573194466,97.42328573194466,PASS
G394_profile_rows,175,175,PASS
median_baryon_rms_kms,40.95236813050122,40.95236813050122,PASS
median_halo_rms_kms,3.625430524040301,3.625430524040301,PASS
median_chi2_improvement_factor,150.7662388291606,150.7662388291606,PASS
median_halo_overdensity_vs_cosmic_dm_mean,79090.03192365015,79090.03192365015,PASS
G677_primary_rows,173,173,PASS
G677_primary_candidate_id,base12_outer_radius_over_12,base12_outer_radius_over_12,PASS
G677_primary_core_denominator,12.0,12,PASS
G677_primary_gap_closed,0.8191375474184742,0.8191375474184742,PASS
G677_uniform_control_gap_closed,3.8495994978147876e-05,3.8495994978147876e-05,PASS
G677_post_BB_control_gap_closed,0.02448481593940179,0.02448481593940179,PASS
G677_best_by_rms_candidate,half_string_outer_radius_over_6,comparison only,PASS
QP042_filled_baryon_scaffold_ids,ddu;duu,ddu;duu,PASS
CR030_pass_scoped_count,4,4.0,PASS
CR030_boundary_count,4,4.0,PASS
