letter_index_N,closure_depth_level,expected_per_letter,observed_per_letter,expected_cumulative,observed_cumulative,expected_residual,observed_residual,fraction_of_gravity_channel,status
1,4,1/16,1/16,1/16,1/16,1/16,1/16,50.000000%,PASS
2,5,1/32,1/32,3/32,3/32,1/32,1/32,75.000000%,PASS
3,6,1/64,1/64,7/64,7/64,1/64,1/64,87.500000%,PASS
4,7,1/128,1/128,15/128,15/128,1/128,1/128,93.750000%,PASS
5,8,1/256,1/256,31/256,31/256,1/256,1/256,96.875000%,PASS
6,9,1/512,1/512,63/512,63/512,1/512,1/512,98.437500%,PASS
7,10,1/1024,1/1024,127/1024,127/1024,1/1024,1/1024,99.218750%,PASS
8,11,1/2048,1/2048,255/2048,255/2048,1/2048,1/2048,99.609375%,PASS
9,12,1/4096,1/4096,511/4096,511/4096,1/4096,1/4096,99.804688%,PASS
10,13,1/8192,1/8192,1023/8192,1023/8192,1/8192,1/8192,99.902344%,PASS
11,14,1/16384,1/16384,2047/16384,2047/16384,1/16384,1/16384,99.951172%,PASS
12,15,1/32768,1/32768,4095/32768,4095/32768,1/32768,1/32768,99.975586%,PASS
13,16,1/65536,1/65536,8191/65536,8191/65536,1/65536,1/65536,99.987793%,PASS
14,17,1/131072,1/131072,16383/131072,16383/131072,1/131072,1/131072,99.993896%,PASS
15,18,1/262144,1/262144,32767/262144,32767/262144,1/262144,1/262144,99.996948%,PASS
16,19,1/524288,1/524288,65535/524288,65535/524288,1/524288,1/524288,99.998474%,PASS
17,20,1/1048576,1/1048576,131071/1048576,131071/1048576,1/1048576,1/1048576,99.999237%,PASS
18,21,1/2097152,1/2097152,262143/2097152,262143/2097152,1/2097152,1/2097152,99.999619%,PASS
19,22,1/4194304,1/4194304,524287/4194304,524287/4194304,1/4194304,1/4194304,99.999809%,PASS
20,23,1/8388608,1/8388608,1048575/8388608,1048575/8388608,1/8388608,1/8388608,99.999905%,PASS
