check,status,value,detail
LC01 primitive stack passes,PASS,,LC01_PASS_LOCKED_PRIMITIVE_STACK_AND_REPLAY_REGISTER
LC09 quantum pair-write Born lane passes,PASS,,LC09_PASS_QUANTUM_PAIR_WRITE_BORN_RULE_REPLAY_FROM_LOCKED_PRIMITIVE_STACK
R locked at 12,PASS,12,LC01 primitive
D locked at 3,PASS,3,LC01 primitive
alpha_H locked at 2,PASS,2,LC01 primitive
A_side exact threshold is 1/24,PASS,1/24,1/(2R)
A_share exact threshold is 1/12,PASS,1/12,1/R
split fraction exact threshold is 1/8,PASS,1/8,2^-D
letter increment exact threshold is 1/16,PASS,1/16,alpha_H^-4
QP010 A_side matches 1/24,PASS,"{""A_SHARE"": 0.08333333333333333, ""A_SIDE"": 0.041666666666666664, ""A_WRITE_MIDPOINT"": 0.5}",thresholds
QP010 A_share matches 1/12,PASS,"{""A_SHARE"": 0.08333333333333333, ""A_SIDE"": 0.041666666666666664, ""A_WRITE_MIDPOINT"": 0.5}",thresholds
QP010 introduced zero free parameters,PASS,0,free parameters
QP014 A_side matches 1/24,PASS,"{""A_SHARE"": 0.08333333333333333, ""A_SIDE"": 0.041666666666666664, ""A_WRITE_MIDPOINT"": 0.5}",thresholds
QP014 A_share matches 1/12,PASS,"{""A_SHARE"": 0.08333333333333333, ""A_SIDE"": 0.041666666666666664, ""A_WRITE_MIDPOINT"": 0.5}",thresholds
QP014 introduced zero free parameters,PASS,0,free parameters
QP016 A_side matches 1/24,PASS,"{""A_SHARE"": 0.08333333333333333, ""A_SIDE"": 0.041666666666666664, ""A_WRITE_MIDPOINT"": 0.5}",thresholds
QP016 A_share matches 1/12,PASS,"{""A_SHARE"": 0.08333333333333333, ""A_SIDE"": 0.041666666666666664, ""A_WRITE_MIDPOINT"": 0.5}",thresholds
QP016 introduced zero free parameters,PASS,0,free parameters
QN002 live quantum_phase artifact selected/built,PASS,,QN002_LINK_SURVIVAL_AND_CONTACT_SUPPRESSION_LAW_SELECTED
QN002 zero free parameters,PASS,0,free parameters
QN003 live quantum_phase artifact selected/built,PASS,,QN003_LEDGER_SAFE_RELAY_REPEATER_LAW_SELECTED
QN003 zero free parameters,PASS,0,free parameters
QN004 live quantum_phase artifact selected/built,PASS,,QN004_PAUL_REVERE_ROUTING_PROTOCOL_SELECTED
QN004 zero free parameters,PASS,0,free parameters
QN005 live quantum_phase artifact selected/built,PASS,,QN005_NETWORK_BORN_SURFACE_SELECTED
QN005 zero free parameters,PASS,0,free parameters
QN006 live quantum_phase artifact selected/built,PASS,,QN006_LETTER_SAFE_ERROR_CORRECTION_SELECTED
QN006 zero free parameters,PASS,0,free parameters
QN002 selected protected link carrier,PASS,QUBIT-NL-001,QN002 selected route
QN004 forbids final ledger fields,PASS,False,QN004 forbidden fields
QN006 forbids final ledger fields,PASS,False,QN006 forbidden fields
QN006 correction rows match summary,PASS,49,QN006 correction rows
CR050 branch-12 PASS source,PASS,,CR050_PASS_QP_CARRIER_SUPPORT
CR051 branch-12 PASS source,PASS,,CR051_PASS_QC_CARRIER_ENVELOPE_GATE_READOUT
CR052 branch-12 PASS source,PASS,,CR052_PASS_QC_MATERIAL_ISOTOPE_SUPPORT
CR053 branch-12 PASS source,PASS,,CR053_PASS_QN_NETWORK_GRAMMAR_LINK_RELAY_ROUTING
CR054 branch-12 PASS source,PASS,,CR054_PASS_QN_BORN_SURFACE_AND_LETTER_SAFE_CORRECTION
CR055 branch-12 PASS source,PASS,,CR055_PASS_QN_EARTH_A_AND_SEALED_BENCHMARK_MANIFEST
CR059 branch-12 PASS source,PASS,,CR059_PASS_MASS_BOUNCE_A_SOURCE_QC_QN_BRIDGE
CR056 branch-12 boundary pass preserved,PASS,,CR056_PASS_QN_EXTERNAL_BENCHMARK_AND_EXPERIMENTAL_PROTOCOL
