cell_id,Z,symbol,name,PARTICLE,MATTER,ELEMENT,GRAVITY,CLOCK,LIGHT,ACTION,GRAVITON
SIS-001,1,H,Hydrogen,3,1.008,1,74.135417,stable,656,1/2,9.266927
SIS-002,2,He,Helium,6,4.0026,2,148.270833,stable,587,0,18.533854
SIS-003,3,Li,Lithium,9,6.94,3,222.406250,stable,670,3/2,27.800781
SIS-004,4,Be,Beryllium,12,9.0122,4,296.541667,stable,234,3/2,37.067708
SIS-005,5,B,Boron,15,10.81,5,370.677083,stable,250,3/2,46.334635
SIS-006,6,C,Carbon,18,12.011,6,444.812500,stable,248,0,55.601562
SIS-007,7,N,Nitrogen,21,14.007,7,518.947917,stable,500,1,64.868490
SIS-008,8,O,Oxygen,24,15.999,8,593.083333,stable,777,0,74.135417
SIS-009,9,F,Fluorine,27,18.998,9,667.218750,stable,685,1/2,83.402344
SIS-010,10,Ne,Neon,30,20.18,10,741.354167,stable,585,0,92.669271
SIS-011,11,Na,Sodium,33,22.99,11,815.489583,stable,589,3/2,101.936198
SIS-012,12,Mg,Magnesium,36,24.305,12,889.625000,stable,285,0,111.203125
SIS-013,13,Al,Aluminium,40,26.982,13,963.885417,stable,396,5/2,120.485677
SIS-014,14,Si,Silicon,43,28.085,14,1038.020833,stable,251,0,129.752604
SIS-015,15,P,Phosphorus,46,30.974,15,1112.156250,stable,213,1/2,139.019531
SIS-016,16,S,Sulfur,49,32.06,16,1186.291667,stable,469,0,148.286458
SIS-017,17,Cl,Chlorine,52,35.45,17,1260.427083,stable,542,3/2,157.553385
SIS-018,18,Ar,Argon,55,39.948,18,1334.562500,stable,696,0,166.820312
SIS-019,19,K,Potassium,58,39.098,19,1408.697917,stable,766,3/2,176.087240
SIS-020,20,Ca,Calcium,61,40.078,20,1482.833333,stable,423,0,185.354167
SIS-021,21,Sc,Scandium,64,44.956,21,1556.968750,stable,391,7/2,194.621094
SIS-022,22,Ti,Titanium,67,47.867,22,1631.104167,stable,365,0,203.888021
SIS-023,23,V,Vanadium,70,50.942,23,1705.239583,stable,437,7/2,213.154948
SIS-024,24,Cr,Chromium,74,51.996,24,1779.500000,stable,425,0,222.437500
SIS-025,25,Mn,Manganese,79,54.938,25,1853.885417,stable,403,5/2,231.735677
SIS-026,26,Fe,Iron,82,55.845,26,1928.020833,stable,372,0,241.002604
SIS-027,27,Co,Cobalt,85,58.933,27,2002.156250,stable,345,7/2,250.269531
SIS-028,28,Ni,Nickel,88,58.693,28,2076.291667,stable,352,0,259.536458
SIS-029,29,Cu,Copper,91,63.546,29,2150.427083,stable,325,3/2,268.803385
SIS-030,30,Zn,Zinc,95,65.38,30,2224.687500,stable,214,0,278.085938
SIS-031,31,Ga,Gallium,98,69.723,31,2298.822917,stable,417,3/2,287.352865
SIS-032,32,Ge,Germanium,101,72.63,32,2372.958333,stable,265,0,296.619792
SIS-033,33,As,Arsenic,104,74.922,33,2447.093750,stable,235,3/2,305.886719
SIS-034,34,Se,Selenium,107,78.971,34,2521.229167,stable,207,0,315.153646
SIS-035,35,Br,Bromine,110,79.904,35,2595.364583,stable,478,3/2,324.420573
SIS-036,36,Kr,Krypton,114,83.798,36,2669.625000,stable,557,0,333.703125
SIS-037,37,Rb,Rubidium,120,85.468,37,2744.135417,stable,780,5/2,343.016927
SIS-038,38,Sr,Strontium,123,87.62,38,2818.270833,stable,461,0,352.283854
SIS-039,39,Y,Yttrium,126,88.906,39,2892.406250,stable,410,1/2,361.550781
SIS-040,40,Zr,Zirconium,130,91.224,40,2966.666667,stable,360,0,370.833333
SIS-041,41,Nb,Niobium,133,92.906,41,3040.802083,stable,405,9/2,380.100260
SIS-042,42,Mo,Molybdenum,136,95.95,42,3114.937500,stable,313,0,389.367188
SIS-043,43,Tc,Technetium,139,98.0,43,3189.072917,radioactive,363,9/2,398.634115
SIS-044,44,Ru,Ruthenium,143,101.07,44,3263.333333,stable,349,5/2,407.916667
SIS-045,45,Rh,Rhodium,146,102.91,45,3337.468750,stable,343,1/2,417.183594
SIS-046,46,Pd,Palladium,149,106.42,46,3411.604167,stable,247,0,426.450521
SIS-047,47,Ag,Silver,152,107.87,47,3485.739583,stable,328,1/2,435.717448
SIS-048,48,Cd,Cadmium,156,112.41,48,3560.000000,stable,326,1/2,445.000000
SIS-049,49,In,Indium,163,114.82,49,3634.635417,stable,451,9/2,454.329427
SIS-050,50,Sn,Tin,166,118.71,50,3708.770833,stable,286,0,463.596354
SIS-051,51,Sb,Antimony,170,121.76,51,3783.031250,stable,252,5/2,472.878906
SIS-052,52,Te,Tellurium,173,127.6,52,3857.166667,stable,238,0,482.145833
SIS-053,53,I,Iodine,176,126.9,53,3931.302083,stable,206,5/2,491.412760
SIS-054,54,Xe,Xenon,180,131.29,54,4005.562500,stable,467,0,500.695312
SIS-055,55,Cs,Caesium,183,132.91,55,4079.697917,stable,852,7/2,509.962240
SIS-056,56,Ba,Barium,186,137.33,56,4153.833333,stable,553,3/2,519.229167
SIS-057,57,La,Lanthanum,190,138.91,57,4228.093750,stable,550,7/2,528.511719
SIS-058,58,Ce,Cerium,193,140.12,58,4302.229167,stable,569,0,537.778646
SIS-059,59,Pr,Praseodymium,196,140.91,59,4376.364583,stable,422,5/2,547.045573
SIS-060,60,Nd,Neodymium,200,144.24,60,4450.625000,stable,463,0,556.328125
SIS-061,61,Pm,Promethium,208,145.0,61,4525.385417,radioactive,467,5/2,565.673177
SIS-062,62,Sm,Samarium,211,150.36,62,4599.520833,stable,488,0,574.940104
SIS-063,63,Eu,Europium,215,151.96,63,4673.781250,stable,459,5/2,584.222656
SIS-064,64,Gd,Gadolinium,218,157.25,64,4747.916667,stable,363,0,593.489583
SIS-065,65,Tb,Terbium,222,158.93,65,4822.177083,stable,432,3/2,602.772135
SIS-066,66,Dy,Dysprosium,225,162.5,66,4896.312500,stable,421,0,612.039062
SIS-067,67,Ho,Holmium,228,164.93,67,4970.447917,stable,410,7/2,621.305990
SIS-068,68,Er,Erbium,232,167.26,68,5044.708333,stable,386,0,630.588542
SIS-069,69,Tm,Thulium,235,168.93,69,5118.843750,stable,372,1/2,639.855469
SIS-070,70,Yb,Ytterbium,239,173.05,70,5193.104167,stable,399,0,649.138021
SIS-071,71,Lu,Lutetium,242,174.97,71,5267.239583,stable,452,7/2,658.404948
SIS-072,72,Hf,Hafnium,246,178.49,72,5341.500000,stable,286,0,667.687500
SIS-073,73,Ta,Tantalum,255,180.95,73,5416.385417,stable,271,7/2,677.048177
SIS-074,74,W,Tungsten,259,183.84,74,5490.645833,stable,401,0,686.330729
SIS-075,75,Re,Rhenium,262,186.21,75,5564.781250,stable,346,5/2,695.597656
SIS-076,76,Os,Osmium,266,190.23,76,5639.041667,stable,290,0,704.880208
SIS-077,77,Ir,Iridium,269,192.22,77,5713.177083,stable,380,3/2,714.147135
SIS-078,78,Pt,Platinum,273,195.08,78,5787.437500,stable,266,1/2,723.429688
SIS-079,79,Au,Gold,276,196.97,79,5861.572917,stable,268,3/2,732.696615
SIS-080,80,Hg,Mercury,280,200.59,80,5935.833333,stable,254,1/2,741.979167
SIS-081,81,Tl,Thallium,283,204.38,81,6009.968750,stable,535,1/2,751.246094
SIS-082,82,Pb,Lead,287,207.2,82,6084.229167,stable,405,0,760.528646
SIS-083,83,Bi,Bismuth,290,208.98,83,6158.364583,stable,306,9/2,769.795573
SIS-084,84,Po,Polonium,294,209.0,84,6232.625000,radioactive,255,0,779.078125
SIS-085,85,At,Astatine,304,210.0,85,6307.635417,radioactive,-,9/2,788.454427
SIS-086,86,Rn,Radon,308,222.0,86,6381.895833,radioactive,705,0,797.736979
SIS-087,87,Fr,Francium,311,223.0,87,6456.031250,radioactive,-,1/2,807.003906
SIS-088,88,Ra,Radium,315,226.0,88,6530.291667,radioactive,482,0,816.286458
SIS-089,89,Ac,Actinium,318,227.0,89,6604.427083,radioactive,-,3/2,825.553385
SIS-090,90,Th,Thorium,322,232.04,90,6678.687500,radioactive,401,0,834.835938
SIS-091,91,Pa,Protactinium,326,231.04,91,6752.947917,radioactive,-,3/2,844.118490
SIS-092,92,U,Uranium,329,238.03,92,6827.083333,radioactive,386,0,853.385417
SIS-093,93,Np,Neptunium,333,237.0,93,6901.343750,radioactive,392,5/2,862.667969
SIS-094,94,Pu,Plutonium,336,244.0,94,6975.479167,radioactive,414,0,871.934896
SIS-095,95,Am,Americium,340,243.0,95,7049.739583,radioactive,408,5/2,881.217448
SIS-096,96,Cm,Curium,344,247.0,96,7124.000000,radioactive,-,0,890.500000
SIS-097,97,Bk,Berkelium,355,247.0,97,7199.135417,radioactive,-,3/2,899.891927
SIS-098,98,Cf,Californium,359,251.0,98,7273.395833,radioactive,-,0,909.174479
SIS-099,99,Es,Einsteinium,363,252.0,99,7347.656250,radioactive,-,7/2,918.457031
SIS-100,100,Fm,Fermium,366,257.0,100,7421.791667,radioactive,-,0,927.723958
SIS-101,101,Md,Mendelevium,370,258.0,101,7496.052083,radioactive,-,9/2,937.006510
SIS-102,102,No,Nobelium,374,259.0,102,7570.312500,radioactive,-,0,946.289062
SIS-103,103,Lr,Lawrencium,377,266.0,103,7644.447917,radioactive,-,-,955.555990
SIS-104,104,Rf,Rutherfordium,381,267.0,104,7718.708333,radioactive,-,-,964.838542
SIS-105,105,Db,Dubnium,385,268.0,105,7792.968750,radioactive,-,-,974.121094
SIS-106,106,Sg,Seaborgium,388,269.0,106,7867.104167,radioactive,-,-,983.388021
SIS-107,107,Bh,Bohrium,392,270.0,107,7941.364583,radioactive,-,-,992.670573
SIS-108,108,Hs,Hassium,396,277.0,108,8015.625000,radioactive,-,-,1001.953125
SIS-109,109,Mt,Meitnerium,408,278.0,109,8090.885417,radioactive,-,-,1011.360677
SIS-110,110,Ds,Darmstadtium,412,281.0,110,8165.145833,radioactive,-,-,1020.643229
SIS-111,111,Rg,Roentgenium,416,282.0,111,8239.406250,radioactive,-,-,1029.925781
