Z,symbol,name,PARTICLE,MATTER,ELEMENT,GRAVITY,CLOCK,ACTION,XOR_required_LIGHT,actual_LIGHT_nm
1,H,Hydrogen,3,2,1,1,0,1,0,656
2,He,Helium,6,4,2,2,0,0,2,587
3,Li,Lithium,9,6,3,3,0,3,12,670
4,Be,Beryllium,12,8,4,4,0,3,7,234
5,B,Boron,15,10,5,5,0,3,6,250
6,C,Carbon,18,12,6,6,0,0,30,248
7,N,Nitrogen,21,14,7,7,0,2,25,500
8,O,Oxygen,24,16,8,8,0,0,8,777
9,F,Fluorine,27,18,9,9,0,1,8,685
10,Ne,Neon,30,20,10,10,0,0,10,585
11,Na,Sodium,33,22,11,11,0,3,52,589
12,Mg,Magnesium,36,24,12,12,0,0,60,285
13,Al,Aluminium,40,27,13,13,0,5,54,396
14,Si,Silicon,43,29,14,14,0,0,54,251
15,P,Phosphorus,46,31,15,15,0,1,48,213
16,S,Sulfur,49,33,16,16,0,0,16,469
17,Cl,Chlorine,52,35,17,17,0,3,20,542
18,Ar,Argon,55,37,18,18,0,0,18,696
19,K,Potassium,58,39,19,19,0,3,30,766
20,Ca,Calcium,61,41,20,20,0,0,20,423
21,Sc,Scandium,64,43,21,21,0,7,108,391
22,Ti,Titanium,67,45,22,22,0,0,110,365
23,V,Vanadium,70,47,23,23,0,7,110,437
24,Cr,Chromium,74,50,24,24,0,0,120,425
25,Mn,Manganese,79,54,25,25,0,5,124,403
26,Fe,Iron,82,56,26,26,0,0,106,372
27,Co,Cobalt,85,58,27,27,0,7,104,345
28,Ni,Nickel,88,60,28,28,0,0,100,352
29,Cu,Copper,91,62,29,29,0,3,102,325
30,Zn,Zinc,95,65,30,30,0,0,30,214
31,Ga,Gallium,98,67,31,31,0,3,34,417
32,Ge,Germanium,101,69,32,32,0,0,32,265
33,As,Arsenic,104,71,33,33,0,3,44,235
34,Se,Selenium,107,73,34,34,0,0,34,207
35,Br,Bromine,110,75,35,35,0,3,38,478
36,Kr,Krypton,114,78,36,36,0,0,60,557
37,Rb,Rubidium,120,83,37,37,0,5,46,780
38,Sr,Strontium,123,85,38,38,0,0,46,461
39,Y,Yttrium,126,87,39,39,0,1,40,410
40,Zr,Zirconium,130,90,40,40,0,0,216,360
41,Nb,Niobium,133,92,41,41,0,9,208,405
42,Mo,Molybdenum,136,94,42,42,0,0,214,313
43,Tc,Technetium,139,96,43,43,1,9,227,363
44,Ru,Ruthenium,143,99,44,44,0,5,233,349
45,Rh,Rhodium,146,101,45,45,0,1,246,343
46,Pd,Palladium,149,103,46,46,0,0,242,247
47,Ag,Silver,152,105,47,47,0,1,240,328
