Z,symbol,PARTICLE,MATTER,ELEMENT,GRAVITY,CLOCK,LIGHT,ACTION,XOR,closed
1,H,3,1,1,1,0,1,1,2,False
2,He,6,2,2,2,0,1,0,5,False
3,Li,1,3,3,3,0,2,3,3,False
4,Be,4,4,4,4,0,2,3,1,False
5,B,7,5,5,5,0,2,3,3,False
6,C,2,6,6,6,0,2,0,6,False
7,N,5,7,7,7,0,2,2,2,False
8,O,0,0,0,0,0,2,0,2,False
9,F,3,1,1,1,0,2,1,1,False
10,Ne,6,2,2,2,0,2,0,6,False
11,Na,1,3,3,3,0,3,3,2,False
12,Mg,4,4,4,4,0,3,0,3,False
13,Al,0,6,5,5,0,3,5,0,True
14,Si,3,7,6,6,0,3,0,7,False
15,P,6,0,7,7,0,3,1,4,False
16,S,1,1,0,0,0,3,0,3,False
17,Cl,4,2,1,1,0,3,3,6,False
18,Ar,7,3,2,2,0,3,0,7,False
19,K,2,4,3,3,0,4,3,1,False
20,Ca,5,5,4,4,0,4,0,4,False
21,Sc,0,6,5,5,0,4,7,5,False
22,Ti,3,7,6,6,0,4,0,0,True
23,V,6,0,7,7,0,4,7,5,False
24,Cr,2,2,0,0,0,4,0,4,False
25,Mn,7,5,1,1,0,4,5,3,False
26,Fe,2,6,2,2,0,4,0,0,True
27,Co,5,7,3,3,0,4,7,1,False
28,Ni,0,0,4,4,0,4,0,4,False
29,Cu,3,1,5,5,0,4,3,5,False
30,Zn,7,3,6,6,0,4,0,0,True
31,Ga,2,4,7,7,0,4,3,1,False
32,Ge,5,5,0,0,0,4,0,4,False
33,As,0,6,1,1,0,4,3,1,False
34,Se,3,7,2,2,0,4,0,0,True
35,Br,6,0,3,3,0,4,3,1,False
36,Kr,2,2,4,4,0,4,0,4,False
37,Rb,0,6,5,5,0,5,5,6,False
38,Sr,3,7,6,6,0,5,0,1,False
39,Y,6,0,7,7,0,5,1,2,False
40,Zr,2,2,0,0,0,5,0,5,False
41,Nb,5,3,1,1,0,5,1,2,False
42,Mo,0,4,2,2,0,5,0,1,False
43,Tc,3,5,3,3,1,5,1,3,False
44,Ru,7,7,4,4,0,5,5,0,True
45,Rh,2,0,5,5,0,5,1,6,False
46,Pd,5,1,6,6,0,5,0,1,False
47,Ag,0,2,7,7,0,5,1,6,False
48,Cd,4,4,0,0,0,5,1,4,False
49,In,3,1,1,1,0,5,1,6,False
50,Sn,6,2,2,2,0,5,0,1,False
51,Sb,2,4,3,3,0,5,5,6,False
52,Te,5,5,4,4,0,5,0,5,False
53,I,0,6,5,5,0,5,5,6,False
54,Xe,4,0,6,6,0,5,0,1,False
55,Cs,7,1,7,7,0,6,7,7,False
56,Ba,2,2,0,0,0,6,3,5,False
57,La,6,4,1,1,0,6,7,3,False
58,Ce,1,5,2,2,0,6,0,2,False
59,Pr,4,6,3,3,0,6,5,1,False
60,Nd,0,0,4,4,0,6,0,6,False
61,Pm,0,6,5,5,1,6,5,4,False
62,Sm,3,7,6,6,0,6,0,2,False
63,Eu,7,1,7,7,0,6,5,5,False
64,Gd,2,2,0,0,0,6,0,6,False
65,Tb,6,4,1,1,0,6,3,7,False
66,Dy,1,5,2,2,0,6,0,2,False
67,Ho,4,6,3,3,0,6,7,3,False
68,Er,0,0,4,4,0,6,0,6,False
69,Tm,3,1,5,5,0,6,1,5,False
70,Yb,7,3,6,6,0,6,0,2,False
71,Lu,2,4,7,7,0,6,7,7,False
72,Hf,6,6,0,0,0,6,0,6,False
73,Ta,7,5,1,1,0,6,7,3,False
74,W,3,7,2,2,0,6,0,2,False
75,Re,6,0,3,3,0,6,5,5,False
76,Os,2,2,4,4,0,6,0,6,False
77,Ir,5,3,5,5,0,6,3,3,False
78,Pt,1,5,6,6,0,6,1,3,False
79,Au,4,6,7,7,0,6,3,7,False
80,Hg,0,0,0,0,0,6,1,7,False
81,Tl,3,1,1,1,0,6,1,5,False
82,Pb,7,3,2,2,0,6,0,2,False
83,Bi,2,4,3,3,0,6,1,1,False
84,Po,6,6,4,4,1,6,0,7,False
85,At,0,6,5,5,1,6,1,0,True
86,Rn,4,0,6,6,1,6,0,3,False
87,Fr,7,1,7,7,1,7,1,1,False
88,Ra,3,3,0,0,1,7,0,6,False
89,Ac,6,4,1,1,1,7,3,7,False
90,Th,2,6,2,2,1,7,0,2,False
91,Pa,6,0,3,3,1,7,3,3,False
92,U,1,1,4,4,1,7,0,6,False
93,Np,5,3,5,5,1,7,5,5,False
94,Pu,0,4,6,6,1,7,0,2,False
95,Am,4,6,7,7,1,7,5,1,False
96,Cm,0,0,0,0,1,7,0,6,False
97,Bk,3,1,1,1,1,7,3,7,False
98,Cf,7,3,2,2,1,7,0,2,False
99,Es,3,5,3,3,1,7,7,7,False
100,Fm,6,6,4,4,1,7,0,6,False
101,Md,2,0,5,5,1,7,1,5,False
102,No,6,2,6,6,1,7,0,2,False
