Z,symbol,PARTICLE,MATTER,ELEMENT,GRAVITY,CLOCK,LIGHT,ACTION,0,closed
1,H,3,1,1,1,0,1,1,0,FALSE
2,He,6,2,2,2,0,1,0,0,FALSE
3,Li,1,3,3,3,0,2,3,0,FALSE
4,Be,4,4,4,4,0,2,3,0,FALSE
5,B,7,5,5,5,0,2,3,0,FALSE
6,C,2,6,6,6,0,2,0,0,FALSE
7,N,5,7,7,7,0,2,2,0,FALSE
8,O,0,0,0,0,0,2,0,0,FALSE
9,F,3,1,1,1,0,2,1,0,FALSE
10,Ne,6,2,2,2,0,2,0,0,FALSE
11,Na,1,3,3,3,0,3,3,0,FALSE
12,Mg,4,4,4,4,0,3,0,0,FALSE
13,Al,0,6,5,5,0,3,5,0,TRUE
14,Si,3,7,6,6,0,3,0,0,FALSE
15,P,6,0,7,7,0,3,1,0,FALSE
16,S,1,1,0,0,0,3,0,0,FALSE
17,Cl,4,2,1,1,0,3,3,0,FALSE
18,Ar,7,3,2,2,0,3,0,0,FALSE
19,K,2,4,3,3,0,4,3,0,FALSE
20,Ca,5,5,4,4,0,4,0,0,FALSE
21,Sc,0,6,5,5,0,4,7,0,FALSE
22,Ti,3,7,6,6,0,4,0,0,TRUE
23,V,6,0,7,7,0,4,7,0,FALSE
24,Cr,2,2,0,0,0,4,0,0,FALSE
25,Mn,7,5,1,1,0,4,5,0,FALSE
26,Fe,2,6,2,2,0,4,0,0,TRUE
27,Co,5,7,3,3,0,4,7,0,FALSE
28,Ni,0,0,4,4,0,4,0,0,FALSE
29,Cu,3,1,5,5,0,4,3,0,FALSE
30,Zn,7,3,6,6,0,4,0,0,TRUE
31,Ga,2,4,7,7,0,4,3,0,FALSE
32,Ge,5,5,0,0,0,4,0,0,FALSE
33,As,0,6,1,1,0,4,3,0,FALSE
34,Se,3,7,2,2,0,4,0,0,TRUE
35,Br,6,0,3,3,0,4,3,0,FALSE
36,Kr,2,2,4,4,0,4,0,0,FALSE
37,Rb,0,6,5,5,0,5,5,0,FALSE
38,Sr,3,7,6,6,0,5,0,0,FALSE
39,Y,6,0,7,7,0,5,1,0,FALSE
40,Zr,2,2,0,0,0,5,0,0,FALSE
41,Nb,5,3,1,1,0,5,1,0,FALSE
42,Mo,0,4,2,2,0,5,0,0,FALSE
43,Tc,3,5,3,3,1,5,1,0,FALSE
44,Ru,7,7,4,4,0,5,5,0,TRUE
45,Rh,2,0,5,5,0,5,1,0,FALSE
46,Pd,5,1,6,6,0,5,0,0,FALSE
47,Ag,0,2,7,7,0,5,1,0,FALSE
48,Cd,4,4,0,0,0,5,1,0,FALSE
49,In,3,1,1,1,0,5,1,0,FALSE
50,Sn,6,2,2,2,0,5,0,0,FALSE
51,Sb,2,4,3,3,0,5,5,0,FALSE
52,Te,5,5,4,4,0,5,0,0,FALSE
53,I,0,6,5,5,0,5,5,0,FALSE
54,Xe,4,0,6,6,0,5,0,0,FALSE
55,Cs,7,1,7,7,0,6,7,0,FALSE
56,Ba,2,2,0,0,0,6,3,0,FALSE
57,La,6,4,1,1,0,6,7,0,FALSE
58,Ce,1,5,2,2,0,6,0,0,FALSE
59,Pr,4,6,3,3,0,6,5,0,FALSE
60,Nd,0,0,4,4,0,6,0,0,FALSE
61,Pm,0,6,5,5,1,6,5,0,FALSE
62,Sm,3,7,6,6,0,6,0,0,FALSE
63,Eu,7,1,7,7,0,6,5,0,FALSE
64,Gd,2,2,0,0,0,6,0,0,FALSE
65,Tb,6,4,1,1,0,6,3,0,FALSE
66,Dy,1,5,2,2,0,6,0,0,FALSE
67,Ho,4,6,3,3,0,6,7,0,FALSE
68,Er,0,0,4,4,0,6,0,0,FALSE
69,Tm,3,1,5,5,0,6,1,0,FALSE
70,Yb,7,3,6,6,0,6,0,0,FALSE
71,Lu,2,4,7,7,0,6,7,0,FALSE
72,Hf,6,6,0,0,0,6,0,0,FALSE
73,Ta,7,5,1,1,0,6,7,0,FALSE
74,W,3,7,2,2,0,6,0,0,FALSE
75,Re,6,0,3,3,0,6,5,0,FALSE
76,Os,2,2,4,4,0,6,0,0,FALSE
77,Ir,5,3,5,5,0,6,3,0,FALSE
78,Pt,1,5,6,6,0,6,1,0,FALSE
79,Au,4,6,7,7,0,6,3,0,FALSE
80,Hg,0,0,0,0,0,6,1,0,FALSE
81,Tl,3,1,1,1,0,6,1,0,FALSE
82,Pb,7,3,2,2,0,6,0,0,FALSE
83,Bi,2,4,3,3,0,6,1,0,FALSE
84,Po,6,6,4,4,1,6,0,0,FALSE
85,At,0,6,5,5,1,6,1,0,TRUE
86,Rn,4,0,6,6,1,6,0,0,FALSE
87,Fr,7,1,7,7,1,7,1,0,FALSE
88,Ra,3,3,0,0,1,7,0,0,FALSE
89,Ac,6,4,1,1,1,7,3,0,FALSE
90,Th,2,6,2,2,1,7,0,0,FALSE
91,Pa,6,0,3,3,1,7,3,0,FALSE
92,U,1,1,4,4,1,7,0,0,FALSE
93,Np,5,3,5,5,1,7,5,0,FALSE
94,Pu,0,4,6,6,1,7,0,0,FALSE
95,Am,4,6,7,7,1,7,5,0,FALSE
96,Cm,0,0,0,0,1,7,0,0,FALSE
97,Bk,3,1,1,1,1,7,3,0,FALSE
98,Cf,7,3,2,2,1,7,0,0,FALSE
99,Es,3,5,3,3,1,7,7,0,FALSE
100,Fm,6,6,4,4,1,7,0,0,FALSE
101,Md,2,0,5,5,1,7,1,0,FALSE
102,No,6,2,6,6,1,7,0,0,FALSE
