check_id,description,status,observed,expected,source
CR211_CHECK_001,all declared sources exist,PASS,[],[],CR211 input manifest
CR211_CHECK_002,PDF page count,PASS,11,11,HH001 PDF
CR211_CHECK_003,PDF contains frontier,PASS,True,True,HH001 PDF
CR211_CHECK_004,CR113 R theorem available,PASS,CR113_PASS_A4_COMPLETED_WRITE_ADDRESS_COUNT_THEOREM,CR113_PASS_A4_COMPLETED_WRITE_ADDRESS_COUNT_THEOREM,CR113
CR211_CHECK_005,CR114 split theorem available,PASS,CR114_PASS_BINARY_FACE_STATE_SPLIT_THEOREM,CR114_PASS_BINARY_FACE_STATE_SPLIT_THEOREM,CR114
CR211_CHECK_006,CR115 D theorem available,PASS,CR115_PASS_D3_INVARIANT_CARRIER_UNIQUENESS_THEOREM_GATE,CR115_PASS_D3_INVARIANT_CARRIER_UNIQUENESS_THEOREM_GATE,CR115
CR211_CHECK_007,CR116 carrier theorem available,PASS,CR116_PASS_18_GRAVITON_CHANNEL_CARRIER_THEOREM,CR116_PASS_18_GRAVITON_CHANNEL_CARRIER_THEOREM,CR116
CR211_CHECK_008,CR119 vault available,PASS,126,126,CR119
CR211_CHECK_009,LC01 primitive stack lock available,PASS,LC01_PASS_LOCKED_PRIMITIVE_STACK_AND_REPLAY_REGISTER,LC01_PASS_LOCKED_PRIMITIVE_STACK_AND_REPLAY_REGISTER,LC01
CR211_CHECK_010,LC02 Higgs replay available,PASS,LC02_PASS_HIGGS_CLOSED_FORM_REPLAY_FROM_LOCKED_PRIMITIVE_STACK,LC02_PASS_HIGGS_CLOSED_FORM_REPLAY_FROM_LOCKED_PRIMITIVE_STACK,LC02
CR211_CHECK_011,R/D partition reproduces 18+126,PASS,"12,3,144,8,18,126","12,3,144,8,18,126",CR113/CR114/CR115
CR211_CHECK_012,Fano lines close,PASS,7/7,7/7,CR211 Fano recompute
CR211_CHECK_013,HH001 126x7 row count,PASS,126,126,HH001_SIS_126x7
CR211_CHECK_014,HH001 8-column row count,PASS,126,126,HH001_SIS_8col
CR211_CHECK_015,CR119 periodic row count,PASS,126,126,CR119 periodic table
CR211_CHECK_016,Z coverage matches 1..126,PASS,1..126,1..126,HH001 tables
CR211_CHECK_017,PARTICLE matches CR119,PASS,126/126,126/126,CR119 p+e+n
CR211_CHECK_018,ELEMENT matches CR119,PASS,126/126,126/126,CR119 Z
CR211_CHECK_019,symbol/name labels match CR119,PASS,126/126,126/126,CR119 labels
CR211_CHECK_020,GRAVITY matches CR119 qA,PASS,126/126,126/126,CR119 qA_total_primary
CR211_CHECK_021,GRAVITON matches CR119 tensor carrier,PASS,126/126,126/126,CR119 tensor_carrier_support_primary
CR211_CHECK_022,GRAVITON equals GRAVITY/8,PASS,126/126,126/126,CR119 qA split
CR211_CHECK_023,all Courtroom-backed rows pass,PASS,126/126,126/126,CR211 row verification
CR211_CHECK_024,known labels are downstream only,PASS,"{""no"": 126}","{""no"": 126}",CR119
CR211_CHECK_025,frontier rows preserved,PASS,8,8,CR119
CR211_CHECK_026,MATTER reference column flagged,PASS,REFERENCE_NOT_COURTROOM_DATA,REFERENCE_NOT_COURTROOM_DATA,HH001 builder
CR211_CHECK_027,CLOCK reference column flagged,PASS,REFERENCE_NOT_COURTROOM_DATA,REFERENCE_NOT_COURTROOM_DATA,HH001 builder
CR211_CHECK_028,LIGHT reference column flagged,PASS,REFERENCE_NOT_COURTROOM_DATA,REFERENCE_NOT_COURTROOM_DATA,HH001 builder
CR211_CHECK_029,ACTION reference column flagged,PASS,REFERENCE_NOT_COURTROOM_DATA,REFERENCE_NOT_COURTROOM_DATA,HH001 builder
CR211_CHECK_030,HH001 builder discloses embedded standard references,PASS,standard reference + NIST present,present,HH001_build_sis_table.py
CR211_CHECK_031,HH001 builder discloses GRAVITON from qA/8,PASS,qA / 8,present,HH001_build_sis_8col_final.py
CR211_CHECK_032,ACTION diagnostic count preserved,PASS,1/102,1/102,HH001 action diagnostic
CR211_CHECK_033,binary diagnostics preserved,PASS,7/102;7/102,7/102;7/102,HH001 binary diagnostics
CR211_CHECK_034,signature diagnostic counts preserved,PASS,101/126;120/126,101/126;120/126,HH001 signatures
CR211_CHECK_035,CR210 prior intake consistent,PASS,"{""failed"": 0, ""passed"": 51, ""total"": 51}",failed=0,CR210
