Z,symbol,symbol_match_cr119,name_match_cr119,particle_expected_cr119,particle_observed_hh001,particle_match_cr119,element_expected_cr119,element_observed_hh001,element_match_cr119,gravity_expected_cr119_qA,gravity_observed_hh001,gravity_match_cr119,graviton_expected_cr119_qA_over_8,graviton_observed_hh001,graviton_match_cr119,gravity_over_8_match,courtroom_backed_row_pass,known_label_status,known_label_used_as_construction_input
1,H,True,True,3,3,True,1,1,True,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,74.135417,True,9.26692708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,9.266927,True,True,True,KNOWN_Z_DOWNSTREAM,no
2,He,True,True,6,6,True,2,2,True,148.2708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,148.270833,True,18.53385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,18.533854,True,True,True,KNOWN_Z_DOWNSTREAM,no
3,Li,True,True,9,9,True,3,3,True,222.4062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,222.406250,True,27.80078124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,27.800781,True,True,True,KNOWN_Z_DOWNSTREAM,no
4,Be,True,True,12,12,True,4,4,True,296.5416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,296.541667,True,37.06770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,37.067708,True,True,True,KNOWN_Z_DOWNSTREAM,no
5,B,True,True,15,15,True,5,5,True,370.6770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,370.677083,True,46.33463541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,46.334635,True,True,True,KNOWN_Z_DOWNSTREAM,no
6,C,True,True,18,18,True,6,6,True,444.8124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,444.812500,True,55.60156249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,55.601562,True,True,True,KNOWN_Z_DOWNSTREAM,no
7,N,True,True,21,21,True,7,7,True,518.9479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,518.947917,True,64.86848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,64.868490,True,True,True,KNOWN_Z_DOWNSTREAM,no
8,O,True,True,24,24,True,8,8,True,593.0833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,593.083333,True,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,74.135417,True,True,True,KNOWN_Z_DOWNSTREAM,no
9,F,True,True,27,27,True,9,9,True,667.2187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,667.218750,True,83.40234374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,83.402344,True,True,True,KNOWN_Z_DOWNSTREAM,no
10,Ne,True,True,30,30,True,10,10,True,741.3541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,741.354167,True,92.6692708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,92.669271,True,True,True,KNOWN_Z_DOWNSTREAM,no
11,Na,True,True,33,33,True,11,11,True,815.4895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333330,815.489583,True,101.9361979166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,101.936198,True,True,True,KNOWN_Z_DOWNSTREAM,no
12,Mg,True,True,36,36,True,12,12,True,889.6249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997,889.625000,True,111.2031250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,111.203125,True,True,True,KNOWN_Z_DOWNSTREAM,no
13,Al,True,True,40,40,True,13,13,True,963.8854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666663,963.885417,True,120.4856770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,120.485677,True,True,True,KNOWN_Z_DOWNSTREAM,no
14,Si,True,True,43,43,True,14,14,True,1038.020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1038.020833,True,129.7526041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,129.752604,True,True,True,KNOWN_Z_DOWNSTREAM,no
15,P,True,True,46,46,True,15,15,True,1112.156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1112.156250,True,139.019531250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,139.019531,True,True,True,KNOWN_Z_DOWNSTREAM,no
16,S,True,True,49,49,True,16,16,True,1186.291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1186.291667,True,148.2864583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,148.286458,True,True,True,KNOWN_Z_DOWNSTREAM,no
17,Cl,True,True,52,52,True,17,17,True,1260.427083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1260.427083,True,157.5533854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,157.553385,True,True,True,KNOWN_Z_DOWNSTREAM,no
18,Ar,True,True,55,55,True,18,18,True,1334.562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1334.562500,True,166.820312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,166.820312,True,True,True,KNOWN_Z_DOWNSTREAM,no
19,K,True,True,58,58,True,19,19,True,1408.697916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1408.697917,True,176.0872395833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,176.087240,True,True,True,KNOWN_Z_DOWNSTREAM,no
20,Ca,True,True,61,61,True,20,20,True,1482.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1482.833333,True,185.3541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,185.354167,True,True,True,KNOWN_Z_DOWNSTREAM,no
21,Sc,True,True,64,64,True,21,21,True,1556.968749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,1556.968750,True,194.6210937499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,194.621094,True,True,True,KNOWN_Z_DOWNSTREAM,no
22,Ti,True,True,67,67,True,22,22,True,1631.104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1631.104167,True,203.8880208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,203.888021,True,True,True,KNOWN_Z_DOWNSTREAM,no
23,V,True,True,70,70,True,23,23,True,1705.239583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1705.239583,True,213.1549479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,213.154948,True,True,True,KNOWN_Z_DOWNSTREAM,no
24,Cr,True,True,74,74,True,24,24,True,1779.499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,1779.500000,True,222.4374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,222.437500,True,True,True,KNOWN_Z_DOWNSTREAM,no
25,Mn,True,True,79,79,True,25,25,True,1853.885416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1853.885417,True,231.7356770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,231.735677,True,True,True,KNOWN_Z_DOWNSTREAM,no
26,Fe,True,True,82,82,True,26,26,True,1928.020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1928.020833,True,241.0026041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,241.002604,True,True,True,KNOWN_Z_DOWNSTREAM,no
27,Co,True,True,85,85,True,27,27,True,2002.156249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,2002.156250,True,250.2695312499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,250.269531,True,True,True,KNOWN_Z_DOWNSTREAM,no
28,Ni,True,True,88,88,True,28,28,True,2076.291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,2076.291667,True,259.5364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,259.536458,True,True,True,KNOWN_Z_DOWNSTREAM,no
29,Cu,True,True,91,91,True,29,29,True,2150.427083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,2150.427083,True,268.8033854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,268.803385,True,True,True,KNOWN_Z_DOWNSTREAM,no
30,Zn,True,True,95,95,True,30,30,True,2224.687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,2224.687500,True,278.0859374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,278.085938,True,True,True,KNOWN_Z_DOWNSTREAM,no
31,Ga,True,True,98,98,True,31,31,True,2298.822916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,2298.822917,True,287.3528645833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,287.352865,True,True,True,KNOWN_Z_DOWNSTREAM,no
32,Ge,True,True,101,101,True,32,32,True,2372.958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,2372.958333,True,296.6197916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,296.619792,True,True,True,KNOWN_Z_DOWNSTREAM,no
33,As,True,True,104,104,True,33,33,True,2447.093749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,2447.093750,True,305.8867187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,305.886719,True,True,True,KNOWN_Z_DOWNSTREAM,no
34,Se,True,True,107,107,True,34,34,True,2521.229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,2521.229167,True,315.1536458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,315.153646,True,True,True,KNOWN_Z_DOWNSTREAM,no
35,Br,True,True,110,110,True,35,35,True,2595.364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,2595.364583,True,324.4205729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,324.420573,True,True,True,KNOWN_Z_DOWNSTREAM,no
36,Kr,True,True,114,114,True,36,36,True,2669.624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,2669.625000,True,333.7031249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,333.703125,True,True,True,KNOWN_Z_DOWNSTREAM,no
37,Rb,True,True,120,120,True,37,37,True,2744.135416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,2744.135417,True,343.0169270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,343.016927,True,True,True,KNOWN_Z_DOWNSTREAM,no
