sample_idx,mass_density_modulation_BEC,MEMS_pressure,EM_laser_focal,acoustic_phonon,charge_pulse_low_field,spontaneous_baseline
0,-2.3233,-3.3979,-2.7469,-11.8321,-6.7489,-20.301
1,-2.941,-4.0405,-3.4868,-12.5719,-7.4887,-20.873
2,-2.64,-3.7394,-3.1857,-12.2709,-7.1877,-20.5719
3,-2.7024,-3.8018,-3.2481,-12.3333,-7.2501,-20.6343
4,-2.3233,-3.3979,-2.6301,-11.7153,-6.632,-20.301
5,-2.3233,-3.3979,-2.7021,-11.7872,-6.704,-20.301
6,-2.3233,-3.3979,-2.568,-11.5278,-6.4445,-20.301
7,-2.8664,-3.9659,-3.4122,-12.4974,-7.4141,-20.7984
8,-2.4631,-3.5625,-3.0088,-12.094,-7.0108,-20.395
9,-2.9352,-4.0347,-3.481,-12.5662,-7.4829,-20.8672
10,-2.7079,-3.8073,-3.2536,-12.3388,-7.2556,-20.6398
11,-2.3626,-3.4621,-2.9084,-11.9936,-6.9103,-20.301
12,-2.9392,-4.0386,-3.4849,-12.5701,-7.4869,-20.8711
13,-2.7317,-3.8312,-3.2775,-12.3626,-7.2794,-20.6637
14,-2.3233,-3.3979,-2.7343,-11.8195,-6.7363,-20.301
15,-2.3233,-3.4144,-2.8607,-11.9459,-6.8627,-20.301
16,-2.7057,-3.8051,-3.2514,-12.3366,-7.2534,-20.6377
17,-2.3233,-3.3979,-2.8073,-11.8925,-6.8093,-20.301
18,-2.3233,-3.3979,-2.568,-11.6274,-6.5442,-20.301
19,-2.9633,-4.0628,-3.5091,-12.5942,-7.511,-20.8953
20,-2.3233,-3.3979,-2.568,-11.6318,-6.5485,-20.301
21,-2.3233,-3.3979,-2.6762,-11.7614,-6.6782,-20.301
22,-2.5614,-3.6609,-3.1072,-12.1924,-7.1091,-20.4934
23,-2.7839,-3.8834,-3.3297,-12.4148,-7.3316,-20.7159
24,-2.3233,-3.3979,-2.568,-11.4495,-6.3662,-20.301
25,-2.5658,-3.6653,-3.1116,-12.1968,-7.1135,-20.4978
26,-2.8594,-3.9589,-3.4052,-12.4904,-7.4071,-20.7914
27,-2.8547,-3.9541,-3.4004,-12.4856,-7.4024,-20.7866
28,-2.3233,-3.3979,-2.568,-11.5816,-6.4983,-20.301
29,-2.3233,-3.3979,-2.7899,-11.8751,-6.7919,-20.301
30,-2.3233,-3.3979,-2.568,-11.6302,-6.5469,-20.301
31,-2.3233,-3.3979,-2.6382,-11.7234,-6.6401,-20.301
32,-2.3254,-3.4249,-2.8712,-11.9564,-6.8731,-20.301
33,-2.3233,-3.3979,-2.568,-11.4303,-6.3471,-20.301
34,-2.5153,-3.6148,-3.0611,-12.1463,-7.063,-20.4473
35,-2.3233,-3.4059,-2.8522,-11.9373,-6.8541,-20.301
36,-2.3233,-3.3979,-2.568,-11.6034,-6.5201,-20.301
37,-2.3233,-3.3979,-2.7721,-11.8573,-6.7741,-20.301
38,-2.3233,-3.3979,-2.568,-11.5645,-6.4812,-20.301
39,-2.3233,-3.3979,-2.8217,-11.9069,-6.8236,-20.301
40,-2.3233,-3.3979,-2.6685,-11.7537,-6.6704,-20.301
41,-2.9159,-4.0154,-3.4617,-12.5469,-7.4636,-20.8479
42,-2.6967,-3.7962,-3.2425,-12.3276,-7.2444,-20.6287
43,-2.6227,-3.7221,-3.1684,-12.2536,-7.1704,-20.5546
44,-2.875,-3.9745,-3.4208,-12.506,-7.4227,-20.807
45,-2.6908,-3.7903,-3.2366,-12.3218,-7.2385,-20.6228
46,-2.8495,-3.949,-3.3953,-12.4804,-7.3972,-20.7815
47,-2.6364,-3.7359,-3.1822,-12.2673,-7.1841,-20.5684
48,-2.3233,-3.3979,-2.7514,-11.8366,-6.7534,-20.301
49,-2.5318,-3.6313,-3.0776,-12.1628,-7.0795,-20.4638
50,-2.5254,-3.6248,-3.0711,-12.1563,-7.0731,-20.4573
51,-2.7189,-3.8183,-3.2646,-12.3498,-7.2666,-20.6508
52,-2.6497,-3.7491,-3.1954,-12.2806,-7.1974,-20.5816
53,-2.3233,-3.3979,-2.568,-11.4742,-6.391,-20.301
54,-2.3233,-3.3979,-2.7366,-11.8217,-6.7385,-20.301
55,-2.3233,-3.3979,-2.7834,-11.8686,-6.7854,-20.301
56,-2.7651,-3.8645,-3.3108,-12.396,-7.3128,-20.697
57,-2.3233,-3.3979,-2.6389,-11.7241,-6.6409,-20.301
58,-2.7744,-3.8738,-3.3201,-12.4053,-7.3221,-20.7063
59,-2.5142,-3.6137,-3.06,-12.1452,-7.0619,-20.4462
60,-2.3233,-3.3979,-2.568,-11.4106,-6.3273,-20.301
61,-2.3233,-3.3979,-2.7462,-11.8314,-6.7482,-20.301
62,-2.3233,-3.3999,-2.8462,-11.9314,-6.8482,-20.301
63,-2.3233,-3.3979,-2.6925,-11.7777,-6.6945,-20.301
64,-2.3233,-3.3979,-2.568,-11.5872,-6.5039,-20.301
65,-2.3233,-3.3979,-2.5825,-11.6677,-6.5844,-20.301
66,-2.6953,-3.7948,-3.2411,-12.3263,-7.243,-20.6273
67,-2.9325,-4.0319,-3.4782,-12.5634,-7.4802,-20.8644
68,-2.5913,-3.6907,-3.137,-12.2222,-7.139,-20.5232
69,-2.6487,-3.7482,-3.1945,-12.2797,-7.1964,-20.5807
70,-2.7171,-3.8165,-3.2628,-12.348,-7.2648,-20.649
71,-2.3233,-3.3979,-2.568,-11.4667,-6.3834,-20.301
72,-2.3233,-3.3979,-2.568,-11.5468,-6.4636,-20.301
73,-2.5922,-3.6917,-3.138,-12.2232,-7.1399,-20.5242
74,-2.3233,-3.3979,-2.7277,-11.8128,-6.7296,-20.301
75,-2.4947,-3.5942,-3.0405,-12.1257,-7.0424,-20.4267
76,-2.3233,-3.3979,-2.568,-11.5008,-6.4176,-20.301
77,-2.4186,-3.5181,-2.9644,-12.0495,-6.9663,-20.3506
78,-2.6522,-3.7516,-3.1979,-12.2831,-7.1999,-20.5841
79,-2.6742,-3.7736,-3.2199,-12.3051,-7.2219,-20.6061
80,-2.3233,-3.3979,-2.8409,-11.9261,-6.8429,-20.301
81,-2.6548,-3.7542,-3.2005,-12.2857,-7.2025,-20.5867
82,-2.3233,-3.3979,-2.813,-11.8981,-6.8149,-20.301
83,-2.3233,-3.3979,-2.568,-11.521,-6.4377,-20.301
84,-2.4902,-3.5897,-3.036,-12.1211,-7.0379,-20.4222
85,-2.707,-3.8065,-3.2528,-12.338,-7.2547,-20.639
86,-2.3233,-3.3979,-2.568,-11.4009,-6.3177,-20.301
87,-2.3576,-3.4571,-2.9034,-11.9885,-6.9053,-20.301
88,-2.8617,-3.9611,-3.4074,-12.4926,-7.4094,-20.7936
89,-2.9144,-4.0138,-3.4601,-12.5453,-7.4621,-20.8464
90,-2.8391,-3.9386,-3.3849,-12.47,-7.3868,-20.7711
91,-2.3233,-3.3979,-2.7614,-11.8465,-6.7633,-20.301
92,-2.3233,-3.3979,-2.568,-11.6483,-6.5651,-20.301
93,-2.4628,-3.5622,-3.0086,-12.0937,-7.0105,-20.3948
94,-2.8946,-3.9941,-3.4404,-12.5256,-7.4423,-20.8266
95,-2.5116,-3.6111,-3.0574,-12.1425,-7.0593,-20.4436
96,-2.3233,-3.3979,-2.568,-11.4026,-6.3194,-20.301
97,-2.334,-3.4335,-2.8798,-11.9649,-6.8817,-20.301
98,-2.3233,-3.3979,-2.568,-11.4328,-6.3495,-20.301
99,-2.3233,-3.3979,-2.568,-11.5656,-6.4823,-20.301
100,-2.9573,-4.0568,-3.5031,-12.5882,-7.505,-20.8893
101,-2.3233,-3.3979,-2.649,-11.7342,-6.651,-20.301
102,-2.3233,-3.3979,-2.696,-11.7812,-6.698,-20.301
103,-2.3245,-3.424,-2.8703,-11.9555,-6.8722,-20.301
104,-2.6498,-3.7493,-3.1956,-12.2808,-7.1975,-20.5818
105,-2.3233,-3.3979,-2.7451,-11.8303,-6.747,-20.301
106,-2.8368,-3.9363,-3.3826,-12.4677,-7.3845,-20.7688
107,-2.4476,-3.5471,-2.9934,-12.0786,-6.9953,-20.3796
108,-2.4248,-3.5242,-2.9705,-12.0557,-6.9725,-20.3568
109,-2.3233,-3.3979,-2.568,-11.4536,-6.3703,-20.301
110,-2.3233,-3.3979,-2.568,-11.5474,-6.4642,-20.301
111,-2.654,-3.7534,-3.1997,-12.2849,-7.2017,-20.5859
112,-2.3684,-3.4678,-2.9141,-11.9993,-6.9161,-20.301
113,-2.756,-3.8555,-3.3018,-12.3869,-7.3037,-20.688
114,-2.3233,-3.3979,-2.568,-11.5031,-6.4199,-20.301
115,-2.3233,-3.3979,-2.568,-11.5539,-6.4706,-20.301
116,-2.6118,-3.7112,-3.1575,-12.2427,-7.1595,-20.5437
117,-2.3233,-3.3979,-2.7475,-11.8327,-6.7495,-20.301
118,-2.3233,-3.3979,-2.7836,-11.8688,-6.7856,-20.301
119,-2.7871,-3.8865,-3.3328,-12.418,-7.3348,-20.7191
120,-2.3233,-3.3979,-2.5987,-11.6839,-6.6007,-20.301
121,-2.3233,-3.4211,-2.8674,-11.9526,-6.8693,-20.301
122,-2.3233,-3.3979,-2.5793,-11.6645,-6.5813,-20.301
123,-2.3325,-3.432,-2.8783,-11.9635,-6.8802,-20.301
124,-2.9704,-4.0699,-3.5162,-12.6014,-7.5181,-20.9024
125,-2.5808,-3.6803,-3.1266,-12.2117,-7.1285,-20.5128
126,-2.9477,-4.0471,-3.4934,-12.5786,-7.4954,-20.8796
127,-2.3233,-3.3979,-2.568,-11.4833,-6.4001,-20.301
128,-2.3233,-3.3979,-2.568,-11.544,-6.4607,-20.301
129,-2.3233,-3.3979,-2.568,-11.6006,-6.5174,-20.301
130,-2.6008,-3.7003,-3.1466,-12.2318,-7.1485,-20.5328
131,-2.9014,-4.0008,-3.4471,-12.5323,-7.4491,-20.8333
132,-2.3233,-3.3979,-2.568,-11.5448,-6.4616,-20.301
133,-2.3233,-3.3979,-2.568,-11.4618,-6.3786,-20.301
134,-2.868,-3.9674,-3.4137,-12.4989,-7.4157,-20.8
135,-2.3859,-3.4854,-2.9317,-12.0169,-6.9336,-20.3179
136,-2.8878,-3.9872,-3.4335,-12.5187,-7.4355,-20.8197
137,-2.3233,-3.3979,-2.601,-11.6862,-6.603,-20.301
138,-2.3233,-3.3979,-2.5947,-11.6799,-6.5967,-20.301
139,-2.8165,-3.916,-3.3623,-12.4475,-7.3642,-20.7485
140,-2.3988,-3.4983,-2.9446,-12.0298,-6.9465,-20.3308
141,-2.3233,-3.4086,-2.8549,-11.94,-6.8568,-20.301
142,-2.652,-3.7514,-3.1977,-12.2829,-7.1997,-20.5839
143,-2.3233,-3.3979,-2.568,-11.5515,-6.4683,-20.301
144,-2.4616,-3.5611,-3.0074,-12.0926,-7.0093,-20.3936
145,-2.7161,-3.8156,-3.2619,-12.347,-7.2638,-20.6481
146,-2.3233,-3.4212,-2.8675,-11.9527,-6.8694,-20.301
147,-2.3233,-3.3979,-2.638,-11.7231,-6.6399,-20.301
148,-2.7289,-3.8284,-3.2747,-12.3598,-7.2766,-20.6609
149,-2.5958,-3.6952,-3.1415,-12.2267,-7.1435,-20.5277
150,-2.3233,-3.3979,-2.568,-11.4038,-6.3205,-20.301
151,-2.3233,-3.3979,-2.7344,-11.8195,-6.7363,-20.301
152,-2.4436,-3.5431,-2.9894,-12.0745,-6.9913,-20.3756
153,-2.3479,-3.4474,-2.8937,-11.9788,-6.8956,-20.301
154,-2.8254,-3.9249,-3.3712,-12.4564,-7.3731,-20.7574
155,-2.7006,-3.8,-3.2463,-12.3315,-7.2483,-20.6325
156,-2.564,-3.6635,-3.1098,-12.195,-7.1117,-20.496
157,-2.3233,-3.3979,-2.8085,-11.8937,-6.8104,-20.301
158,-2.694,-3.7935,-3.2398,-12.325,-7.2417,-20.626
159,-2.706,-3.8054,-3.2517,-12.3369,-7.2537,-20.6379
160,-2.8856,-3.9851,-3.4314,-12.5166,-7.4333,-20.8176
161,-2.3233,-3.3979,-2.757,-11.8421,-6.7589,-20.301
162,-2.6955,-3.7949,-3.2412,-12.3264,-7.2432,-20.6274
163,-2.3233,-3.3979,-2.568,-11.5118,-6.4286,-20.301
164,-2.3233,-3.3979,-2.568,-11.567,-6.4837,-20.301
165,-2.8858,-3.9853,-3.4316,-12.5167,-7.4335,-20.8178
166,-2.6845,-3.784,-3.2303,-12.3155,-7.2322,-20.6165
167,-2.3233,-3.3979,-2.7114,-11.7965,-6.7133,-20.301
168,-2.7132,-3.8126,-3.2589,-12.3441,-7.2609,-20.6451
169,-2.8118,-3.9113,-3.3576,-12.4427,-7.3595,-20.7438
170,-2.3233,-3.3979,-2.568,-11.4756,-6.3924,-20.301
171,-2.3233,-3.3979,-2.8293,-11.9145,-6.8312,-20.301
172,-2.402,-3.5014,-2.9477,-12.0329,-6.9497,-20.3339
173,-2.3233,-3.3979,-2.5721,-11.6573,-6.5741,-20.301
174,-2.3233,-3.3979,-2.568,-11.6297,-6.5465,-20.301
175,-2.7418,-3.8413,-3.2876,-12.3728,-7.2895,-20.6738
176,-2.8544,-3.9539,-3.4002,-12.4853,-7.4021,-20.7864
177,-2.4521,-3.5515,-2.9978,-12.083,-6.9998,-20.3841
178,-2.4611,-3.5605,-3.0068,-12.092,-7.0088,-20.3931
179,-2.4088,-3.5082,-2.9545,-12.0397,-6.9565,-20.3407
180,-2.3233,-3.3979,-2.639,-11.7242,-6.6409,-20.301
181,-2.3233,-3.3979,-2.7061,-11.7912,-6.708,-20.301
182,-2.3233,-3.3979,-2.568,-11.417,-6.3338,-20.301
183,-2.8526,-3.9521,-3.3984,-12.4836,-7.4003,-20.7846
184,-2.4863,-3.5858,-3.0321,-12.1173,-7.034,-20.4183
185,-2.5626,-3.662,-3.1083,-12.1935,-7.1103,-20.4945
186,-2.3233,-3.3979,-2.568,-11.5645,-6.4813,-20.301
187,-2.6717,-3.7712,-3.2175,-12.3026,-7.2194,-20.6037
188,-2.7421,-3.8415,-3.2878,-12.373,-7.2898,-20.6741
189,-2.4309,-3.5304,-2.9767,-12.0619,-6.9786,-20.3629
190,-2.4631,-3.5626,-3.0089,-12.0941,-7.0108,-20.3951
191,-2.6357,-3.7352,-3.1815,-12.2667,-7.1834,-20.5677
192,-2.6703,-3.7698,-3.2161,-12.3013,-7.218,-20.6023
193,-2.3233,-3.3979,-2.568,-11.4903,-6.4071,-20.301
194,-2.4375,-3.537,-2.9833,-12.0685,-6.9852,-20.3695
195,-2.3233,-3.3979,-2.568,-11.5649,-6.4817,-20.301
196,-2.3233,-3.4079,-2.8542,-11.9394,-6.8562,-20.301
197,-2.9102,-4.0097,-3.456,-12.5411,-7.4579,-20.8422
198,-2.3233,-3.3979,-2.568,-11.3988,-6.3156,-20.301
199,-2.3233,-3.3979,-2.568,-11.5954,-6.5121,-20.301
