cr_id,audit_source,constant_name,value,role,classification,rationale
CR221,kernel_terms.csv,proton_qA,145/2,selected proton write qA support,substrate_atom,CR238-derived rational (145/2)
CR221,kernel_terms.csv,electron_qA,145/96,selected electron write qA support,substrate_atom,CR238-derived rational (145/96)
CR221,kernel_terms.csv,neutron_qA,1/8,selected neutron write qA support,substrate_atom,CR238-derived rational (1/8)
CR221,kernel_terms.csv,charged_pair_qA_per_Z,7105/96,GR contribution per Z before neutron contribution,substrate_atom,CR238-derived rational (7105/96)
CR221,kernel_terms.csv,charged_pair_G_per_Z,7105/768,G contribution per Z before neutron contribution,substrate_atom,CR238-derived rational (7105/768)
CR221,kernel_terms.csv,neutron_G_unit,1/64,G contribution per neutron,substrate_atom,CR238-derived rational (1/64)
CR221,kernel_terms.csv,kappa_floor,7117/768,fixed floor kappa for N=Z element rows,substrate_atom,CR238-derived rational (7117/768)
CR222,"declared_constants.csv, PRECOMMIT.md Construction Inputs",R,12,radix/native route constant,substrate_atom,CR238 atom (value 12)
CR222,"declared_constants.csv, PRECOMMIT.md Construction Inputs",D,3,dimension/closure depth constant,substrate_atom,CR238 atom (value 3)
CR222,"declared_constants.csv, PRECOMMIT.md Construction Inputs",alpha_H,2,hidden-source bigrade generator,substrate_atom,CR238 atom (value 2)
CR222,"declared_constants.csv, PRECOMMIT.md Construction Inputs",split,8,2^D carrier split,substrate_atom,CR238 atom (value 8)
CR222,"declared_constants.csv, PRECOMMIT.md Construction Inputs",native_capacity,126,R^2*(1-2^-D),substrate_atom,CR238-derived rational (126)
CR222,"declared_constants.csv, PRECOMMIT.md Construction Inputs",proton_qA,145/2,component write support,substrate_atom,CR238-derived rational (145/2)
CR222,"declared_constants.csv, PRECOMMIT.md Construction Inputs",electron_qA,145/96,component write support,substrate_atom,CR238-derived rational (145/96)
CR222,"declared_constants.csv, PRECOMMIT.md Construction Inputs",neutron_qA,1/8,component write support,substrate_atom,CR238-derived rational (1/8)
CR222,"declared_constants.csv, PRECOMMIT.md Construction Inputs",charged_pair_qA,7105/96,proton_qA + electron_qA,substrate_atom,CR238-derived rational (7105/96)
CR222,"declared_constants.csv, PRECOMMIT.md Construction Inputs",kappa_floor,7117/768,(proton_qA+electron_qA+neutron_qA)/2^D,substrate_atom,CR238-derived rational (7117/768)
CR222,"declared_constants.csv, PRECOMMIT.md Construction Inputs",neutron_G_unit,1/64,neutron_qA/2^D,substrate_atom,CR238-derived rational (1/64)
CR222,"declared_constants.csv, PRECOMMIT.md Construction Inputs",shell_n_path,1;2;3;4;4;3;2;2,"[1, alpha_H, D, R/D, R/D, D, alpha_H, alpha_H]",structural_constant,non-scalar typed sequence (CR222_declared_constants.csv)
CR222,"declared_constants.csv, PRECOMMIT.md Construction Inputs",shell_capacities,2;8;18;32;32;18;8;8,2*n^2 over shell_n_path,structural_constant,non-scalar typed sequence (CR222_declared_constants.csv)
CR222,"declared_constants.csv, PRECOMMIT.md Construction Inputs",R,12,construction_input,substrate_atom,CR238 atom (value 12)
CR222,"declared_constants.csv, PRECOMMIT.md Construction Inputs",D,3,construction_input,substrate_atom,CR238 atom (value 3)
CR222,"declared_constants.csv, PRECOMMIT.md Construction Inputs",alpha_H,2,construction_input,substrate_atom,CR238 atom (value 2)
CR222,"declared_constants.csv, PRECOMMIT.md Construction Inputs",split,8,construction_input,substrate_atom,CR238 atom (value 8)
CR222,"declared_constants.csv, PRECOMMIT.md Construction Inputs",native_capacity,126,construction_input,substrate_atom,CR238-derived rational (126)
CR222,"declared_constants.csv, PRECOMMIT.md Construction Inputs",proton_qA,145/2,construction_input,substrate_atom,CR238-derived rational (145/2)
CR222,"declared_constants.csv, PRECOMMIT.md Construction Inputs",electron_qA,145/96,construction_input,substrate_atom,CR238-derived rational (145/96)
CR222,"declared_constants.csv, PRECOMMIT.md Construction Inputs",neutron_qA,1/8,construction_input,substrate_atom,CR238-derived rational (1/8)
CR224,declared_constants.csv,R,12,radix/native route constant,substrate_atom,CR238 atom (value 12)
CR224,declared_constants.csv,D,3,dimension/closure depth constant,substrate_atom,CR238 atom (value 3)
CR224,declared_constants.csv,alpha_H,2,hidden-source bigrade generator,substrate_atom,CR238 atom (value 2)
CR224,declared_constants.csv,split,8,2^D carrier split,substrate_atom,CR238 atom (value 8)
CR224,declared_constants.csv,native_capacity,126,R^2*(1-2^-D),substrate_atom,CR238-derived rational (126)
CR224,declared_constants.csv,proton_qA,145/2,component write support,substrate_atom,CR238-derived rational (145/2)
CR224,declared_constants.csv,electron_qA,145/96,component write support,substrate_atom,CR238-derived rational (145/96)
CR224,declared_constants.csv,neutron_qA,1/8,component write support,substrate_atom,CR238-derived rational (1/8)
CR224,declared_constants.csv,charged_pair_qA,7105/96,proton_qA+electron_qA,substrate_atom,CR238-derived rational (7105/96)
CR224,declared_constants.csv,kappa_floor,7117/768,(proton_qA+electron_qA+neutron_qA)/split,substrate_atom,CR238-derived rational (7117/768)
CR224,declared_constants.csv,neutron_G_unit,1/64,neutron_qA/split,substrate_atom,CR238-derived rational (1/64)
CR224,declared_constants.csv,shell_n_path,1;2;3;4;4;3;2;2,"[1, alpha_H, D, R/D, R/D, D, alpha_H, alpha_H]",structural_constant,non-scalar typed sequence (CR224_declared_constants.csv)
CR224,declared_constants.csv,shell_capacities,2;8;18;32;32;18;8;8,2*n^2 over shell_n_path,structural_constant,non-scalar typed sequence (CR224_declared_constants.csv)
CR225,formula_terms.csv,R,12,radix/native route constant,substrate_atom,CR238 atom (value 12)
CR225,formula_terms.csv,D,3,closure depth,substrate_atom,CR238 atom (value 3)
CR225,formula_terms.csv,alpha_H,2,hidden-source bigrade generator,substrate_atom,CR238 atom (value 2)
CR225,formula_terms.csv,split,8,2^D carrier split,substrate_atom,CR238 atom (value 8)
CR225,formula_terms.csv,R_squared,144,full 12x12 lattice,substrate_atom,CR238-derived rational (144)
CR225,formula_terms.csv,native_capacity,126,R^2*(1-2^-D),substrate_atom,CR238-derived rational (126)
CR225,formula_terms.csv,tensor_release_T,18,R^2/2^D,substrate_atom,CR238 atom (value 18)
CR225,formula_terms.csv,neutral_vector_carrier_Zc,81,D^(D+1),substrate_atom,CR238 atom (value 81)
CR225,formula_terms.csv,hidden_set,1;2;3;4;6;8;9;12,alpha_H^a*D^b <= R,structural_constant,non-scalar typed sequence (CR225_formula_terms.csv)
CR225,formula_terms.csv,hidden_sum_H,45,sum(hidden_set),substrate_atom,CR238-derived rational (45)
CR225,formula_terms.csv,clock_boundary,83,neutral_vector_carrier_Zc + alpha_H,substrate_atom,CR238-derived rational (83)
CR225,formula_terms.csv,hole_seed,43,hidden_sum_H - alpha_H,substrate_atom,CR238-derived rational (43)
CR225,formula_terms.csv,hole_tensor_shift,61,hole_seed + tensor_release_T,substrate_atom,CR238-derived rational (61)
CR225,formula_terms.csv,hole_set,43;61,"{hole_seed, hole_seed + T}",structural_constant,non-scalar typed sequence (CR225_formula_terms.csv)
CR225,formula_terms.csv,stable_count_candidate,81,clock_boundary - hole_count,substrate_atom,CR238 atom (value 81)
CR226,PRECOMMIT.md Construction Inputs,R,12,construction_input,substrate_atom,CR238 atom (value 12)
CR226,PRECOMMIT.md Construction Inputs,D,3,construction_input,substrate_atom,CR238 atom (value 3)
CR226,PRECOMMIT.md Construction Inputs,alpha_H,2,construction_input,substrate_atom,CR238 atom (value 2)
CR226,PRECOMMIT.md Construction Inputs,split,8,construction_input,substrate_atom,CR238 atom (value 8)
CR226,PRECOMMIT.md Construction Inputs,capacity,126,construction_input,substrate_atom,CR238-derived rational (126)
CR226,PRECOMMIT.md Construction Inputs,shell_n_path,"[1, alpha_H, D, R/D, R/D, D, alpha_H, alpha_H]",construction_input,structural_constant,typed formula from PRECOMMIT Construction Inputs
CR226,PRECOMMIT.md Construction Inputs,kappa_floor,7117/768,construction_input,substrate_atom,CR238-derived rational (7117/768)
CR226,PRECOMMIT.md Construction Inputs,neutron_G_unit,1/64,construction_input,substrate_atom,CR238-derived rational (1/64)
CR238,literal_scan.csv,input_boundary_L39,81,input_boundary,substrate_atom,CR238 atom (value 81)
CR238,literal_scan.csv,input_boundary_L40,8,input_boundary,substrate_atom,CR238 atom (value 8)
CR238,literal_scan.csv,allowed_substrate_constant_L626,18,allowed_substrate_constant,substrate_atom,CR238 atom (value 18)
CR238,literal_scan.csv,allowed_substrate_constant_L627,27,allowed_substrate_constant,substrate_atom,CR238-derived rational (27)
CR238,literal_scan.csv,allowed_substrate_constant_L628,64,allowed_substrate_constant,substrate_atom,CR238-derived rational (64)
CR238,literal_scan.csv,allowed_substrate_constant_L629,126,allowed_substrate_constant,substrate_atom,CR238-derived rational (126)
CR238,literal_scan.csv,allowed_substrate_constant_L630,144,allowed_substrate_constant,substrate_atom,CR238-derived rational (144)
CR238,literal_scan.csv,allowed_substrate_constant_L631,162,allowed_substrate_constant,substrate_atom,CR238-derived rational (162)
CR238,literal_scan.csv,allowed_substrate_constant_L632,324,allowed_substrate_constant,substrate_atom,CR238-derived rational (324)
CR238,literal_scan.csv,allowed_substrate_constant_L633,647,allowed_substrate_constant,substrate_atom,CR238-derived rational (647)
CR238,literal_scan.csv,allowed_substrate_constant_L634,768,allowed_substrate_constant,substrate_atom,CR238-derived rational (768)
CR238,literal_scan.csv,allowed_substrate_constant_L635,7117,allowed_substrate_constant,substrate_atom,CR238-derived rational (7117)
