cr_id,constant_name,value,role,classification,rationale
CR222,R,12,radix/native route constant,substrate_atom,CR238 atom (value 12)
CR222,D,3,dimension/closure depth constant,substrate_atom,CR238 atom (value 3)
CR222,alpha_H,2,hidden-source bigrade generator,substrate_atom,CR238 atom (value 2)
CR222,split,8,2^D carrier split,substrate_atom,CR238 atom (value 8)
CR222,native_capacity,126,R^2*(1-2^-D),substrate_atom,CR238-derived rational (126)
CR222,proton_qA,145/2,component write support,substrate_atom,CR238-derived rational (145/2)
CR222,electron_qA,145/96,component write support,substrate_atom,CR238-derived rational (145/96)
CR222,neutron_qA,1/8,component write support,substrate_atom,CR238-derived rational (1/8)
CR222,charged_pair_qA,7105/96,proton_qA + electron_qA,structural_constant,qA / kappa / G_unit typed value (7105/96) — derived from substrate arithmetic per CR221/CR222
CR222,kappa_floor,7117/768,(proton_qA+electron_qA+neutron_qA)/2^D,substrate_atom,CR238-derived rational (7117/768)
CR222,neutron_G_unit,1/64,neutron_qA/2^D,substrate_atom,CR238-derived rational (1/64)
CR222,shell_n_path,1;2;3;4;4;3;2;2,"[1, alpha_H, D, R/D, R/D, D, alpha_H, alpha_H]",structural_constant,non-scalar typed sequence (shell structure)
CR222,shell_capacities,2;8;18;32;32;18;8;8,2*n^2 over shell_n_path,structural_constant,non-scalar typed sequence (shell structure)
CR224,R,12,radix/native route constant,substrate_atom,CR238 atom (value 12)
CR224,D,3,dimension/closure depth constant,substrate_atom,CR238 atom (value 3)
CR224,alpha_H,2,hidden-source bigrade generator,substrate_atom,CR238 atom (value 2)
CR224,split,8,2^D carrier split,substrate_atom,CR238 atom (value 8)
CR224,native_capacity,126,R^2*(1-2^-D),substrate_atom,CR238-derived rational (126)
CR224,proton_qA,145/2,component write support,substrate_atom,CR238-derived rational (145/2)
CR224,electron_qA,145/96,component write support,substrate_atom,CR238-derived rational (145/96)
CR224,neutron_qA,1/8,component write support,substrate_atom,CR238-derived rational (1/8)
CR224,charged_pair_qA,7105/96,proton_qA+electron_qA,structural_constant,qA / kappa / G_unit typed value (7105/96) — derived from substrate arithmetic per CR221/CR222
CR224,kappa_floor,7117/768,(proton_qA+electron_qA+neutron_qA)/split,substrate_atom,CR238-derived rational (7117/768)
CR224,neutron_G_unit,1/64,neutron_qA/split,substrate_atom,CR238-derived rational (1/64)
CR224,shell_n_path,1;2;3;4;4;3;2;2,"[1, alpha_H, D, R/D, R/D, D, alpha_H, alpha_H]",structural_constant,non-scalar typed sequence (shell structure)
CR224,shell_capacities,2;8;18;32;32;18;8;8,2*n^2 over shell_n_path,structural_constant,non-scalar typed sequence (shell structure)
CR238,input_block_L39,81,input_boundary,substrate_atom,CR238 atom (value 81)
CR238,input_block_L40,8,input_boundary,substrate_atom,CR238 atom (value 8)
