n_conn,q_abs,exact_match,close_match,approximate_match,systematic_miss,total,mean_abs_rel_delta,max_abs_rel_delta
1,1,0,0,6,0,6,0.00019290124174592740788398240594808597426755484094113032908750903061730443957519183,0.00019293845263360987844877484082577657727185027976075631873432375072351919737603581
1,2,0,0,8,0,8,0.00024112655722945920641347523857592525147426574841140147111061392195947812854563699,0.00024118469924268004437798466065312816554917756017558246104867107230717283295548076
1,3,0,0,4,0,4,0.00028935187607769131362486483725840771906411078091098117998800227898092211653866808,0.00028943560057887120115774240231548480463096960926193921852387843704775687409551190
1,4,0,0,4,0,4,0.00033757719896356413556413955500756524149971452153631106027183527672752041902847722,0.00033769115731583771527811278884654348979690288967147474552559216556515027256500839
1,5,0,0,4,0,4,0.00038580252656001826608258466259321514459482771580345087857148279301381878563593838,0.00038595137012736395214203010420686993438826707834812813585488228483211115399459421
1,6,0,0,2,0,2,0.00043402785953999451813771153913173706275790419550845214626211402085179851236198844,0.00043421623968736430742509769865392965696917064698219713417281806339557099435519111
1,7,0,0,2,0,2,0.00048225319857643395509420826467186749081232769785802646306750301005906308603963927,0.00048248576666988323844446588825629643925504197626170027984174466853227829779021210
2,1,8,0,0,0,8,0,0
2,2,7,0,0,0,7,0,0
2,3,7,0,0,0,7,0,0
2,4,3,0,0,0,3,0,0
2,6,3,0,0,0,3,0,0
2,7,2,0,0,0,2,0,0
2,9,1,0,0,0,1,0,0
