n_conn,q_abs,exact_match,close_match,approximate_match,systematic_miss,total,mean_abs_rel_delta,max_abs_rel_delta
1,0,0,0,0,9,9,0.099772017426940139654246324626494519267113613304951558676666600354109057632243818,0.11627906976744186046511627906976744186046511627906976744186046511627906976744186
1,1,0,2,6,0,8,0.00016577450399058214744822464764745419799300061465507696492289390268277522137717545,0.00019293845263360987844877484082577657727185027976075631873432375072351919737603581
1,2,0,0,8,0,8,0.00024112655722945920641347523857592525147426574841140147111061392195947812854563699,0.00024118469924268004437798466065312816554917756017558246104867107230717283295548076
1,3,0,0,8,0,8,0.00023509839469980500331154667428299387605271702187945751136624213785411940220252544,0.00028943560057887120115774240231548480463096960926193921852387843704775687409551190
1,4,0,0,6,0,6,0.00030140820866551686830069675885094020044675495677931637911118951674470864888870487,0.00033769115731583771527811278884654348979690288967147474552559216556515027256500839
1,5,0,0,6,0,6,0.00034963353304447591318715487299165556636083997415925650027342654796867876004762863,0.00038595137012736395214203010420686993438826707834812813585488228483211115399459421
1,6,0,0,6,0,6,0.00036168986506450862461331250352984443801110375802754702510337163048352594343345543,0.00043421623968736430742509769865392965696917064698219713417281806339557099435519111
1,7,0,0,4,0,4,0.0004279996963794601220989861027894175382659657430120843010623858438354326540509150,0.00048248576666988323844446588825629643925504197626170027984174466853227829779021210
1,8,0,0,4,0,4,0.0004219715257534937964007397815641890161022611188764809978808409561970882333548693,0.00042214958569033518677103812613829620427215380718619209012290583651955758723419257
1,9,0,0,2,0,2,0.00047019686321272919757046900908709885255751600935325777017277213830318813721510416,0.00047041794825402569205717387371087389180387190157409082685000904649900488510946338
1,10,0,0,2,0,2,0.0005184222072331337643242856545346082642449680853603693038544544851518433946543945,0.00051869096874585348789520029915200057900387208839459113882824091386111144618279177
1,11,0,0,2,0,2,0.0005666475584876490735574246816821363361940595624618131242127908198874413731087578,0.00056696864784009071498365441451439738470632230358155301156857304848185097168775722
2,0,0,0,0,30,30,2.7421024694485662239272314911994981482151689527463115100189400793794409660646857,6
2,1,4,0,0,22,26,0.38458076789114544821250826828764597730545568144253397697241010682358072676116308,0.99999999999999999999999999999999999999999999999999999999999999999999999999999994
2,2,4,0,0,19,23,0.47614148193182642205550954724091473989258256532280719840512691472588370743276183,1.4285714285714285714285714285714285714285714285714285714285714285714285714285715
2,3,7,0,0,4,11,0.1817195569772143742418215350627747112757780678078656598166235456945325675662348,0.49972878168733952916500922142263045600838968647163056449571475065996456080714571
2,4,3,0,0,4,7,0.33312612679318319181872814214942633635303861790367823177629958966217298244828587,0.58297072188807058568277424876149608861781758133143690560852428190880271928450026
2,5,0,0,0,8,8,0.66620463557800089192088420697385707570479829329733508503380862270541299552834259,0.66620463557800089192088420697385707570479829329733508503380862270541299552834256
2,6,3,0,0,2,5,0.2997722095671981776765375854214123006833712984054669703872437357630979498861048,0.74943052391799544419134396355353075170842824601366742596810933940774487471526202
2,7,2,0,0,2,4,0.41632419403434769508888219343175655317866827357637842723711961434166917746309128,0.83264838806869539017776438686351310635733654715275685447423922868333835492618257
2,8,0,0,0,3,3,0.91585822919051808288844165391243567649646296050808035768085901252124031381433857,0.91585822919051808288844165391243567649646296050808035768085901252124031381433857
2,9,1,0,0,0,1,0,0
2,10,0,0,0,1,1,1.0822538469880824707484304770626724667719040331618205261064986082157446347018208,1.0822538469880824707484304770626724667719040331618205261064986082157446347018208
2,11,0,0,0,1,1,1.1654396259835403838970490776108252702100227735537588413201431480521984311551856,1.1654396259835403838970490776108252702100227735537588413201431480521984311551856
