item,value,pass
z_eq_SAM,3596.1706767469873,True
z_eq_Planck,3402.0,True
z_eq_dev_pct,5.707544877924376,True
z_star (Peebles DER)_SAM,227.31514634732372,True
z_star (Peebles DER)_Planck,1089.92,True
z_star (Peebles DER)_dev_pct,-79.14386869244314,True
z_drag (Peebles DER)_SAM,427.1521070291748,True
z_drag (Peebles DER)_Planck,1059.94,True
z_drag (Peebles DER)_dev_pct,-59.70035030009484,True
r_s(z_star) Mpc_SAM,328.2601483742965,True
r_s(z_star) Mpc_Planck,144.43,True
r_s(z_star) Mpc_dev_pct,127.27975377296717,True
r_d Mpc_SAM,244.1353814091623,True
r_d Mpc_Planck,147.09,True
r_d Mpc_dev_pct,65.97687226131097,True
D_M(z_star) Mpc_SAM,13015.320526885858,True
D_M(z_star) Mpc_Planck,13869.6,True
D_M(z_star) Mpc_dev_pct,-6.15936633438702,True
ell_A_SAM,124.56228864174466,True
ell_A_Planck,301.76,True
ell_A_dev_pct,-58.72140487747062,True
100*theta_*_SAM,2.522105757566298,True
100*theta_*_Planck,1.0411,True
100*theta_*_dev_pct,142.25393886910942,True
k_eq_per_Mpc,0.010975788982681985,True
eta_10_SAM,6.3728493083088065,True
eta_10_dev_pct,4.4729394804722435,True
T_f_MeV_schematic,1.1499063356355128,True
Y_p_SAM_schematic,0.3937819316323614,True
D_H_SAM_scaled,2.3561294029618494e-05,True
D_H_dev_pct,-6.761796479546921,True
P1_100theta_passed,False,False
P2_ellA_passed,False,False
P3_rd_passed,False,False
WC1_canonical_percentile,71.89999999999999,True
WC1_p_value,0.7192807192807192,True
WC2_canonical_percentile,31.900000000000002,True
WC2_p_value,0.3196803196803197,True
verdict,FAIL,False
