item,value,pass
A_horizon,1,True
alpha_H,2,True
D,3,True
R = 2*alpha_H*D,12,True
A_0_via_projection,0.026525823848649224,True
A_0_sealed_value,0.026525823848649224,True
Omega_m_via_coupling,0.3183098861837907,True
P1_max_relative_deviation,0.0,True
P2_max_relative_deviation,0.0,True
P3_max_abs_deviation,0.0,True
P1_passed,True,True
P2_passed,True,True
P3_passed,True,True
verdict,PASS,True
E1_D2_A_0,0.039788735772973836,True
E1_D2_R_A0,0.3183098861837907,True
E1_D3_A_0,0.026525823848649224,True
E1_D3_R_A0,0.3183098861837907,True
E1_D4_A_0,0.019894367886486918,True
E1_D4_R_A0,0.3183098861837907,True
E1_D5_A_0,0.015915494309189534,True
E1_D5_R_A0,0.3183098861837907,True
E2_r_over_rs_1.0_A,1.0,True
E2_r_over_rs_2.0_A,0.5,True
E2_r_over_rs_5.0_A,0.2,True
E2_r_over_rs_10.0_A,0.1,True
E2_r_over_rs_100.0_A,0.01,True
E2_r_over_rs_1000.0_A,0.001,True
E3_full_local_closure,1.0,True
E3_angular/dim_projection,0.026525823848649224,True
E3_cosmic_background_seed,0.026525823848649224,True
E3_radix_coupling,12.0,True
E3_matter_density_identity,0.3183098861837907,True
E3_substrate_carrier_ratio,0.0707355302630646,True
E3_baryon_density_identity,0.049299011266100756,True
E3_Lambda_density_identity,0.6816901138162094,True
