ell,Dl_planck,sigma_planck,Dl_SAM_theory,residual,z_score
30,3.458303e-02,9.179162e-02,2.200552e-02,-1.257751e-02,-0.1370
31,-5.074873e-02,9.127487e-02,2.466469e-02,7.541343e-02,0.8262
32,3.105831e-01,9.083904e-02,2.753705e-02,-2.830461e-01,-3.1159
33,-1.572610e-02,9.062884e-02,3.059380e-02,4.631990e-02,0.5111
34,5.532406e-03,9.055815e-02,3.387404e-02,2.834163e-02,0.3130
35,-4.659789e-02,9.062215e-02,3.738661e-02,8.398450e-02,0.9268
36,-1.504858e-01,9.081437e-02,4.115652e-02,1.916423e-01,2.1103
37,5.680157e-02,9.113294e-02,4.519445e-02,-1.160712e-02,-0.1274
38,2.664849e-01,9.156860e-02,4.947592e-02,-2.170090e-01,-2.3699
39,1.687201e-01,9.211337e-02,5.399770e-02,-1.147224e-01,-1.2454
40,7.316917e-02,9.275870e-02,5.876451e-02,-1.440467e-02,-0.1553
41,2.091847e-01,9.350519e-02,6.378259e-02,-1.454021e-01,-1.5550
42,2.245869e-02,9.434061e-02,6.906402e-02,4.660532e-02,0.4940
43,4.609996e-02,9.526153e-02,7.462210e-02,2.852215e-02,0.2994
44,-1.343687e-02,9.626667e-02,8.046803e-02,9.390491e-02,0.9755
45,1.880354e-01,9.735502e-02,8.661015e-02,-1.014253e-01,-1.0418
46,7.808443e-02,9.852471e-02,9.305297e-02,1.496854e-02,0.1519
47,-5.294248e-02,9.977367e-02,9.979738e-02,1.527399e-01,1.5309
48,2.556398e-01,1.010993e-01,1.068365e-01,-1.488033e-01,-1.4719
49,2.098348e-01,1.024988e-01,1.141627e-01,-9.567211e-02,-0.9334
50,4.576209e-02,1.039691e-01,1.217794e-01,7.601734e-02,0.7312
51,2.465328e-01,1.055073e-01,1.296914e-01,-1.168414e-01,-1.1074
52,2.161600e-01,1.071115e-01,1.379030e-01,-7.825697e-02,-0.7306
53,6.003299e-02,1.087796e-01,1.464156e-01,8.638260e-02,0.7941
54,1.526542e-01,1.105083e-01,1.552309e-01,2.576712e-03,0.0233
55,2.371262e-01,1.122944e-01,1.643525e-01,-7.277368e-02,-0.6481
56,-2.097982e-02,1.141421e-01,1.737768e-01,1.947566e-01,1.7063
57,1.285387e-01,1.160456e-01,1.834998e-01,5.496113e-02,0.4736
58,3.174943e-01,1.180011e-01,1.935195e-01,-1.239748e-01,-1.0506
59,2.941221e-01,1.200061e-01,2.038347e-01,-9.028740e-02,-0.7524
60,1.643335e-01,1.220596e-01,2.144367e-01,5.010319e-02,0.4105
61,3.951703e-01,1.241646e-01,2.253180e-01,-1.698523e-01,-1.3680
62,4.267222e-01,1.263196e-01,2.364757e-01,-1.902465e-01,-1.5061
63,2.878063e-01,1.285187e-01,2.479089e-01,-3.989741e-02,-0.3104
64,1.784787e-01,1.307602e-01,2.596157e-01,8.113705e-02,0.6205
65,3.632060e-01,1.330427e-01,2.715968e-01,-9.160918e-02,-0.6886
66,5.238038e-01,1.353647e-01,2.838456e-01,-2.399582e-01,-1.7727
67,4.842683e-01,1.377247e-01,2.963547e-01,-1.879135e-01,-1.3644
68,2.236822e-01,1.401214e-01,3.091134e-01,8.543119e-02,0.6097
69,3.906483e-02,1.425525e-01,3.221131e-01,2.830483e-01,1.9856
70,2.505655e-01,1.450160e-01,3.353461e-01,8.478064e-02,0.5846
71,4.753509e-01,1.475097e-01,3.488073e-01,-1.265437e-01,-0.8579
72,1.864577e-01,1.500317e-01,3.624922e-01,1.760345e-01,1.1733
73,3.995410e-01,1.525798e-01,3.763955e-01,-2.314554e-02,-0.1517
74,4.854431e-01,1.551522e-01,3.905057e-01,-9.493740e-02,-0.6119
75,2.559501e-01,1.577470e-01,4.048106e-01,1.488605e-01,0.9437
76,5.150928e-01,1.603624e-01,4.192961e-01,-9.579677e-02,-0.5974
77,3.249944e-01,1.629966e-01,4.339511e-01,1.089567e-01,0.6685
78,7.725834e-01,1.656478e-01,4.487637e-01,-3.238198e-01,-1.9549
79,3.785778e-01,1.683144e-01,4.637221e-01,8.514430e-02,0.5059
80,2.774002e-01,1.709947e-01,4.788150e-01,2.014148e-01,1.1779
81,3.803799e-01,1.736871e-01,4.940307e-01,1.136508e-01,0.6543
82,8.067700e-01,1.763899e-01,5.093589e-01,-2.974110e-01,-1.6861
83,7.036006e-01,1.791013e-01,5.247876e-01,-1.788131e-01,-0.9984
84,4.449323e-01,1.818193e-01,5.403054e-01,9.537310e-02,0.5245
85,3.929392e-01,1.845420e-01,5.559004e-01,1.629612e-01,0.8831
86,5.208876e-01,1.872676e-01,5.715627e-01,5.067507e-02,0.2706
87,5.414386e-01,1.899942e-01,5.872785e-01,4.583992e-02,0.2413
88,5.332948e-01,1.927203e-01,6.030350e-01,6.974016e-02,0.3619
89,4.566091e-01,1.954440e-01,6.188190e-01,1.622099e-01,0.8300
90,7.588234e-01,1.981636e-01,6.346131e-01,-1.242103e-01,-0.6268
91,5.161741e-01,2.008772e-01,6.504037e-01,1.342296e-01,0.6682
92,6.045073e-01,2.035832e-01,6.661757e-01,6.166840e-02,0.3029
93,1.184973e+00,2.062796e-01,6.819141e-01,-5.030594e-01,-2.4387
