ell,Dl_planck,sigma_planck,Dl_SAM_theory,residual,z_score
30,1.502252e+00,3.536843e+00,1.904261e+00,4.020091e-01,0.1137
31,1.611426e+00,3.518771e+00,1.931679e+00,3.202533e-01,0.0910
32,3.306637e+00,3.503069e+00,1.952340e+00,-1.354297e+00,-0.3866
33,-4.272596e-02,3.493051e+00,1.964659e+00,2.007385e+00,0.5747
34,1.186018e+00,3.486595e+00,1.970049e+00,7.840308e-01,0.2249
35,-2.045030e+00,3.483637e+00,1.960482e+00,4.005512e+00,1.1498
36,3.858202e+00,3.483838e+00,1.947032e+00,-1.911170e+00,-0.5486
37,6.757431e+00,3.487363e+00,1.922707e+00,-4.834724e+00,-1.3864
38,6.721415e+00,3.493802e+00,1.888194e+00,-4.833221e+00,-1.3834
39,3.157245e-01,3.502961e+00,1.843362e+00,1.527637e+00,0.4361
40,4.165823e+00,3.514651e+00,1.786854e+00,-2.378969e+00,-0.6769
41,6.574405e-02,3.528906e+00,1.717811e+00,1.652067e+00,0.4682
42,-6.489063e-01,3.545338e+00,1.637295e+00,2.286202e+00,0.6448
43,1.898264e+00,3.563782e+00,1.546451e+00,-3.518126e-01,-0.0987
44,-8.597366e-01,3.584313e+00,1.444819e+00,2.304556e+00,0.6430
45,-1.578387e+00,3.606987e+00,1.331634e+00,2.910021e+00,0.8068
46,-1.575681e+00,3.631593e+00,1.206549e+00,2.782230e+00,0.7661
47,1.728088e+00,3.657929e+00,1.069032e+00,-6.590557e-01,-0.1802
48,-4.904583e-01,3.686079e+00,9.184863e-01,1.408945e+00,0.3822
49,6.967885e+00,3.716123e+00,7.543897e-01,-6.213495e+00,-1.6720
50,1.108557e+00,3.747845e+00,5.763585e-01,-5.321983e-01,-0.1420
51,9.887925e+00,3.781037e+00,3.843064e-01,-9.503618e+00,-2.5135
52,-3.904995e+00,3.815787e+00,1.791338e-01,4.084129e+00,1.0703
53,-6.215301e+00,3.852186e+00,-3.822218e-02,6.177078e+00,1.6035
54,4.851016e+00,3.890039e+00,-2.676834e-01,-5.118699e+00,-1.3158
55,-1.188020e+00,3.929155e+00,-5.095413e-01,6.784785e-01,0.1727
56,-9.061595e+00,3.969796e+00,-7.647107e-01,8.296885e+00,2.0900
57,-6.998917e+00,4.012025e+00,-1.034034e+00,5.964883e+00,1.4868
58,-3.776110e+00,4.055613e+00,-1.317655e+00,2.458454e+00,0.6062
59,2.527824e+00,4.100334e+00,-1.615433e+00,-4.143256e+00,-1.0105
60,-2.927181e+00,4.146275e+00,-1.926807e+00,1.000374e+00,0.2413
61,-6.866291e+00,4.193636e+00,-2.251263e+00,4.615029e+00,1.1005
62,-6.607479e+00,4.242417e+00,-2.588807e+00,4.018672e+00,0.9473
63,5.834825e-01,4.292502e+00,-2.939594e+00,-3.523077e+00,-0.8208
64,-6.216298e+00,4.343852e+00,-3.303772e+00,2.912527e+00,0.6705
65,-2.027235e+00,4.396423e+00,-3.681545e+00,-1.654310e+00,-0.3763
66,-3.195845e+00,4.450170e+00,-4.073142e+00,-8.772966e-01,-0.1971
67,-4.545834e-02,4.505053e+00,-4.478034e+00,-4.432576e+00,-0.9839
68,-5.430466e+00,4.561026e+00,-4.895500e+00,5.349659e-01,0.1173
69,8.840813e-01,4.618048e+00,-5.324846e+00,-6.208928e+00,-1.3445
70,-4.392437e+00,4.676070e+00,-5.765574e+00,-1.373137e+00,-0.2937
71,-5.472527e+00,4.735051e+00,-6.217490e+00,-7.449632e-01,-0.1573
72,-7.254923e+00,4.794950e+00,-6.681456e+00,5.734673e-01,0.1196
73,-1.068186e+01,4.855730e+00,-7.158379e+00,3.523482e+00,0.7256
74,-1.490662e+01,4.917348e+00,-7.648099e+00,7.258524e+00,1.4761
75,-2.186295e+00,4.979773e+00,-8.150120e+00,-5.963825e+00,-1.1976
76,-1.164353e+01,5.042967e+00,-8.663867e+00,2.979666e+00,0.5909
77,-6.899648e+00,5.106902e+00,-9.187921e+00,-2.288273e+00,-0.4481
