ell,Dl_TT_SAM,Dl_TE_SAM,Dl_EE_SAM
2,1.015137e+03,2.662551e+00,3.140573e-02
3,9.626265e+02,2.975145e+00,4.012575e-02
4,9.118084e+02,2.783857e+00,3.467363e-02
5,8.738783e+02,2.366321e+00,2.307777e-02
6,8.480549e+02,1.902887e+00,1.287821e-02
7,8.317732e+02,1.492976e+00,6.947042e-03
8,8.221178e+02,1.178664e+00,4.470873e-03
9,8.177120e+02,9.667998e-01,3.575094e-03
10,8.171258e+02,8.488866e-01,3.043733e-03
11,8.190008e+02,8.061633e-01,2.574440e-03
12,8.241468e+02,8.188972e-01,2.275478e-03
13,8.305578e+02,8.615462e-01,2.208904e-03
14,8.380921e+02,9.151323e-01,2.311931e-03
15,8.457317e+02,9.740903e-01,2.503723e-03
16,8.552628e+02,1.037572e+00,2.771923e-03
17,8.665408e+02,1.102502e+00,3.160438e-03
18,8.784242e+02,1.167907e+00,3.712059e-03
19,8.916547e+02,1.237443e+00,4.429574e-03
20,9.046061e+02,1.306574e+00,5.289717e-03
21,9.179860e+02,1.380264e+00,6.285448e-03
22,9.318367e+02,1.458825e+00,7.427531e-03
23,9.457739e+02,1.537990e+00,8.709437e-03
24,9.601148e+02,1.613100e+00,1.012932e-02
25,9.749842e+02,1.678064e+00,1.169045e-02
26,9.898849e+02,1.738250e+00,1.340389e-02
27,1.005233e+03,1.793345e+00,1.528210e-02
28,1.020867e+03,1.837309e+00,1.732162e-02
29,1.036716e+03,1.876144e+00,1.955281e-02
30,1.052977e+03,1.904261e+00,2.200552e-02
31,1.069028e+03,1.931679e+00,2.466469e-02
32,1.085662e+03,1.952340e+00,2.753705e-02
33,1.102358e+03,1.964659e+00,3.059380e-02
34,1.119105e+03,1.970049e+00,3.387404e-02
35,1.136483e+03,1.960482e+00,3.738661e-02
36,1.153593e+03,1.947032e+00,4.115652e-02
37,1.170960e+03,1.922707e+00,4.519445e-02
38,1.188693e+03,1.888194e+00,4.947592e-02
39,1.206691e+03,1.843362e+00,5.399770e-02
40,1.224872e+03,1.786854e+00,5.876451e-02
41,1.243147e+03,1.717811e+00,6.378259e-02
42,1.261521e+03,1.637295e+00,6.906402e-02
43,1.280008e+03,1.546451e+00,7.462210e-02
44,1.298660e+03,1.444819e+00,8.046803e-02
45,1.317543e+03,1.331634e+00,8.661015e-02
46,1.336626e+03,1.206549e+00,9.305297e-02
47,1.355890e+03,1.069032e+00,9.979738e-02
48,1.375308e+03,9.184863e-01,1.068365e-01
49,1.394865e+03,7.543897e-01,1.141627e-01
50,1.414617e+03,5.763585e-01,1.217794e-01
51,1.434621e+03,3.843064e-01,1.296914e-01
52,1.454825e+03,1.791338e-01,1.379030e-01
53,1.475160e+03,-3.822218e-02,1.464156e-01
54,1.495610e+03,-2.676834e-01,1.552309e-01
55,1.516170e+03,-5.095413e-01,1.643525e-01
56,1.536955e+03,-7.647107e-01,1.737768e-01
57,1.558064e+03,-1.034034e+00,1.834998e-01
58,1.579453e+03,-1.317655e+00,1.935195e-01
59,1.601032e+03,-1.615433e+00,2.038347e-01
60,1.622780e+03,-1.926807e+00,2.144367e-01
61,1.644703e+03,-2.251263e+00,2.253180e-01
62,1.666807e+03,-2.588807e+00,2.364757e-01
63,1.689113e+03,-2.939594e+00,2.479089e-01
64,1.711625e+03,-3.303772e+00,2.596157e-01
65,1.734373e+03,-3.681545e+00,2.715968e-01
66,1.757394e+03,-4.073142e+00,2.838456e-01
67,1.780669e+03,-4.478034e+00,2.963547e-01
68,1.804162e+03,-4.895500e+00,3.091134e-01
69,1.827826e+03,-5.324846e+00,3.221131e-01
70,1.851633e+03,-5.765574e+00,3.353461e-01
71,1.875560e+03,-6.217490e+00,3.488073e-01
72,1.899718e+03,-6.681456e+00,3.624922e-01
73,1.924220e+03,-7.158379e+00,3.763955e-01
74,1.949074e+03,-7.648099e+00,3.905057e-01
75,1.974281e+03,-8.150120e+00,4.048106e-01
76,1.999796e+03,-8.663867e+00,4.192961e-01
77,2.025495e+03,-9.187921e+00,4.339511e-01
78,2.051366e+03,-9.721875e+00,4.487637e-01
79,2.077454e+03,-1.026562e+01,4.637221e-01
80,2.103783e+03,-1.081920e+01,4.788150e-01
