ell,Dl_planck,sigma_planck,Dl_SAM_theory,residual,z_score
30,3.458303e-02,9.179162e-02,2.161256e-02,-1.297047e-02,-0.1413
31,-5.074873e-02,9.127487e-02,2.422063e-02,7.496936e-02,0.8214
32,3.105831e-01,9.083904e-02,2.705100e-02,-2.835321e-01,-3.1213
33,-1.572610e-02,9.062884e-02,3.006464e-02,4.579074e-02,0.5053
34,5.532406e-03,9.055815e-02,3.328875e-02,2.775634e-02,0.3065
35,-4.659789e-02,9.062215e-02,3.673161e-02,8.332950e-02,0.9195
36,-1.504858e-01,9.081437e-02,4.042224e-02,1.909080e-01,2.1022
37,5.680157e-02,9.113294e-02,4.438209e-02,-1.241948e-02,-0.1363
38,2.664849e-01,9.156860e-02,4.859553e-02,-2.178894e-01,-2.3795
39,1.687201e-01,9.211337e-02,5.305347e-02,-1.156666e-01,-1.2557
40,7.316917e-02,9.275870e-02,5.775110e-02,-1.541807e-02,-0.1662
41,2.091847e-01,9.350519e-02,6.268725e-02,-1.464974e-01,-1.5667
42,2.245869e-02,9.434061e-02,6.787488e-02,4.541619e-02,0.4814
43,4.609996e-02,9.526153e-02,7.333032e-02,2.723036e-02,0.2858
44,-1.343687e-02,9.626667e-02,7.906774e-02,9.250461e-02,0.9609
45,1.880354e-01,9.735502e-02,8.509848e-02,-1.029370e-01,-1.0573
46,7.808443e-02,9.852471e-02,9.142932e-02,1.334489e-02,0.1354
47,-5.294248e-02,9.977367e-02,9.806047e-02,1.510030e-01,1.5135
48,2.556398e-01,1.010993e-01,1.049836e-01,-1.506562e-01,-1.4902
49,2.098348e-01,1.024988e-01,1.121898e-01,-9.764499e-02,-0.9526
50,4.576209e-02,1.039691e-01,1.196810e-01,7.391893e-02,0.7110
51,2.465328e-01,1.055073e-01,1.274609e-01,-1.190719e-01,-1.1286
52,2.161600e-01,1.071115e-01,1.355341e-01,-8.062595e-02,-0.7527
53,6.003299e-02,1.087796e-01,1.439024e-01,8.386940e-02,0.7710
54,1.526542e-01,1.105083e-01,1.525683e-01,-8.591311e-05,-0.0008
55,2.371262e-01,1.122944e-01,1.615358e-01,-7.559036e-02,-0.6731
56,-2.097982e-02,1.141421e-01,1.708019e-01,1.917818e-01,1.6802
57,1.285387e-01,1.160456e-01,1.803631e-01,5.182450e-02,0.4466
58,3.174943e-01,1.180011e-01,1.902179e-01,-1.272765e-01,-1.0786
59,2.941221e-01,1.200061e-01,2.003652e-01,-9.375686e-02,-0.7813
60,1.643335e-01,1.220596e-01,2.107971e-01,4.646355e-02,0.3807
61,3.951703e-01,1.241646e-01,2.215060e-01,-1.736643e-01,-1.3987
62,4.267222e-01,1.263196e-01,2.324887e-01,-1.942335e-01,-1.5376
63,2.878063e-01,1.285187e-01,2.437434e-01,-4.406284e-02,-0.3429
64,1.784787e-01,1.307602e-01,2.552677e-01,7.678901e-02,0.5873
65,3.632060e-01,1.330427e-01,2.670612e-01,-9.614475e-02,-0.7227
66,5.238038e-01,1.353647e-01,2.791171e-01,-2.446867e-01,-1.8076
67,4.842683e-01,1.377247e-01,2.914285e-01,-1.928398e-01,-1.4002
68,2.236822e-01,1.401214e-01,3.039853e-01,8.030313e-02,0.5731
69,3.906483e-02,1.425525e-01,3.167801e-01,2.777152e-01,1.9482
70,2.505655e-01,1.450160e-01,3.298057e-01,7.924025e-02,0.5464
71,4.753509e-01,1.475097e-01,3.430579e-01,-1.322931e-01,-0.8968
72,1.864577e-01,1.500317e-01,3.565324e-01,1.700747e-01,1.1336
73,3.995410e-01,1.525798e-01,3.702242e-01,-2.931683e-02,-0.1921
74,4.854431e-01,1.551522e-01,3.841219e-01,-1.013212e-01,-0.6530
75,2.559501e-01,1.577470e-01,3.982135e-01,1.422634e-01,0.9018
76,5.150928e-01,1.603624e-01,4.124851e-01,-1.026077e-01,-0.6398
77,3.249944e-01,1.629966e-01,4.269258e-01,1.019314e-01,0.6254
78,7.725834e-01,1.656478e-01,4.415237e-01,-3.310598e-01,-1.9986
79,3.785778e-01,1.683144e-01,4.562672e-01,7.768939e-02,0.4616
80,2.774002e-01,1.709947e-01,4.711450e-01,1.937449e-01,1.1330
81,3.803799e-01,1.736871e-01,4.861458e-01,1.057659e-01,0.6089
82,8.067700e-01,1.763899e-01,5.012590e-01,-3.055110e-01,-1.7320
83,7.036006e-01,1.791013e-01,5.164727e-01,-1.871279e-01,-1.0448
84,4.449323e-01,1.818193e-01,5.317759e-01,8.684354e-02,0.4776
85,3.929392e-01,1.845420e-01,5.471563e-01,1.542172e-01,0.8357
86,5.208876e-01,1.872676e-01,5.626044e-01,4.171679e-02,0.2228
87,5.414386e-01,1.899942e-01,5.781068e-01,3.666821e-02,0.1930
88,5.332948e-01,1.927203e-01,5.936512e-01,6.035632e-02,0.3132
89,4.566091e-01,1.954440e-01,6.092249e-01,1.526158e-01,0.7809
90,7.588234e-01,1.981636e-01,6.248110e-01,-1.340124e-01,-0.6763
91,5.161741e-01,2.008772e-01,6.403965e-01,1.242223e-01,0.6184
92,6.045073e-01,2.035832e-01,6.559664e-01,5.145913e-02,0.2528
93,1.184973e+00,2.062796e-01,6.715061e-01,-5.134674e-01,-2.4892
94,8.946087e-01,2.089648e-01,6.870031e-01,-2.076057e-01,-0.9935
95,6.365256e-01,2.116370e-01,7.024419e-01,6.591632e-02,0.3115
96,6.930008e-01,2.142946e-01,7.178086e-01,2.480779e-02,0.1158
97,3.910411e-01,2.169360e-01,7.330885e-01,3.420474e-01,1.5767
98,8.285375e-01,2.195595e-01,7.482662e-01,-8.027132e-02,-0.3656
99,3.303800e-01,2.221636e-01,7.633277e-01,4.329477e-01,1.9488
100,5.883755e-01,2.247470e-01,7.782613e-01,1.898858e-01,0.8449
101,8.457134e-01,2.273080e-01,7.930523e-01,-5.266108e-02,-0.2317
102,9.196035e-01,2.298454e-01,8.076786e-01,-1.119249e-01,-0.4870
103,6.705130e-01,2.323578e-01,8.221404e-01,1.516274e-01,0.6526
104,8.269195e-01,2.348438e-01,8.364082e-01,9.488742e-03,0.0404
105,1.143847e+00,2.373021e-01,8.504747e-01,-2.933718e-01,-1.2363
106,6.836689e-01,2.397313e-01,8.643252e-01,1.806563e-01,0.7536
107,7.839212e-01,2.421302e-01,8.779525e-01,9.403127e-02,0.3883
108,1.086720e+00,2.444976e-01,8.913345e-01,-1.953856e-01,-0.7991
109,1.302249e+00,2.468323e-01,9.044640e-01,-3.977851e-01,-1.6116
110,5.356807e-01,2.491329e-01,9.173188e-01,3.816381e-01,1.5319
111,8.126426e-01,2.513984e-01,9.298917e-01,1.172491e-01,0.4664
112,1.211954e+00,2.536277e-01,9.421753e-01,-2.697789e-01,-1.0637
113,9.212461e-01,2.558195e-01,9.541470e-01,3.290090e-02,0.1286
114,5.251995e-01,2.579727e-01,9.657920e-01,4.405925e-01,1.7079
115,5.139838e-01,2.600865e-01,9.771100e-01,4.631262e-01,1.7807
116,1.144739e+00,2.621602e-01,9.880862e-01,-1.566527e-01,-0.5975
117,1.336279e+00,2.641932e-01,9.986982e-01,-3.375812e-01,-1.2778
118,9.779101e-01,2.661854e-01,1.008946e+00,3.103577e-02,0.1166
119,1.309142e+00,2.681362e-01,1.018814e+00,-2.903280e-01,-1.0828
120,1.252864e+00,2.700453e-01,1.028296e+00,-2.245679e-01,-0.8316
121,1.256442e+00,2.719123e-01,1.037375e+00,-2.190670e-01,-0.8057
122,9.460287e-01,2.737368e-01,1.046046e+00,1.000170e-01,0.3654
123,8.784208e-01,2.755184e-01,1.054299e+00,1.758784e-01,0.6384
124,1.218306e+00,2.772568e-01,1.062121e+00,-1.561852e-01,-0.5633
125,1.303177e+00,2.789515e-01,1.069511e+00,-2.336661e-01,-0.8377
126,8.899566e-01,2.806023e-01,1.076454e+00,1.864973e-01,0.6646
127,1.170253e+00,2.822088e-01,1.082950e+00,-8.730279e-02,-0.3094
128,1.379856e+00,2.837707e-01,1.088984e+00,-2.908711e-01,-1.0250
129,1.439555e+00,2.852875e-01,1.094557e+00,-3.449985e-01,-1.2093
130,5.587809e-01,2.867591e-01,1.099652e+00,5.408716e-01,1.8862
131,6.690992e-01,2.881852e-01,1.104271e+00,4.351720e-01,1.5100
132,9.171376e-01,2.895655e-01,1.108413e+00,1.912758e-01,0.6606
133,1.068456e+00,2.909006e-01,1.112065e+00,4.360886e-02,0.1499
134,1.493255e+00,2.921913e-01,1.115240e+00,-3.780156e-01,-1.2937
135,1.267119e+00,2.934388e-01,1.117917e+00,-1.492015e-01,-0.5085
136,1.602309e+00,2.946437e-01,1.120105e+00,-4.822036e-01,-1.6366
137,1.083015e+00,2.958067e-01,1.121796e+00,3.878030e-02,0.1311
138,1.059969e+00,2.969289e-01,1.122997e+00,6.302779e-02,0.2123
139,1.193954e+00,2.980108e-01,1.123702e+00,-7.025169e-02,-0.2357
140,6.037205e-01,2.990534e-01,1.123912e+00,5.201910e-01,1.7395
141,4.885691e-01,3.000573e-01,1.123640e+00,6.350710e-01,2.1165
142,1.367300e+00,3.010233e-01,1.122874e+00,-2.444267e-01,-0.8120
143,1.443650e+00,3.019522e-01,1.121620e+00,-3.220307e-01,-1.0665
144,1.026465e+00,3.028446e-01,1.119886e+00,9.342079e-02,0.3085
145,8.969911e-01,3.037013e-01,1.117666e+00,2.206752e-01,0.7266
146,1.131292e+00,3.045229e-01,1.114975e+00,-1.631713e-02,-0.0536
147,9.967683e-01,3.053102e-01,1.111820e+00,1.150516e-01,0.3768
148,9.714543e-01,3.060638e-01,1.108202e+00,1.367475e-01,0.4468
149,7.924809e-01,3.067846e-01,1.104128e+00,3.116474e-01,1.0159
150,7.439970e-01,3.074744e-01,1.099607e+00,3.556102e-01,1.1566
151,1.342397e+00,3.081351e-01,1.094646e+00,-2.477511e-01,-0.8040
152,1.165957e+00,3.087688e-01,1.089253e+00,-7.670392e-02,-0.2484
153,9.926707e-01,3.093771e-01,1.083443e+00,9.077201e-02,0.2934
154,8.976037e-01,3.099620e-01,1.077230e+00,1.796266e-01,0.5795
155,1.005212e+00,3.105254e-01,1.070616e+00,6.540385e-02,0.2106
156,6.261387e-01,3.110689e-01,1.063622e+00,4.374833e-01,1.4064
157,1.484118e+00,3.115943e-01,1.056249e+00,-4.278695e-01,-1.3732
158,1.771802e+00,3.121034e-01,1.048526e+00,-7.232761e-01,-2.3174
159,1.409474e+00,3.125978e-01,1.040454e+00,-3.690203e-01,-1.1805
160,7.319078e-01,3.130792e-01,1.032055e+00,3.001475e-01,0.9587
161,9.396953e-01,3.135493e-01,1.023345e+00,8.364927e-02,0.2668
162,8.067582e-01,3.140096e-01,1.014337e+00,2.075789e-01,0.6611
163,6.908318e-01,3.144616e-01,1.005063e+00,3.142308e-01,0.9993
164,9.042784e-01,3.149070e-01,9.955214e-01,9.124300e-02,0.2897
165,7.761713e-01,3.153472e-01,9.857357e-01,2.095644e-01,0.6646
166,7.374294e-01,3.157839e-01,9.757281e-01,2.382987e-01,0.7546
167,1.508190e+00,3.162196e-01,9.655209e-01,-5.426691e-01,-1.7161
168,6.144295e-01,3.166568e-01,9.551366e-01,3.407070e-01,1.0760
169,7.155292e-01,3.170982e-01,9.445975e-01,2.290683e-01,0.7224
170,1.186884e+00,3.175460e-01,9.339187e-01,-2.529656e-01,-0.7966
171,6.114565e-01,3.180029e-01,9.231300e-01,3.116734e-01,0.9801
172,8.909473e-01,3.184712e-01,9.122537e-01,2.130640e-02,0.0669
173,1.502660e+00,3.189532e-01,9.013122e-01,-6.013480e-01,-1.8854
174,3.390449e-01,3.194513e-01,8.903280e-01,5.512831e-01,1.7257
175,7.578581e-01,3.199677e-01,8.793382e-01,1.214801e-01,0.3797
176,7.395556e-01,3.205046e-01,8.683579e-01,1.288022e-01,0.4019
