ell,Dl_planck,sigma_planck,Dl_SAM_theory,residual,z_score
30,1.502252e+00,3.536843e+00,1.888774e+00,3.865221e-01,0.1093
31,1.611426e+00,3.518771e+00,1.915095e+00,3.036694e-01,0.0863
32,3.306637e+00,3.503069e+00,1.935331e+00,-1.371306e+00,-0.3915
33,-4.272596e-02,3.493051e+00,1.947992e+00,1.990718e+00,0.5699
34,1.186018e+00,3.486595e+00,1.954221e+00,7.682027e-01,0.2203
35,-2.045030e+00,3.483637e+00,1.945124e+00,3.990154e+00,1.1454
36,3.858202e+00,3.483838e+00,1.931159e+00,-1.927042e+00,-0.5531
37,6.757431e+00,3.487363e+00,1.906296e+00,-4.851135e+00,-1.3911
38,6.721415e+00,3.493802e+00,1.872261e+00,-4.849154e+00,-1.3879
39,3.157245e-01,3.502961e+00,1.828685e+00,1.512961e+00,0.4319
40,4.165823e+00,3.514651e+00,1.773658e+00,-2.392166e+00,-0.6806
41,6.574405e-02,3.528906e+00,1.705880e+00,1.640136e+00,0.4648
42,-6.489063e-01,3.545338e+00,1.626448e+00,2.275354e+00,0.6418
43,1.898264e+00,3.563782e+00,1.536654e+00,-3.616105e-01,-0.1015
44,-8.597366e-01,3.584313e+00,1.436187e+00,2.295923e+00,0.6405
45,-1.578387e+00,3.606987e+00,1.324431e+00,2.902819e+00,0.8048
46,-1.575681e+00,3.631593e+00,1.201148e+00,2.776829e+00,0.7646
47,1.728088e+00,3.657929e+00,1.065747e+00,-6.623408e-01,-0.1811
48,-4.904583e-01,3.686079e+00,9.175304e-01,1.407989e+00,0.3820
49,6.967885e+00,3.716123e+00,7.558767e-01,-6.212008e+00,-1.6716
50,1.108557e+00,3.747845e+00,5.803018e-01,-5.282551e-01,-0.1409
51,9.887925e+00,3.781037e+00,3.906483e-01,-9.497277e+00,-2.5118
52,-3.904995e+00,3.815787e+00,1.878610e-01,4.092856e+00,1.0726
53,-6.215301e+00,3.852186e+00,-2.704980e-02,6.188251e+00,1.6064
54,4.851016e+00,3.890039e+00,-2.539329e-01,-5.104949e+00,-1.3123
55,-1.188020e+00,3.929155e+00,-4.930068e-01,6.950131e-01,0.1769
56,-9.061595e+00,3.969796e+00,-7.451293e-01,8.316466e+00,2.0949
57,-6.998917e+00,4.012025e+00,-1.011152e+00,5.987765e+00,1.4925
58,-3.776110e+00,4.055613e+00,-1.291247e+00,2.484863e+00,0.6127
59,2.527824e+00,4.100334e+00,-1.585296e+00,-4.113120e+00,-1.0031
60,-2.927181e+00,4.146275e+00,-1.892768e+00,1.034414e+00,0.2495
61,-6.866291e+00,4.193636e+00,-2.213169e+00,4.653122e+00,1.1096
62,-6.607479e+00,4.242417e+00,-2.546522e+00,4.060957e+00,0.9572
63,5.834825e-01,4.292502e+00,-2.892992e+00,-3.476474e+00,-0.8099
64,-6.216298e+00,4.343852e+00,-3.252738e+00,2.963560e+00,0.6822
65,-2.027235e+00,4.396423e+00,-3.625979e+00,-1.598744e+00,-0.3636
66,-3.195845e+00,4.450170e+00,-4.012948e+00,-8.171030e-01,-0.1836
67,-4.545834e-02,4.505053e+00,-4.413113e+00,-4.367655e+00,-0.9695
68,-5.430466e+00,4.561026e+00,-4.825742e+00,6.047243e-01,0.1326
69,8.840813e-01,4.618048e+00,-5.250131e+00,-6.134213e+00,-1.3283
70,-4.392437e+00,4.676070e+00,-5.685773e+00,-1.293336e+00,-0.2766
71,-5.472527e+00,4.735051e+00,-6.132470e+00,-6.599432e-01,-0.1394
72,-7.254923e+00,4.794950e+00,-6.591105e+00,6.638183e-01,0.1384
73,-1.068186e+01,4.855730e+00,-7.062612e+00,3.619249e+00,0.7454
74,-1.490662e+01,4.917348e+00,-7.546857e+00,7.359766e+00,1.4967
75,-2.186295e+00,4.979773e+00,-8.043370e+00,-5.857075e+00,-1.1762
76,-1.164353e+01,5.042967e+00,-8.551593e+00,3.091941e+00,0.6131
77,-6.899648e+00,5.106902e+00,-9.070073e+00,-2.170425e+00,-0.4250
78,-5.622695e+00,5.171545e+00,-9.598362e+00,-3.975667e+00,-0.7688
79,-9.975815e+00,5.236868e+00,-1.013631e+01,-1.604913e-01,-0.0306
80,-7.317726e+00,5.302846e+00,-1.068390e+01,-3.366176e+00,-0.6348
81,-1.100627e+01,5.369435e+00,-1.124093e+01,-2.346548e-01,-0.0437
82,-1.790193e+01,5.436616e+00,-1.180702e+01,6.094915e+00,1.1211
83,-7.913482e+00,5.504335e+00,-1.238196e+01,-4.468474e+00,-0.8118
84,-5.126119e+00,5.572549e+00,-1.296524e+01,-7.839122e+00,-1.4067
85,-1.346189e+01,5.641202e+00,-1.355673e+01,-9.483769e-02,-0.0168
86,-1.136802e+01,5.710247e+00,-1.415587e+01,-2.787852e+00,-0.4882
87,-7.420665e+00,5.779635e+00,-1.476215e+01,-7.341490e+00,-1.2702
88,-1.727197e+01,5.849328e+00,-1.537502e+01,1.896946e+00,0.3243
