ell,Dl_planck,sigma_planck,Dl_SAM_theory,residual,z_score
30,1.102806e+03,2.746943e+02,1.053783e+03,-4.902233e+01,-0.1785
31,7.642359e+02,2.739677e+02,1.069905e+03,3.056692e+02,1.1157
32,1.543851e+03,2.734493e+02,1.086628e+03,-4.572229e+02,-1.6721
33,1.077267e+03,2.730999e+02,1.103428e+03,2.616014e+01,0.0958
34,9.791594e+02,2.729158e+02,1.120284e+03,1.411249e+02,0.5171
35,7.399116e+02,2.728706e+02,1.137773e+03,3.978617e+02,1.4581
36,1.122516e+03,2.729521e+02,1.154987e+03,3.247097e+01,0.1190
37,1.523720e+03,2.731646e+02,1.172455e+03,-3.512650e+02,-1.2859
38,1.285913e+03,2.734911e+02,1.190290e+03,-9.562310e+01,-0.3496
39,1.243831e+03,2.739084e+02,1.208391e+03,-3.544010e+01,-0.1294
40,1.715071e+03,2.744323e+02,1.226679e+03,-4.883918e+02,-1.7796
41,1.427088e+03,2.750398e+02,1.245066e+03,-1.820219e+02,-0.6618
42,1.391088e+03,2.757143e+02,1.263555e+03,-1.275330e+02,-0.4626
43,1.235152e+03,2.764483e+02,1.282158e+03,4.700646e+01,0.1700
44,1.399720e+03,2.772404e+02,1.300926e+03,-9.879362e+01,-0.3563
45,1.050225e+03,2.781152e+02,1.319923e+03,2.696984e+02,0.9697
46,1.148978e+03,2.790290e+02,1.339116e+03,1.901379e+02,0.6814
47,1.939333e+03,2.799513e+02,1.358487e+03,-5.808454e+02,-2.0748
48,9.843280e+02,2.809128e+02,1.378011e+03,3.936827e+02,1.4014
49,1.720066e+03,2.819255e+02,1.397674e+03,-3.223918e+02,-1.1435
50,1.707307e+03,2.829568e+02,1.417534e+03,-2.897735e+02,-1.0241
51,1.039429e+03,2.839931e+02,1.437647e+03,3.982189e+02,1.4022
52,1.603611e+03,2.850442e+02,1.457963e+03,-1.456472e+02,-0.5110
53,1.118554e+03,2.861483e+02,1.478410e+03,3.598556e+02,1.2576
54,1.173863e+03,2.872674e+02,1.498968e+03,3.251053e+02,1.1317
55,1.609061e+03,2.883931e+02,1.519633e+03,-8.942771e+01,-0.3101
56,1.523294e+03,2.895566e+02,1.540517e+03,1.722285e+01,0.0595
57,1.715719e+03,2.907697e+02,1.561721e+03,-1.539981e+02,-0.5296
58,1.742619e+03,2.920220e+02,1.583202e+03,-1.594162e+02,-0.5459
59,1.467143e+03,2.932954e+02,1.604873e+03,1.377300e+02,0.4696
60,1.790452e+03,2.945922e+02,1.626713e+03,-1.637383e+02,-0.5558
61,1.359154e+03,2.959529e+02,1.648730e+03,2.895755e+02,0.9785
62,2.165227e+03,2.973538e+02,1.670928e+03,-4.942988e+02,-1.6623
63,1.742106e+03,2.988296e+02,1.693328e+03,-4.877787e+01,-0.1632
64,1.242485e+03,3.003479e+02,1.715933e+03,4.734473e+02,1.5763
65,1.853062e+03,3.019185e+02,1.738768e+03,-1.142933e+02,-0.3786
66,1.626616e+03,3.035319e+02,1.761873e+03,1.352564e+02,0.4456
67,1.659989e+03,3.051917e+02,1.785227e+03,1.252376e+02,0.4104
68,1.766429e+03,3.068831e+02,1.808793e+03,4.236435e+01,0.1380
69,2.277664e+03,3.086122e+02,1.832526e+03,-4.451377e+02,-1.4424
70,1.860801e+03,3.103787e+02,1.856397e+03,-4.403806e+00,-0.0142
71,1.783707e+03,3.121747e+02,1.880383e+03,9.667574e+01,0.3097
72,1.511900e+03,3.140037e+02,1.904597e+03,3.926971e+02,1.2506
73,2.701127e+03,3.158564e+02,1.929154e+03,-7.719728e+02,-2.4441
74,2.013693e+03,3.177439e+02,1.954064e+03,-5.962896e+01,-0.1877
75,1.879909e+03,3.196496e+02,1.979328e+03,9.941892e+01,0.3110
76,1.875455e+03,3.215808e+02,2.004904e+03,1.294485e+02,0.4025
77,1.919456e+03,3.235406e+02,2.030665e+03,1.112086e+02,0.3437
78,1.664607e+03,3.255251e+02,2.056594e+03,3.919871e+02,1.2042
79,1.496469e+03,3.275378e+02,2.082737e+03,5.862682e+02,1.7899
80,2.318107e+03,3.295785e+02,2.109112e+03,-2.089943e+02,-0.6341
81,2.045536e+03,3.316408e+02,2.135745e+03,9.020893e+01,0.2720
82,2.821429e+03,3.337351e+02,2.162645e+03,-6.587840e+02,-1.9740
83,2.135834e+03,3.358514e+02,2.189791e+03,5.395630e+01,0.1607
84,1.542668e+03,3.379998e+02,2.217180e+03,6.745126e+02,1.9956
85,2.268675e+03,3.401707e+02,2.244806e+03,-2.386872e+01,-0.0702
86,2.525925e+03,3.423592e+02,2.272663e+03,-2.532617e+02,-0.7398
87,2.180329e+03,3.445686e+02,2.300721e+03,1.203918e+02,0.3494
88,1.774610e+03,3.468012e+02,2.328961e+03,5.543509e+02,1.5985
89,2.930040e+03,3.490613e+02,2.357393e+03,-5.726469e+02,-1.6405
90,2.255501e+03,3.513342e+02,2.386020e+03,1.305187e+02,0.3715
91,2.414516e+03,3.536285e+02,2.414852e+03,3.359769e-01,0.0010
92,2.582014e+03,3.559357e+02,2.443890e+03,-1.381236e+02,-0.3881
93,2.814590e+03,3.582710e+02,2.473149e+03,-3.414406e+02,-0.9530
94,2.153768e+03,3.606120e+02,2.502622e+03,3.488547e+02,0.9674
95,2.158700e+03,3.629826e+02,2.532325e+03,3.736250e+02,1.0293
96,2.367999e+03,3.653578e+02,2.562249e+03,1.942494e+02,0.5317
97,2.663330e+03,3.677504e+02,2.592395e+03,-7.093486e+01,-0.1929
98,2.222547e+03,3.701563e+02,2.622771e+03,4.002237e+02,1.0812
99,3.013836e+03,3.725834e+02,2.653355e+03,-3.604813e+02,-0.9675
100,2.919087e+03,3.750211e+02,2.684162e+03,-2.349257e+02,-0.6264
101,2.782383e+03,3.774695e+02,2.715184e+03,-6.719901e+01,-0.1780
102,2.896762e+03,3.799292e+02,2.746423e+03,-1.503390e+02,-0.3957
103,2.626150e+03,3.824089e+02,2.777864e+03,1.517137e+02,0.3967
104,3.029254e+03,3.848859e+02,2.809506e+03,-2.197484e+02,-0.5709
105,2.267548e+03,3.873848e+02,2.841343e+03,5.737942e+02,1.4812
106,2.792255e+03,3.898908e+02,2.873367e+03,8.111245e+01,0.2080
107,3.323766e+03,3.924038e+02,2.905572e+03,-4.181940e+02,-1.0657
108,3.927242e+03,3.949207e+02,2.937942e+03,-9.892998e+02,-2.5051
109,3.033820e+03,3.974415e+02,2.970487e+03,-6.333376e+01,-0.1594
110,3.429384e+03,3.999811e+02,3.003190e+03,-4.261941e+02,-1.0655
111,2.910105e+03,4.025148e+02,3.036045e+03,1.259395e+02,0.3129
112,3.039359e+03,4.050639e+02,3.069050e+03,2.969139e+01,0.0733
113,2.337903e+03,4.076031e+02,3.102199e+03,7.642967e+02,1.8751
114,2.209153e+03,4.101548e+02,3.135483e+03,9.263306e+02,2.2585
115,3.343446e+03,4.127118e+02,3.168894e+03,-1.745520e+02,-0.4229
116,4.337153e+03,4.152736e+02,3.202431e+03,-1.134722e+03,-2.7325
117,4.457745e+03,4.178339e+02,3.236086e+03,-1.221658e+03,-2.9238
118,3.457021e+03,4.203926e+02,3.269844e+03,-1.871774e+02,-0.4452
119,3.135913e+03,4.229520e+02,3.303703e+03,1.677901e+02,0.3967
120,2.669677e+03,4.255213e+02,3.337656e+03,6.679789e+02,1.5698
121,4.125216e+03,4.280682e+02,3.371695e+03,-7.535214e+02,-1.7603
122,3.450498e+03,4.306230e+02,3.405804e+03,-4.469357e+01,-0.1038
123,4.116219e+03,4.331699e+02,3.439982e+03,-6.762369e+02,-1.5611
124,2.948819e+03,4.357137e+02,3.474222e+03,5.254033e+02,1.2058
125,3.271639e+03,4.382585e+02,3.508508e+03,2.368688e+02,0.5405
126,3.324065e+03,4.407628e+02,3.542839e+03,2.187735e+02,0.4964
127,3.716678e+03,4.432960e+02,3.577199e+03,-1.394794e+02,-0.3146
128,3.804640e+03,4.458026e+02,3.611581e+03,-1.930588e+02,-0.4331
129,2.897960e+03,4.482971e+02,3.645984e+03,7.480234e+02,1.6686
130,4.032310e+03,4.507828e+02,3.680392e+03,-3.519187e+02,-0.7807
131,3.245239e+03,4.532528e+02,3.714790e+03,4.695505e+02,1.0360
132,2.891494e+03,4.557249e+02,3.749186e+03,8.576921e+02,1.8820
133,3.885601e+03,4.581672e+02,3.783558e+03,-1.020426e+02,-0.2227
