ell,Dl_TT_SAM,Dl_TE_SAM,Dl_EE_SAM
2,1.015228e+03,2.632720e+00,3.077425e-02
3,9.628827e+02,2.956198e+00,3.985136e-02
4,9.121439e+02,2.778645e+00,3.493614e-02
5,8.742309e+02,2.372687e+00,2.360697e-02
6,8.483759e+02,1.916674e+00,1.334143e-02
7,8.320136e+02,1.509761e+00,7.214004e-03
8,8.222661e+02,1.195866e+00,4.600606e-03
9,8.177952e+02,9.811817e-01,3.668341e-03
10,8.171754e+02,8.584575e-01,3.142334e-03
11,8.190431e+02,8.108467e-01,2.661581e-03
12,8.241362e+02,8.196920e-01,2.329676e-03
13,8.305394e+02,8.613024e-01,2.233523e-03
14,8.380954e+02,9.144837e-01,2.322212e-03
15,8.457593e+02,9.715139e-01,2.510560e-03
16,8.553184e+02,1.033422e+00,2.769172e-03
17,8.666206e+02,1.097379e+00,3.139666e-03
18,8.785187e+02,1.161962e+00,3.667599e-03
19,8.917701e+02,1.230417e+00,4.360186e-03
20,9.047634e+02,1.297850e+00,5.197802e-03
21,9.181962e+02,1.369072e+00,6.172231e-03
22,9.320980e+02,1.444623e+00,7.292259e-03
23,9.460842e+02,1.521802e+00,8.550973e-03
24,9.604758e+02,1.597159e+00,9.946647e-03
25,9.754049e+02,1.663025e+00,1.148307e-02
26,9.903798e+02,1.723112e+00,1.317124e-02
27,1.005811e+03,1.777904e+00,1.502083e-02
28,1.021530e+03,1.822315e+00,1.702517e-02
29,1.037457e+03,1.861445e+00,1.921234e-02
30,1.053783e+03,1.888774e+00,2.161256e-02
31,1.069905e+03,1.915095e+00,2.422063e-02
32,1.086628e+03,1.935331e+00,2.705100e-02
33,1.103428e+03,1.947992e+00,3.006464e-02
34,1.120284e+03,1.954221e+00,3.328875e-02
35,1.137773e+03,1.945124e+00,3.673161e-02
36,1.154987e+03,1.931159e+00,4.042224e-02
37,1.172455e+03,1.906296e+00,4.438209e-02
38,1.190290e+03,1.872261e+00,4.859553e-02
39,1.208391e+03,1.828685e+00,5.305347e-02
40,1.226679e+03,1.773658e+00,5.775110e-02
41,1.245066e+03,1.705880e+00,6.268725e-02
42,1.263555e+03,1.626448e+00,6.787488e-02
43,1.282158e+03,1.536654e+00,7.333032e-02
44,1.300926e+03,1.436187e+00,7.906774e-02
45,1.319923e+03,1.324431e+00,8.509848e-02
46,1.339116e+03,1.201148e+00,9.142932e-02
47,1.358487e+03,1.065747e+00,9.806047e-02
48,1.378011e+03,9.175304e-01,1.049836e-01
49,1.397674e+03,7.558767e-01,1.121898e-01
50,1.417534e+03,5.803018e-01,1.196810e-01
51,1.437647e+03,3.906483e-01,1.274609e-01
52,1.457963e+03,1.878610e-01,1.355341e-01
53,1.478410e+03,-2.704980e-02,1.439024e-01
54,1.498968e+03,-2.539329e-01,1.525683e-01
55,1.519633e+03,-4.930068e-01,1.615358e-01
56,1.540517e+03,-7.451293e-01,1.708019e-01
57,1.561721e+03,-1.011152e+00,1.803631e-01
58,1.583202e+03,-1.291247e+00,1.902179e-01
59,1.604873e+03,-1.585296e+00,2.003652e-01
60,1.626713e+03,-1.892768e+00,2.107971e-01
61,1.648730e+03,-2.213169e+00,2.215060e-01
62,1.670928e+03,-2.546522e+00,2.324887e-01
63,1.693328e+03,-2.892992e+00,2.437434e-01
64,1.715933e+03,-3.252738e+00,2.552677e-01
65,1.738768e+03,-3.625979e+00,2.670612e-01
66,1.761873e+03,-4.012948e+00,2.791171e-01
67,1.785227e+03,-4.413113e+00,2.914285e-01
