ell,Dl_planck,sigma_planck,Dl_SAM_theory,residual,z_score
30,3.458303e-02,9.179162e-02,2.178544e-02,-1.279759e-02,-0.1394
31,-5.074873e-02,9.127487e-02,2.441610e-02,7.516483e-02,0.8235
32,3.105831e-01,9.083904e-02,2.727245e-02,-2.833107e-01,-3.1188
33,-1.572610e-02,9.062884e-02,3.031445e-02,4.604054e-02,0.5080
34,5.532406e-03,9.055815e-02,3.356738e-02,2.803497e-02,0.3096
35,-4.659789e-02,9.062215e-02,3.703732e-02,8.363521e-02,0.9229
36,-1.504858e-01,9.081437e-02,4.075248e-02,1.912383e-01,2.1058
37,5.680157e-02,9.113294e-02,4.473967e-02,-1.206190e-02,-0.1324
38,2.664849e-01,9.156860e-02,4.898844e-02,-2.174964e-01,-2.3752
39,1.687201e-01,9.211337e-02,5.348822e-02,-1.152319e-01,-1.2510
40,7.316917e-02,9.275870e-02,5.823102e-02,-1.493816e-02,-0.1610
41,2.091847e-01,9.350519e-02,6.321310e-02,-1.459716e-01,-1.5611
42,2.245869e-02,9.434061e-02,6.844728e-02,4.598859e-02,0.4875
43,4.609996e-02,9.526153e-02,7.395036e-02,2.785040e-02,0.2924
44,-1.343687e-02,9.626667e-02,7.973696e-02,9.317383e-02,0.9679
45,1.880354e-01,9.735502e-02,8.581889e-02,-1.022165e-01,-1.0499
46,7.808443e-02,9.852471e-02,9.220335e-02,1.411892e-02,0.1433
47,-5.294248e-02,9.977367e-02,9.889075e-02,1.518332e-01,1.5218
48,2.556398e-01,1.010993e-01,1.058730e-01,-1.497668e-01,-1.4814
49,2.098348e-01,1.024988e-01,1.131411e-01,-9.669365e-02,-0.9434
50,4.576209e-02,1.039691e-01,1.206975e-01,7.493539e-02,0.7207
51,2.465328e-01,1.055073e-01,1.285456e-01,-1.179871e-01,-1.1183
52,2.161600e-01,1.071115e-01,1.366901e-01,-7.946992e-02,-0.7419
53,6.003299e-02,1.087796e-01,1.451322e-01,8.509920e-02,0.7823
54,1.526542e-01,1.105083e-01,1.538740e-01,1.219816e-03,0.0110
55,2.371262e-01,1.122944e-01,1.629192e-01,-7.420692e-02,-0.6608
56,-2.097982e-02,1.141421e-01,1.722647e-01,1.932445e-01,1.6930
57,1.285387e-01,1.160456e-01,1.819070e-01,5.336833e-02,0.4599
58,3.174943e-01,1.180011e-01,1.918451e-01,-1.256492e-01,-1.0648
59,2.941221e-01,1.200061e-01,2.020787e-01,-9.204338e-02,-0.7670
60,1.643335e-01,1.220596e-01,2.126000e-01,4.826644e-02,0.3954
61,3.951703e-01,1.241646e-01,2.234019e-01,-1.717685e-01,-1.3834
62,4.267222e-01,1.263196e-01,2.344807e-01,-1.922416e-01,-1.5219
63,2.878063e-01,1.285187e-01,2.458342e-01,-4.197206e-02,-0.3266
64,1.784787e-01,1.307602e-01,2.574595e-01,7.898088e-02,0.6040
65,3.632060e-01,1.330427e-01,2.693560e-01,-9.385001e-02,-0.7054
66,5.238038e-01,1.353647e-01,2.815161e-01,-2.422877e-01,-1.7899
67,4.842683e-01,1.377247e-01,2.939332e-01,-1.903351e-01,-1.3820
68,2.236822e-01,1.401214e-01,3.065974e-01,8.291517e-02,0.5917
69,3.906483e-02,1.425525e-01,3.195011e-01,2.804363e-01,1.9672
70,2.505655e-01,1.450160e-01,3.326376e-01,8.207209e-02,0.5660
71,4.753509e-01,1.475097e-01,3.460024e-01,-1.293485e-01,-0.8769
72,1.864577e-01,1.500317e-01,3.595916e-01,1.731339e-01,1.1540
73,3.995410e-01,1.525798e-01,3.733998e-01,-2.614126e-02,-0.1713
74,4.854431e-01,1.551522e-01,3.874156e-01,-9.802750e-02,-0.6318
75,2.559501e-01,1.577470e-01,4.016270e-01,1.456769e-01,0.9235
76,5.150928e-01,1.603624e-01,4.160199e-01,-9.907289e-02,-0.6178
77,3.249944e-01,1.629966e-01,4.305836e-01,1.055892e-01,0.6478
78,7.725834e-01,1.656478e-01,4.453060e-01,-3.272775e-01,-1.9757
79,3.785778e-01,1.683144e-01,4.601756e-01,8.159782e-02,0.4848
80,2.774002e-01,1.709947e-01,4.751812e-01,1.977810e-01,1.1566
81,3.803799e-01,1.736871e-01,4.903112e-01,1.099313e-01,0.6329
82,8.067700e-01,1.763899e-01,5.055550e-01,-3.012149e-01,-1.7077
83,7.036006e-01,1.791013e-01,5.209003e-01,-1.827003e-01,-1.0201
84,4.449323e-01,1.818193e-01,5.363356e-01,9.140330e-02,0.5027
85,3.929392e-01,1.845420e-01,5.518486e-01,1.589094e-01,0.8611
86,5.208876e-01,1.872676e-01,5.674291e-01,4.654149e-02,0.2485
87,5.414386e-01,1.899942e-01,5.830640e-01,4.162535e-02,0.2191
88,5.332948e-01,1.927203e-01,5.987407e-01,6.544586e-02,0.3396
89,4.566091e-01,1.954440e-01,6.144468e-01,1.578377e-01,0.8076
90,7.588234e-01,1.981636e-01,6.301652e-01,-1.286583e-01,-0.6493
91,5.161741e-01,2.008772e-01,6.458828e-01,1.297086e-01,0.6457
92,6.045073e-01,2.035832e-01,6.615846e-01,5.707737e-02,0.2804
