ell,Dl_planck,sigma_planck,Dl_SAM_theory,residual,z_score
30,1.502252e+00,3.536843e+00,1.904696e+00,4.024441e-01,0.1138
31,1.611426e+00,3.518771e+00,1.931793e+00,3.203672e-01,0.0910
32,3.306637e+00,3.503069e+00,1.952813e+00,-1.353824e+00,-0.3865
33,-4.272596e-02,3.493051e+00,1.966198e+00,2.008924e+00,0.5751
34,1.186018e+00,3.486595e+00,1.972977e+00,7.869586e-01,0.2257
35,-2.045030e+00,3.483637e+00,1.963940e+00,4.008971e+00,1.1508
36,3.858202e+00,3.483838e+00,1.949299e+00,-1.908903e+00,-0.5479
37,6.757431e+00,3.487363e+00,1.923262e+00,-4.834169e+00,-1.3862
38,6.721415e+00,3.493802e+00,1.887899e+00,-4.833516e+00,-1.3835
39,3.157245e-01,3.502961e+00,1.843111e+00,1.527386e+00,0.4360
40,4.165823e+00,3.514651e+00,1.787234e+00,-2.378589e+00,-0.6768
41,6.574405e-02,3.528906e+00,1.719139e+00,1.653395e+00,0.4685
42,-6.489063e-01,3.545338e+00,1.639748e+00,2.288654e+00,0.6455
43,1.898264e+00,3.563782e+00,1.550100e+00,-3.481638e-01,-0.0977
44,-8.597366e-01,3.584313e+00,1.449630e+00,2.309366e+00,0.6443
45,-1.578387e+00,3.606987e+00,1.337466e+00,2.915853e+00,0.8084
46,-1.575681e+00,3.631593e+00,1.213182e+00,2.788863e+00,0.7679
47,1.728088e+00,3.657929e+00,1.076275e+00,-6.518130e-01,-0.1782
48,-4.904583e-01,3.686079e+00,9.262011e-01,1.416659e+00,0.3843
49,6.967885e+00,3.716123e+00,7.624934e-01,-6.205391e+00,-1.6699
50,1.108557e+00,3.747845e+00,5.848221e-01,-5.237347e-01,-0.1397
51,9.887925e+00,3.781037e+00,3.931522e-01,-9.494773e+00,-2.5112
52,-3.904995e+00,3.815787e+00,1.884223e-01,4.093417e+00,1.0728
53,-6.215301e+00,3.852186e+00,-2.839573e-02,6.186905e+00,1.6061
54,4.851016e+00,3.890039e+00,-2.571887e-01,-5.108205e+00,-1.3131
55,-1.188020e+00,3.929155e+00,-4.982134e-01,6.898065e-01,0.1756
56,-9.061595e+00,3.969796e+00,-7.523648e-01,8.309230e+00,2.0931
