ell,Dl_planck,sigma_planck,Dl_SAM_theory,residual,z_score
30,1.102806e+03,2.746943e+02,1.062772e+03,-4.003337e+01,-0.1457
31,7.642359e+02,2.739677e+02,1.079032e+03,3.147964e+02,1.1490
32,1.543851e+03,2.734493e+02,1.095895e+03,-4.479563e+02,-1.6382
33,1.077267e+03,2.730999e+02,1.112836e+03,3.556836e+01,0.1302
34,9.791594e+02,2.729158e+02,1.129838e+03,1.506781e+02,0.5521
35,7.399116e+02,2.728706e+02,1.147475e+03,4.075632e+02,1.4936
36,1.122516e+03,2.729521e+02,1.164840e+03,4.232410e+01,0.1551
37,1.523720e+03,2.731646e+02,1.182463e+03,-3.412572e+02,-1.2493
38,1.285913e+03,2.734911e+02,1.200455e+03,-8.545793e+01,-0.3125
39,1.243831e+03,2.739084e+02,1.218716e+03,-2.511579e+01,-0.0917
40,1.715071e+03,2.744323e+02,1.237163e+03,-4.779078e+02,-1.7414
41,1.427088e+03,2.750398e+02,1.255709e+03,-1.713786e+02,-0.6231
42,1.391088e+03,2.757143e+02,1.274357e+03,-1.167303e+02,-0.4234
43,1.235152e+03,2.764483e+02,1.293121e+03,5.796923e+01,0.2097
44,1.399720e+03,2.772404e+02,1.312050e+03,-8.766925e+01,-0.3162
45,1.050225e+03,2.781152e+02,1.331211e+03,2.809866e+02,1.0103
46,1.148978e+03,2.790290e+02,1.350571e+03,2.015926e+02,0.7225
47,1.939333e+03,2.799513e+02,1.370111e+03,-5.692216e+02,-2.0333
48,9.843280e+02,2.809128e+02,1.389806e+03,4.054780e+02,1.4434
49,1.720066e+03,2.819255e+02,1.409643e+03,-3.104231e+02,-1.1011
50,1.707307e+03,2.829568e+02,1.429677e+03,-2.776296e+02,-0.9812
51,1.039429e+03,2.839931e+02,1.449968e+03,4.105394e+02,1.4456
52,1.603611e+03,2.850442e+02,1.470462e+03,-1.331488e+02,-0.4671
53,1.118554e+03,2.861483e+02,1.491088e+03,3.725334e+02,1.3019
54,1.173863e+03,2.872674e+02,1.511826e+03,3.379637e+02,1.1765
55,1.609061e+03,2.883931e+02,1.532674e+03,-7.638735e+01,-0.2649
56,1.523294e+03,2.895566e+02,1.553741e+03,3.044648e+01,0.1051
57,1.715719e+03,2.907697e+02,1.575130e+03,-1.405898e+02,-0.4835
58,1.742619e+03,2.920220e+02,1.596797e+03,-1.458218e+02,-0.4994
59,1.467143e+03,2.932954e+02,1.618655e+03,1.515120e+02,0.5166
60,1.790452e+03,2.945922e+02,1.640684e+03,-1.497671e+02,-0.5084
61,1.359154e+03,2.959529e+02,1.662892e+03,3.037376e+02,1.0263
62,2.165227e+03,2.973538e+02,1.685283e+03,-4.799439e+02,-1.6141
63,1.742106e+03,2.988296e+02,1.707878e+03,-3.422807e+01,-0.1145
64,1.242485e+03,3.003479e+02,1.730679e+03,4.881942e+02,1.6254
65,1.853062e+03,3.019185e+02,1.753715e+03,-9.934691e+01,-0.3291
66,1.626616e+03,3.035319e+02,1.777021e+03,1.504048e+02,0.4955
67,1.659989e+03,3.051917e+02,1.800580e+03,1.405905e+02,0.4607
68,1.766429e+03,3.068831e+02,1.824352e+03,5.792371e+01,0.1887
69,2.277664e+03,3.086122e+02,1.848294e+03,-4.293698e+02,-1.3913
70,1.860801e+03,3.103787e+02,1.872375e+03,1.157415e+01,0.0373
71,1.783707e+03,3.121747e+02,1.896573e+03,1.128654e+02,0.3615
72,1.511900e+03,3.140037e+02,1.921000e+03,4.091000e+02,1.3029
73,2.701127e+03,3.158564e+02,1.945772e+03,-7.553549e+02,-2.3915
74,2.013693e+03,3.177439e+02,1.970899e+03,-4.279417e+01,-0.1347
75,1.879909e+03,3.196496e+02,1.996382e+03,1.164726e+02,0.3644
76,1.875455e+03,3.215808e+02,2.022178e+03,1.467232e+02,0.4563
77,1.919456e+03,3.235406e+02,2.048162e+03,1.287065e+02,0.3978
78,1.664607e+03,3.255251e+02,2.074317e+03,4.097102e+02,1.2586
79,1.496469e+03,3.275378e+02,2.100687e+03,6.042183e+02,1.8447
80,2.318107e+03,3.295785e+02,2.127291e+03,-1.908152e+02,-0.5790
