ell,Dl_TT_SAM,Dl_TE_SAM,Dl_EE_SAM
2,1.021803e+03,2.619991e+00,3.019327e-02
3,9.692417e+02,2.924693e+00,3.851482e-02
4,9.183960e+02,2.735017e+00,3.322737e-02
5,8.804974e+02,2.324448e+00,2.208439e-02
6,8.547315e+02,1.870197e+00,1.232400e-02
7,8.384753e+02,1.469681e+00,6.674148e-03
8,8.288373e+02,1.164601e+00,4.327147e-03
9,8.244810e+02,9.592725e-01,3.475951e-03
10,8.239680e+02,8.449065e-01,2.961038e-03
11,8.259184e+02,8.037696e-01,2.502111e-03
12,8.311048e+02,8.169550e-01,2.211190e-03
13,8.375992e+02,8.610323e-01,2.149691e-03
14,8.452425e+02,9.154705e-01,2.253509e-03
15,8.529836e+02,9.731536e-01,2.447939e-03
16,8.626312e+02,1.035775e+00,2.720926e-03
17,8.740341e+02,1.100876e+00,3.113766e-03
18,8.860386e+02,1.167228e+00,3.666700e-03
19,8.993985e+02,1.237923e+00,4.381069e-03
20,9.125001e+02,1.307796e+00,5.233133e-03
21,9.260436e+02,1.381254e+00,6.218177e-03
22,9.400611e+02,1.458486e+00,7.349104e-03
23,9.541666e+02,1.536743e+00,8.618001e-03
24,9.686789e+02,1.612609e+00,1.002173e-02
25,9.837318e+02,1.678468e+00,1.156618e-02
26,9.988349e+02,1.738159e+00,1.326506e-02
27,1.014397e+03,1.792599e+00,1.512981e-02
28,1.030249e+03,1.837097e+00,1.715437e-02
29,1.046309e+03,1.876691e+00,1.936377e-02
30,1.062772e+03,1.904696e+00,2.178544e-02
31,1.079032e+03,1.931793e+00,2.441610e-02
32,1.095895e+03,1.952813e+00,2.727245e-02
33,1.112836e+03,1.966198e+00,3.031445e-02
34,1.129838e+03,1.972977e+00,3.356738e-02
35,1.147475e+03,1.963940e+00,3.703732e-02
36,1.164840e+03,1.949299e+00,4.075248e-02
37,1.182463e+03,1.923262e+00,4.473967e-02
38,1.200455e+03,1.887899e+00,4.898844e-02
39,1.218716e+03,1.843111e+00,5.348822e-02
40,1.237163e+03,1.787234e+00,5.823102e-02
41,1.255709e+03,1.719139e+00,6.321310e-02
42,1.274357e+03,1.639748e+00,6.844728e-02
43,1.293121e+03,1.550100e+00,7.395036e-02
44,1.312050e+03,1.449630e+00,7.973696e-02
45,1.331211e+03,1.337466e+00,8.581889e-02
46,1.350571e+03,1.213182e+00,9.220335e-02
47,1.370111e+03,1.076275e+00,9.889075e-02
48,1.389806e+03,9.262011e-01,1.058730e-01
49,1.409643e+03,7.624934e-01,1.131411e-01
50,1.429677e+03,5.848221e-01,1.206975e-01
51,1.449968e+03,3.931522e-01,1.285456e-01
52,1.470462e+03,1.884223e-01,1.366901e-01
53,1.491088e+03,-2.839573e-02,1.451322e-01
54,1.511826e+03,-2.571887e-01,1.538740e-01
55,1.532674e+03,-4.982134e-01,1.629192e-01
56,1.553741e+03,-7.523648e-01,1.722647e-01
57,1.575130e+03,-1.020527e+00,1.819070e-01
58,1.596797e+03,-1.302903e+00,1.918451e-01
59,1.618655e+03,-1.599408e+00,2.020787e-01
60,1.640684e+03,-1.909539e+00,2.126000e-01
61,1.662892e+03,-2.232824e+00,2.234019e-01
62,1.685283e+03,-2.569256e+00,2.344807e-01
63,1.707878e+03,-2.918957e+00,2.458342e-01
64,1.730679e+03,-3.282046e+00,2.574595e-01
65,1.753715e+03,-3.658698e+00,2.693560e-01
66,1.777021e+03,-4.049117e+00,2.815161e-01
67,1.800580e+03,-4.452778e+00,2.939332e-01
68,1.824352e+03,-4.868971e+00,3.065974e-01
69,1.848294e+03,-5.297011e+00,3.195011e-01
70,1.872375e+03,-5.736411e+00,3.326376e-01
71,1.896573e+03,-6.186990e+00,3.460024e-01
72,1.921000e+03,-6.649632e+00,3.595916e-01
73,1.945772e+03,-7.125270e+00,3.733998e-01
74,1.970899e+03,-7.613767e+00,3.874156e-01
75,1.996382e+03,-8.114653e+00,4.016270e-01
76,2.022178e+03,-8.627367e+00,4.160199e-01
77,2.048162e+03,-9.150453e+00,4.305836e-01
78,2.074317e+03,-9.683456e+00,4.453060e-01
79,2.100687e+03,-1.022622e+01,4.601756e-01
80,2.127291e+03,-1.077874e+01,4.751812e-01
81,2.154155e+03,-1.134078e+01,4.903112e-01
82,2.181288e+03,-1.191197e+01,5.055550e-01
83,2.208668e+03,-1.249208e+01,5.209003e-01
84,2.236295e+03,-1.308060e+01,5.363356e-01
85,2.264160e+03,-1.367738e+01,5.518486e-01
86,2.292259e+03,-1.428186e+01,5.674291e-01
87,2.320561e+03,-1.489351e+01,5.830640e-01
88,2.349046e+03,-1.551179e+01,5.987407e-01
89,2.377726e+03,-1.613622e+01,6.144468e-01
90,2.406603e+03,-1.676645e+01,6.301652e-01
91,2.435687e+03,-1.740195e+01,6.458828e-01
92,2.464978e+03,-1.804248e+01,6.615846e-01
93,2.494492e+03,-1.868753e+01,6.772559e-01
94,2.524222e+03,-1.933687e+01,6.928841e-01
95,2.554183e+03,-1.999000e+01,7.084535e-01
96,2.584367e+03,-2.064645e+01,7.239500e-01
97,2.614775e+03,-2.130580e+01,7.393590e-01
98,2.645415e+03,-2.196759e+01,7.546647e-01
99,2.676264e+03,-2.263132e+01,7.698531e-01
