item,value,pass
alpha_H,2,True
D,3,True
m_1_eV,0.008476859256655313,True
m_2_eV,0.011988089327089857,True
m_3_eV,0.05086115553993188,True
Sigma_m_nu_eV,0.07132610412367706,True
splittings_ratio_SAM,34.999999999999986,True
splittings_ratio_observed,33.89487870619946,True
splittings_ratio_deviation_pct,3.260437375745498,True
Delta_m2_21_SAM_eV2,7.185714285714289e-05,True
Delta_m2_21_observed_eV2,7.42e-05,True
Delta_m2_21_deviation_pct,-3.1574894108586395,True
m_beta_eV,0.012196801325406126,True
ordering,normal,True
P1_passed,True,True
P2_passed,True,True
P3_passed,True,True
verdict,PASS,True
