source_key,path,role,used_as_computed_input
PDG_2024_mass_splittings,inline_in_runner,external_anchor_neutrino_mass_squared_splittings,True
Planck_2018_BAO_bound,inline_in_runner,external_anchor_Sigma_m_nu_cosmological_upper_bound,True
KATRIN_2024_bound,inline_in_runner,external_anchor_m_beta_KATRIN_bound,True
PDG_2024_mixing,inline_in_runner,external_anchor_mixing_angles_for_E5_m_beta_only,True
Volume_I_substrate,C:\VS\The_Courtroom\docs\SAM_VOLUME_I_SUBSTRATE.md,sealed_substrate_atoms_alpha_H_D,False
Volume_I_seal,C:\VS\The_Courtroom\docs\SAM_VOLUME_I_SUBSTRATE_SHA256.txt,sealed_manuscript_hash_sidecar,False
CR001c_summary,C:\VS\The_Courtroom\19_BIG_BANG_SUBSTRATE_DERIVED_THERMAL_LADDER\CR001c_PEEBLES_PLUS_CORRECTED_OPTICAL_DEPTH_APPEAL\CR001c_summary.json,internal_cross_check_Omega_m_anchors_Planck_bound,False
declared_premises,C:\VS\The_Courtroom\20_NEUTRINO_SELECTOR\CR001_NEUTRINO_MASS_SPECTRUM_AND_SPLITTINGS\CR001_declared_premises.json,test_precommit_and_pass_conditions,True
runner,C:\VS\The_Courtroom\20_NEUTRINO_SELECTOR\CR001_NEUTRINO_MASS_SPECTRUM_AND_SPLITTINGS\CR001_runner.py,courtroom_calculation_script,True
precommit,C:\VS\The_Courtroom\20_NEUTRINO_SELECTOR\CR001_NEUTRINO_MASS_SPECTRUM_AND_SPLITTINGS\CR001_PRECOMMIT.md,frozen_precommit_with_predictions,True
stewardship,C:\VS\The_Courtroom\STEWARDSHIP_DECLARATION.md,binding_stewardship_clause,False
