event_id,M_total_msun,E_rad_msun_c2,f_rad,primary_class,sub_class,ambiguous,is_binary
GW150914,65.3,3.1,0.04747320061255743,binary,BBH,False,True
GW151012,37.2,1.6,0.04301075268817204,binary,BBH,False,True
GW151226,21.5,1.0,0.046511627906976744,binary,BBH,False,True
GW170104,49.1,2.2,0.044806517311608965,binary,BBH,False,True
GW170608,18.6,0.85,0.04569892473118279,binary,BBH,False,True
GW170729,80.3,4.8,0.05977584059775841,binary,BBH,False,True
GW170809,56.4,2.7,0.04787234042553192,binary,BBH,False,True
GW170814,53.2,2.7,0.05075187969924812,binary,BBH,False,True
GW170817,2.74,0.025,0.009124087591240875,binary,BNS,False,True
GW170818,62.5,2.7,0.0432,binary,BBH,False,True
GW170823,68.9,3.3,0.0478955007256894,binary,BBH,False,True
GW190412,37.3,1.7,0.045576407506702415,binary,BBH-asym,False,True
GW190425,3.4,0.01,0.0029411764705882353,binary,BNS,False,True
GW190521,150.0,7.6,0.050666666666666665,binary,BBH-IMBH,False,True
GW190814,25.8,0.8,0.031007751937984496,binary,NSBH?,True,True
GW200115,6.6,0.025,0.0037878787878787884,binary,NSBH,False,True
