control,passed,observation
WC01_64_BIN_ROOT_PREFIX,True,samples=24576; max_abs_error=7.105e-15
WC02_RIGID_ROTATION_DISTANCE,True,max_abs_error=2.220e-16
WC03_GLOBAL_TRANSLATION_DISTANCE,True,max_abs_error=8.188e-16
WC04_RADIAL_ONLY_RELEASE_DIFFERS,True,max_midpath_difference=0.08605998707459515
WC05_TRACE_FREE_TENSOR,True,max_relative_trace_error=2.5997906629060057e-15
WC06_FINE_COARSE_SOURCE_POWER,True,median_relative_error=0.019361866885052904
WC07_FINE_COARSE_QNM_RESPONSE,True,median_relative_error=0.0029729547468950466
WC08_ZERO_SOURCE_ZERO_RESPONSE,True,max_abs_response=0.000e+00
WC09_UNIT_IMPULSE_SEALED_KERNEL,True,max_abs_error=1.110e-16
WC10_EXACT_QNM_FRACTIONS,True,omega_R=3/8; omega_I=4/45
