gate,passed
G01_PRECOMMIT_AND_SOURCE_CUSTODY,True
G02_PARENT_SCHEMA_AND_CONSTRUCTIVE_INPUTS,True
G03_EXACT_ROSTER_AND_LEDGER_TYPING,True
G04_EXACT_CARRIER_MATTER_HISTORY_RECONSTRUCTION,True
G05_CONTINUOUS_FLOW_ENDPOINTS_AND_RADIAL_COLLAPSE,True
G06_DIRECTIONAL_ROOTS_AND_SCAN_CONVERGENCE,True
G07_DISTANCE_INVARIANTS_AND_NONRADIAL_RELEASE,True
G08_QNM_COEFFICIENT_CUSTODY,True
G09_TRACE_FREE_FINITE_NONZERO_SOURCE,True
G10_SOURCE_GRID_CONVERGENCE,True
G11_HISTORY_POPULATION_SEPARATION,True
G12_ZERO_AND_IMPULSE_QNM_CONTROLS,True
G13_PHYSICAL_CLAIM_FIREWALL,True
G14_ATOMIC_RELEASE_INVENTORY,True
