scenario_id,lane,anchor,seed,p_level,geometry,atom_count,ledger_count,door,history_010,history_110,history_101,carriers_escape_only,carriers_return_only,carriers_dual,dual_escape_before_closure,dual_fraction_escape_before_closure,dual_median_margin,root_failures,direction_failures
REF_0001,REFERENCE_LOW_DRIVE,low_drive,910001,0,localized_ledger_cells,2268,14,discovery,3099,19678,121,223,0,29,19,0.6551724137931034,0.028278806803200496,0,0
REF_0002,REFERENCE_LOW_DRIVE,low_drive,910001,0,dispersed_slots,2268,14,discovery,1656,339,2,211,2,0,0,,,0,0
REF_0003,REFERENCE_LOW_DRIVE,low_drive,910001,1,localized_ledger_cells,3402,21,discovery,11748,29129,138,330,0,48,32,0.6666666666666666,0.030516395885669567,0,0
REF_0004,REFERENCE_LOW_DRIVE,low_drive,910001,1,dispersed_slots,3402,21,discovery,9469,1222,10,325,3,6,5,0.8333333333333334,0.1835480829309688,0,0
REF_0005,REFERENCE_LOW_DRIVE,low_drive,910001,2,localized_ledger_cells,5346,33,discovery,50188,49577,135,557,0,37,23,0.6216216216216216,0.02592073297532238,0,0
REF_0006,REFERENCE_LOW_DRIVE,low_drive,910001,2,dispersed_slots,5346,33,discovery,45008,4335,8,542,4,4,3,0.75,0.12128158100043152,0,0
REF_0007,REFERENCE_LOW_DRIVE,low_drive,910001,3,localized_ledger_cells,9072,56,discovery,250837,100902,258,934,0,74,53,0.7162162162162162,0.047056773938095375,0,0
REF_0008,REFERENCE_LOW_DRIVE,low_drive,910001,3,dispersed_slots,9072,56,discovery,209130,20352,22,942,3,17,17,1.0,0.03999133726193804,0,0
REF_0009,REFERENCE_LOW_DRIVE,low_drive,910002,0,localized_ledger_cells,2268,14,discovery,3325,20505,79,228,0,24,17,0.7083333333333334,0.06003648467986977,0,0
REF_0010,REFERENCE_LOW_DRIVE,low_drive,910002,0,dispersed_slots,2268,14,discovery,1634,336,1,213,1,0,0,,,0,0
