scenario_id,seed,door,anchor,p_level,geometry,group,carrier_count,quadrupole_change_norm,peak_source_norm,power_proxy,power_per_carrier,incoherent_power_expectation,coherence_gain,qnm_response_peak,trace_relative_error,all_carrier_coarse_power,all_carrier_coarse_response,power_convergence_relative_error,response_convergence_relative_error
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,all_carriers,252,35.17986378014612,16.64389616092584,38.06272855669651,0.15104257363768459,4.721881220155664,8.060924615007938,7.2354837380710935,1.0975397775415421e-15,37.305978628728006,7.2583140662546075,0.019881652121741252,0.0031553285184496016
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,escape_only,223,27.07611810023393,12.98109850551467,28.785120267122707,0.12908125680324084,4.275258383001649,6.732954523069724,5.538439601102909,7.810381907634859e-16,,,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,return_only,0,,,,,,,,,,,,
REF_0001,910001,discovery,low_drive,0,localized_ledger_cells,dual,29,9.414256678100703,4.378182036399802,0.9341967128597687,0.03221367975378513,0.4466228371540156,2.0916904267875935,2.0165721704662154,6.39095362285201e-16,,,,
REF_0002,910001,discovery,low_drive,0,dispersed_slots,all_carriers,252,7.83027291822715,4.072599666889133,7.98620432827632,0.03169128701696952,5.915331037252652,1.350085781840787,1.788881310824757,5.372859443331832e-16,7.833478821772189,1.794372487411938,0.019123666290803944,0.003069614822377079
REF_0002,910001,discovery,low_drive,0,dispersed_slots,escape_only,211,11.071639983659505,5.913699078504915,4.711874244429152,0.022331157556536266,4.975745550411182,0.9469684887804956,2.6833792726760195,1.0510676382836643e-15,,,,
REF_0002,910001,discovery,low_drive,0,dispersed_slots,return_only,2,1.0106420066386408,0.6114093022689152,0.01697872655481227,0.008489363277406134,0.010961695255286084,1.5489143019757439,0.2621929983207163,4.718441061233421e-16,,,,
REF_0002,910001,discovery,low_drive,0,dispersed_slots,dual,0,,,,,,,,,,,,
REF_0003,910001,discovery,low_drive,1,localized_ledger_cells,all_carriers,378,46.64491191767156,21.959353882776774,58.982751533149454,0.1560390252199721,5.105011660617633,11.553891637147288,9.791055617106569,8.917663464319225e-16,57.87473115423595,9.821151639511516,0.01878549830437755,0.0030738281531528557
REF_0003,910001,discovery,low_drive,1,localized_ledger_cells,escape_only,330,32.5742377509323,15.708341148382573,30.28803797612219,0.09178193326097633,4.015201661159477,7.543341663037632,7.007585834259872,9.729358428115424e-16,,,,
REF_0003,910001,discovery,low_drive,1,localized_ledger_cells,return_only,0,,,,,,,,,,,,
REF_0003,910001,discovery,low_drive,1,localized_ledger_cells,dual,48,15.342981954604053,7.1249845042668,5.080189459060879,0.10583728039710165,1.0898099994581556,4.661536838152252,3.2186520768191977,7.843808117809409e-16,,,,
REF_0004,910001,discovery,low_drive,1,dispersed_slots,all_carriers,378,9.17849936928829,6.711414907287455,2.4046855419034996,0.006361601962707671,8.6721422495013,0.2772885260319367,2.8093599531658127,1.0607311227037876e-15,2.3588846128034957,2.816912897777746,0.019046535732796403,0.002688493015436436
REF_0004,910001,discovery,low_drive,1,dispersed_slots,escape_only,325,9.565969860613635,7.086195556822123,2.778145194450766,0.008548139059848511,7.861782438903139,0.3533734513821483,2.9314794783530322,7.701585348890474e-16,,,,
REF_0004,910001,discovery,low_drive,1,dispersed_slots,return_only,3,1.531932158386281,0.7545528684573004,0.00961447789175415,0.0032048259639180497,0.012362645712590867,0.7777039086352028,0.34541307728700626,3.468062762938863e-16,,,,
REF_0004,910001,discovery,low_drive,1,dispersed_slots,dual,6,0.8266985656917625,0.44222668006041704,0.00863677483956202,0.0014394624732603368,0.008583261129192634,1.0062346594801106,0.19515276731238726,3.3306690738754696e-16,,,,
REF_0005,910001,discovery,low_drive,2,localized_ledger_cells,all_carriers,594,51.00566021158194,24.306055265829944,31.27696048244224,0.05265481562700714,6.04019882781975,5.1781342591551525,11.017661199907614,5.763988200926731e-16,30.68912954232165,11.051076232853575,0.018794375510068517,0.003032860816798448
REF_0005,910001,discovery,low_drive,2,localized_ledger_cells,escape_only,557,39.036862671039266,19.438304750568495,18.213026216531055,0.03269843126845791,5.452344232075896,3.3404028508296744,8.880519469884357,4.470834500952726e-16,,,,
REF_0005,910001,discovery,low_drive,2,localized_ledger_cells,return_only,0,,,,,,,,,,,,
REF_0005,910001,discovery,low_drive,2,localized_ledger_cells,dual,37,14.361156942358226,6.438628049380788,1.7995661324255374,0.0486369224979875,0.5878545957438546,3.0612436229207622,2.885806975444202,5.463983015590767e-16,,,,
REF_0006,910001,discovery,low_drive,2,dispersed_slots,all_carriers,594,7.956564194413839,5.387387411598986,1.3032508311775945,0.0021940249683124486,9.054227256703085,0.14393838305889256,2.3379844441720037,1.5215647533666855e-15,1.2751585675828474,2.3444027876133,0.02155553092520453,0.00274524642680819
REF_0006,910001,discovery,low_drive,2,dispersed_slots,escape_only,542,8.181536267271792,5.3585693608543385,1.147456196593164,0.0021170778534929224,8.386833974647551,0.13681637195415983,2.3376897082342114,8.193231527673472e-16,,,,
REF_0006,910001,discovery,low_drive,2,dispersed_slots,return_only,4,1.965279189416358,0.9250964468029748,0.011817240759524578,0.0029543101898811446,0.014116757520645448,0.8371072990551919,0.4260632561134452,3.432040953551526e-16,,,,
REF_0006,910001,discovery,low_drive,2,dispersed_slots,dual,4,0.8838939514898534,0.4867465621643866,0.009994614357711434,0.0024986535894278585,0.008873973948934497,1.12628394169576,0.2153643183869181,3.3306690738754696e-16,,,,
REF_0007,910001,discovery,low_drive,3,localized_ledger_cells,all_carriers,1008,64.39189513007464,33.02808233542838,19.02025912433885,0.018869304686844095,7.091225420415662,2.682224579912445,15.298011387253515,3.987659169664674e-16,18.677136665769925,15.34349241344845,0.018039841430438523,0.002973002506249283
REF_0007,910001,discovery,low_drive,3,localized_ledger_cells,escape_only,934,48.90841871408113,26.2186783863411,13.837977887699616,0.014815822149571323,6.409475481078701,2.158987569037508,12.171202911519691,2.4588365905176143e-16,,,,
