waveform,mass_msun,door,raw_samples,time_start_s,time_end_s,duration_s,median_dt_s,cadence_relative_mad,max_abs_hplus_D_cm,max_abs_hcross_D_cm,normalized_pixel_raw_power
s9.0.swbj15.horo.3d.gw.dat,9,discovery,115984,0.0100104,1.0419002812,1.0318898812,8.944909999919481e-06,0.039013248889287006,2.202068932,1.356900704,36879.51612321796
s10.0.swbj15.horo.3d.gw.dat,10,validation,86708,0.0100104,0.76699898053,0.7569885805300001,8.740780000016102e-06,0.058881015193546826,4.5110771471,3.9035667313,794610.9862659232
s11.0.swbj15.horo.3d.gw.dat,11,final,61453,0.0100104,0.56799888098,0.55798848098,9.251690000017243e-06,0.011364518264508523,4.6291556185,5.0782754895,801998.4872261691
s12.0.swbj15.horo.3d.gw.dat,12,discovery,60083,0.0100104,0.55006736362,0.54005696362,9.141965000014629e-06,0.020371440930226033,4.8581242305,5.1297103525,1152286.7516300029
s13.0.swbj15.horo.3d.gw.dat,13,validation,57935,0.0100104,0.51426559147,0.50425519147,8.763695000024718e-06,0.056296288263398116,4.0660182707,4.6709310031,613729.9408867788
s14.0.swbj16.horo.3d.gw.dat,14,final,88931,0.0100104,0.74234845841,0.73233805841,8.144104999996404e-06,0.09419021488463891,4.499301703,3.0015752152,489399.3752953276
s15.0.swbj16.horo.3d.gw.dat,15,discovery,77454,0.0100104,0.66957993649,0.65956953649,8.51924000000448e-06,0.08466482926406804,3.8944536891,3.7858513917,578285.8179501924
s19.0.swbj15.horo.3d.gw.dat,19,validation,106961,0.0100104,0.871,0.8609896,7.917614999963796e-06,0.08684307079441349,7.2247097551,8.5500597134,2899719.019755046
s25.0.swh18.horo.3d.gw.dat,25,final,75949,0.0100104,0.61699701407,0.60698661407,7.85389500002065e-06,0.09364398174371155,11.39923006,6.268983933,2027492.2609797218
s60.0.swbj15.horo.3d.gw.dat,60,discovery,45319,0.0100104,0.39826996449,0.38825956449000004,9.080830000007811e-06,0.02235082035402796,5.7903219362,5.243230525,1391400.2819352197
