feature_type,feature_value,occurrence_count,escape_only_count,escape_only_fraction,reinforcer_count,reinforcement_fraction,canceller_count,neutral_count,median_delta_power_fraction,q10_delta_power_fraction,q90_delta_power_fraction,discovery_median_delta_power_fraction,validation_median_delta_power_fraction,final_median_delta_power_fraction,localized_median_delta_power_fraction,dispersed_median_delta_power_fraction,worst_door_median_delta_power_fraction,population_pass,door_stable,geometry_stable,candidate_status,ledger_slot,candidate_rank
ledger_slot,16,2976,2729,0.917002688172043,1683,0.5655241935483871,1293,0,0.0007172336852010719,-0.01908337969091685,0.030208329940063068,0.0009321768932125058,0.0007212975156387228,0.0003149332275978353,0.0008381504283182335,0.0005621447552494917,0.0003149332275978353,True,True,True,strong_candidate,16,1
ledger_slot,13,2976,2661,0.8941532258064516,1614,0.5423387096774194,1362,0,0.00041596767989380304,-0.018209566239113444,0.035238256569005234,0.00023594748777873675,0.0008389558392513521,0.0004181109009158382,0.0004744273886467045,0.00029476229121335,0.00023594748777873675,True,True,True,strong_candidate,13,2
ledger_slot,17,2976,2754,0.9254032258064516,1552,0.521505376344086,1424,0,0.00032781551273268787,-0.03583630366194057,0.04302620935479805,0.0002907792764333401,0.0007475209187473692,0.0001218790847829944,0.0007015825123304472,-0.0003246680661361806,0.0001218790847829944,True,True,False,directional_candidate,17,3
ledger_slot,14,2976,2783,0.9351478494623656,1601,0.5379704301075269,1375,0,0.00047280777646728153,-0.028506528126931364,0.04737450990953866,0.0004278389310385709,0.001561447816724249,7.568201341776862e-05,0.0004101498981040169,0.0005719191946345773,7.568201341776862e-05,True,True,True,strong_candidate,14,4
ledger_slot,15,2976,2760,0.9274193548387096,1608,0.5403225806451613,1368,0,0.0001105841303374544,-0.013097586729178691,0.020957913532295033,0.00010778808875081108,0.00023812879976509654,5.64222138096502e-05,0.00017825206538821622,1.0913390737423434e-05,5.64222138096502e-05,True,True,True,strong_candidate,15,5
ledger_slot,4,2976,2733,0.9183467741935484,1599,0.5372983870967742,1377,0,0.0003411334470416152,-0.02286483048461999,0.0346098712414552,0.00024033177524657715,0.0011096006747832474,1.9701011470540216e-05,0.000628334946642376,7.075032252258558e-05,1.9701011470540216e-05,True,True,True,strong_candidate,4,6
ledger_slot,2,2976,2774,0.9321236559139785,1565,0.5258736559139785,1411,0,0.00045112781962613227,-0.03219225311829483,0.048930050158494984,0.0002678329509311608,0.0017465512042538441,1.9454888912051484e-05,0.0006506490134369585,0.00026387247995572323,1.9454888912051484e-05,True,True,True,strong_candidate,2,7
ledger_slot,3,2976,2791,0.9378360215053764,1695,0.5695564516129032,1281,0,0.00026667036800332366,-0.013119432384350252,0.022291935484663544,0.00034185456875076886,0.0005887214478505493,1.8061791956813417e-05,0.0002430774481574296,0.0003318332019262211,1.8061791956813417e-05,True,True,True,strong_candidate,3,8
ledger_slot,6,2976,2762,0.9280913978494624,1493,0.5016801075268817,1483,0,2.7030864845468497e-06,-0.01878655008061348,0.016428364568719996,-3.342362673145286e-07,7.611683866641686e-05,-5.465231053766154e-05,6.602014783599835e-05,-7.591700501886152e-05,-5.465231053766154e-05,True,False,False,not_stable,6,9
ledger_slot,12,2976,2725,0.9156586021505376,1485,0.49899193548387094,1491,0,-2.1568290681480608e-06,-0.014265053961227736,0.02069770147994955,-0.00012874038710062035,1.7039456462489657e-05,8.891485110744121e-05,-4.887487637172312e-05,3.557523381537923e-05,-0.00012874038710062035,False,False,False,not_stable,12,10
ledger_slot,1,2976,2769,0.9304435483870968,1539,0.5171370967741935,1437,0,0.00010510371870182689,-0.024656299084350047,0.03530013873029618,-0.00014112443083389939,0.0004422970666948673,0.0002868491802206617,0.00010738901359335046,9.440057480509991e-05,-0.00014112443083389939,True,False,True,not_stable,1,11
ledger_slot,0,2976,2801,0.9411962365591398,1447,0.4862231182795699,1529,0,-2.3886462572441713e-05,-0.01607099723997698,0.019248452251926274,-0.00015325051043864658,0.00012374647680746319,-4.3624125050139034e-05,-2.5369283536626168e-05,-1.9599844989418683e-05,-0.00015325051043864658,False,False,False,not_stable,0,12
ledger_slot,5,2976,2823,0.9485887096774194,1526,0.5127688172043011,1450,0,0.0002685827801956643,-0.037837275446407595,0.040270837861768806,-0.00017715665572106857,0.0013912189538052861,0.00028254441596533035,0.0008852023460801386,-0.0005822695435844395,-0.00017715665572106857,True,False,False,not_stable,5,13
ledger_slot,9,2976,2749,0.9237231182795699,1561,0.5245295698924731,1415,0,4.711915492853641e-05,-0.01565622617152614,0.015631103680926392,0.00015948044953614888,-0.00020575547564966637,7.264584271982407e-05,3.6165506440465604e-05,6.483776022840538e-05,-0.00020575547564966637,True,False,True,not_stable,9,14
ledger_slot,7,2976,2706,0.9092741935483871,1539,0.5171370967741935,1437,0,0.00011796318888794083,-0.028077731273091176,0.024112251092404516,0.00042791413958073266,-0.00025317792988403766,-0.00016133730946534496,6.756803329615178e-05,0.00024904297624707113,-0.00025317792988403766,True,False,True,not_stable,7,15
ledger_slot,10,2976,2747,0.9230510752688172,1418,0.47647849462365593,1558,0,-0.0001960938008236878,-0.028212510788686723,0.02108710919700063,-0.0002775974474725816,-0.0005296260252028323,9.427016974924692e-05,-0.00013774352585501146,-0.0002761318256721415,-0.0005296260252028323,False,False,False,not_stable,10,16
ledger_slot,11,2976,2758,0.926747311827957,1447,0.4862231182795699,1529,0,-0.00022819399320732207,-0.04116332220857433,0.03254213642623109,-0.00042577013442811546,-0.0006112961655612024,0.00048702744075353676,-0.00015455110814750962,-0.0003151020696357301,-0.0006112961655612024,False,False,False,not_stable,11,17
ledger_slot,8,2976,2718,0.9133064516129032,1506,0.5060483870967742,1470,0,0.00010132678639696881,-0.03463342273449743,0.03802091411904411,0.0007812082544958992,-0.0007310186124662745,-0.00022484294468323848,-0.00010391522245593797,0.00043017052390574497,-0.0007310186124662745,True,False,False,not_stable,8,18
