source_id,role,path,bytes,sha256,usage_boundary
S01,courtroom_branch_boundary,C:\VS\The_Courtroom\22_SAM_CHLADNI_DESALINATION\README.md,1664,dde93fc1e92b883277d20495e2970b48f05c32b1bbf12dc1168a129916a11ff6,operative campaign boundary
S02,physical_protocol,C:\VS\The_Courtroom\22_SAM_CHLADNI_DESALINATION\SCD-01_ACOUSTIC_ELECTRODIALYSIS_CRYSTALLIZATION_TEST\SCD-01_PROTOCOL.md,12091,4aa9c6b41d0c6e892590078f00838c6a5fbbfebc16eaa9cbfe5c83d65f127840,physical protocol context not evidence
S03,physical_wrong_controls,C:\VS\The_Courtroom\22_SAM_CHLADNI_DESALINATION\SCD-01_ACOUSTIC_ELECTRODIALYSIS_CRYSTALLIZATION_TEST\SCD-01_WRONG_CONTROLS.csv,2195,a3899adc5216ebd540dc60419eb4a7bc7e1ffa41e6b107a07f431460b3879278,physical falsifier context
S04,physical_measurement_plan,C:\VS\The_Courtroom\22_SAM_CHLADNI_DESALINATION\SCD-01_ACOUSTIC_ELECTRODIALYSIS_CRYSTALLIZATION_TEST\SCD-01_MEASUREMENT_PLAN.csv,1437,d050b2d60eac4caf3b9a33c1914cfd50567392ec0f9993eed9304ab75cbf4b0b,physical measurement context
S05,helper_field_simulator_boundary,C:\VS\The_Courtroom\22_SAM_CHLADNI_DESALINATION\SCD-02_HELPER_FIELD_ION_ESCAPE_SIM\README.md,2595,0baa3520d0b410a0e942051984d6305d2376049b62d3b4339ca0efe17039aa61,conceptual simulator only
S06,basement_branch_boundary,C:\VS\The_Basement\22_SAM_CHLADNI_DESALINATION\README.md,1819,4ce82a6510580773a19dd0efb253ae7f997655a886af1789d304b0531bf766ed,basement source context
S07,basement_first_sweep,C:\VS\The_Basement\22_SAM_CHLADNI_DESALINATION\SCD-03_BASEMENT_FIRST_SWEEP\README.md,3681,f27c370f87ff828a8250f68a7171139dd76a688697ad535a32a94c4a466cabdf,model screen only
S08,basement_first_sweep_controls,C:\VS\The_Basement\22_SAM_CHLADNI_DESALINATION\SCD-03_BASEMENT_FIRST_SWEEP\SCD-03_CONTROL_MATRIX.csv,1626,44893bd4ffbef110aa5e76223438d64591c4c13ef62e6f37e931a0fb92672b70,control design context
S09,control_calibrated_sweep,C:\VS\The_Basement\22_SAM_CHLADNI_DESALINATION\SCD-04_CONTROL_CALIBRATED_ASSISTED_GATE_SWEEP\README.md,3506,27763439f3015adab4d4008a1988bc6f75c6f6ea2abc5a92404c8858cbbe5683,expected-value model only
S10,next_build_decision,C:\VS\The_Basement\22_SAM_CHLADNI_DESALINATION\SCD-04_CONTROL_CALIBRATED_ASSISTED_GATE_SWEEP\SCD-04_NEXT_BUILD_DECISION.md,1824,e6a926ee8a02dac48b2fcc1848a537e60d71b2408a2334b341c680e730ac961a,physical handoff context only
S11,historical_chladni_route_boundary,C:\VS\The_Courtroom\15_SCALE_BRIDGE_SIMULATOR\CR203_CHLADNI_TO_PARTICLE_ROUTE_BRIDGE\CR203_result.md,1605,75c67a3d69ef3a6e43f3a5e87fa1abacbd2504ad06f07833dfa33479502bf570,historical route support no particle promotion
S12,typed_shape_candidate,C:\VS\The_Courtroom\14_FOUNDATIONAL_TESTS\CR120U_QP093A_TYPED_MOTIF_OCTAHEDRAL_INCIDENCE_DISCOVERY\CR120U_result.md,1595,4bf141e25a13daba8c1bb0f1d215bf3c1a94c8af7d5e7e707af0712a7bef5532,candidate physical geometry remains open
S13,starbreaker_context_only,C:\VS\The_Courtroom\15_SCALE_BRIDGE_SIMULATOR\CR210_STARBREAKER_3D_EXTERNAL_COLLAPSE_CONTACT\CR210_result.md,1939,1d8ec8941df0b06bbf0acf505702f85245c957ec441baeea231f0d7fff650086,process context no typed physical readout
S14,row_geometry_open_boundary,C:\VS\The_Courtroom\09a_PARTICLE_MASS_CHAIN\CR283_EIGHTY_ROWS_PLUS_ONE_CLOSURE_ADDRESS_EQUALS_FACE_81\CR283_result.md,1820,8d57a0c71e8140769fd291393c421a1e46c9647eb4eda7a1e1acfdb806a44fff,row geometry explicitly open
S15,operative_qp093a_row_map_candidate,C:\VS\The_Courtroom\QP093A_321_ROW_BUCKET_MAP (1).csv,82518,cf137f6b861f0348f0f84eba521ffd5291b19a178bea2064bad1de9b145a8597,candidate grammar input no observed desalination targets
S16,qp093a_interpretation_context,C:\VS\The_Courtroom\QP093A_321_ROW_STRUCTURAL_INTERPRETATION.md,6862,548f2ef8814cf6d965830e3b6d8ba550a651b4dda6eefbbadd3da2da9bed26cc,interpretation context physical meaning open
S17,stewardship_intent,C:\VS\SAM_Research_Project\STEWARDSHIP_DECLARATION.md,4057,9b5be452c19e8830081f4024a34c0c3a4f75042b03beaa0fa2a5c2bcf0d655ca,stewardship context not scientific evidence
S18,user_campaign_brief,C:\Users\drwho\.codex\attachments\ba7fd12c-e331-46ed-b8ef-36bfe660e11a\pasted-text.txt,7333,7d4ae050ec2236f0ff5b61162751e808c8d0867c02ae35ef9dbac998fa0aa3cf,user direction and hypothesis context
