gate_id,pair_id,cell_id,triad_candidate_id,triad_signature,source_matter_row_allowed,source_subbucket,entry_face_id,entry_state,entry_bits,exit_face_id,exit_state,exit_bits,entry_vertices,exit_vertices,entry_edges,exit_edges,complementary,vertex_disjoint,edge_disjoint,provenance_pass,physical_scale_status,material_status,species_score_status,acoustic_dependency,starbreaker_dependency
CELL_QP093A-0115_GATE_000_TO_111,CELL_QP093A-0115_PAIR_000_111,CELL_QP093A-0115,QP093A-0115,1+1+1,yes,TRIAD_ALLOWED,CELL_QP093A-0115_f_---,---,000,CELL_QP093A-0115_f_+++,+++,111,CELL_QP093A-0115_v_-x;CELL_QP093A-0115_v_-y;CELL_QP093A-0115_v_-z,CELL_QP093A-0115_v_+x;CELL_QP093A-0115_v_+y;CELL_QP093A-0115_v_+z,CELL_QP093A-0115_e_-x_-y;CELL_QP093A-0115_e_-x_-z;CELL_QP093A-0115_e_-y_-z,CELL_QP093A-0115_e_+x_+y;CELL_QP093A-0115_e_+x_+z;CELL_QP093A-0115_e_+y_+z,true,true,true,true,OPEN_NO_UNIT_MAPPING,OPEN_CONVENTIONAL_ENGINEERING_INPUT,UNEMITTED_CR286_GATE,false,false
CELL_QP093A-0115_GATE_001_TO_110,CELL_QP093A-0115_PAIR_001_110,CELL_QP093A-0115,QP093A-0115,1+1+1,yes,TRIAD_ALLOWED,CELL_QP093A-0115_f_--+,--+,001,CELL_QP093A-0115_f_++-,++-,110,CELL_QP093A-0115_v_+z;CELL_QP093A-0115_v_-x;CELL_QP093A-0115_v_-y,CELL_QP093A-0115_v_+x;CELL_QP093A-0115_v_+y;CELL_QP093A-0115_v_-z,CELL_QP093A-0115_e_-x_+z;CELL_QP093A-0115_e_-x_-y;CELL_QP093A-0115_e_-y_+z,CELL_QP093A-0115_e_+x_+y;CELL_QP093A-0115_e_+x_-z;CELL_QP093A-0115_e_+y_-z,true,true,true,true,OPEN_NO_UNIT_MAPPING,OPEN_CONVENTIONAL_ENGINEERING_INPUT,UNEMITTED_CR286_GATE,false,false
CELL_QP093A-0115_GATE_010_TO_101,CELL_QP093A-0115_PAIR_010_101,CELL_QP093A-0115,QP093A-0115,1+1+1,yes,TRIAD_ALLOWED,CELL_QP093A-0115_f_-+-,-+-,010,CELL_QP093A-0115_f_+-+,+-+,101,CELL_QP093A-0115_v_+y;CELL_QP093A-0115_v_-x;CELL_QP093A-0115_v_-z,CELL_QP093A-0115_v_+x;CELL_QP093A-0115_v_+z;CELL_QP093A-0115_v_-y,CELL_QP093A-0115_e_+y_-z;CELL_QP093A-0115_e_-x_+y;CELL_QP093A-0115_e_-x_-z,CELL_QP093A-0115_e_+x_+z;CELL_QP093A-0115_e_+x_-y;CELL_QP093A-0115_e_-y_+z,true,true,true,true,OPEN_NO_UNIT_MAPPING,OPEN_CONVENTIONAL_ENGINEERING_INPUT,UNEMITTED_CR286_GATE,false,false
CELL_QP093A-0115_GATE_011_TO_100,CELL_QP093A-0115_PAIR_011_100,CELL_QP093A-0115,QP093A-0115,1+1+1,yes,TRIAD_ALLOWED,CELL_QP093A-0115_f_-++,-++,011,CELL_QP093A-0115_f_+--,+--,100,CELL_QP093A-0115_v_+y;CELL_QP093A-0115_v_+z;CELL_QP093A-0115_v_-x,CELL_QP093A-0115_v_+x;CELL_QP093A-0115_v_-y;CELL_QP093A-0115_v_-z,CELL_QP093A-0115_e_+y_+z;CELL_QP093A-0115_e_-x_+y;CELL_QP093A-0115_e_-x_+z,CELL_QP093A-0115_e_+x_-y;CELL_QP093A-0115_e_+x_-z;CELL_QP093A-0115_e_-y_-z,true,true,true,true,OPEN_NO_UNIT_MAPPING,OPEN_CONVENTIONAL_ENGINEERING_INPUT,UNEMITTED_CR286_GATE,false,false
CELL_QP093A-0115_GATE_100_TO_011,CELL_QP093A-0115_PAIR_011_100,CELL_QP093A-0115,QP093A-0115,1+1+1,yes,TRIAD_ALLOWED,CELL_QP093A-0115_f_+--,+--,100,CELL_QP093A-0115_f_-++,-++,011,CELL_QP093A-0115_v_+x;CELL_QP093A-0115_v_-y;CELL_QP093A-0115_v_-z,CELL_QP093A-0115_v_+y;CELL_QP093A-0115_v_+z;CELL_QP093A-0115_v_-x,CELL_QP093A-0115_e_+x_-y;CELL_QP093A-0115_e_+x_-z;CELL_QP093A-0115_e_-y_-z,CELL_QP093A-0115_e_+y_+z;CELL_QP093A-0115_e_-x_+y;CELL_QP093A-0115_e_-x_+z,true,true,true,true,OPEN_NO_UNIT_MAPPING,OPEN_CONVENTIONAL_ENGINEERING_INPUT,UNEMITTED_CR286_GATE,false,false
CELL_QP093A-0115_GATE_101_TO_010,CELL_QP093A-0115_PAIR_010_101,CELL_QP093A-0115,QP093A-0115,1+1+1,yes,TRIAD_ALLOWED,CELL_QP093A-0115_f_+-+,+-+,101,CELL_QP093A-0115_f_-+-,-+-,010,CELL_QP093A-0115_v_+x;CELL_QP093A-0115_v_+z;CELL_QP093A-0115_v_-y,CELL_QP093A-0115_v_+y;CELL_QP093A-0115_v_-x;CELL_QP093A-0115_v_-z,CELL_QP093A-0115_e_+x_+z;CELL_QP093A-0115_e_+x_-y;CELL_QP093A-0115_e_-y_+z,CELL_QP093A-0115_e_+y_-z;CELL_QP093A-0115_e_-x_+y;CELL_QP093A-0115_e_-x_-z,true,true,true,true,OPEN_NO_UNIT_MAPPING,OPEN_CONVENTIONAL_ENGINEERING_INPUT,UNEMITTED_CR286_GATE,false,false
CELL_QP093A-0115_GATE_110_TO_001,CELL_QP093A-0115_PAIR_001_110,CELL_QP093A-0115,QP093A-0115,1+1+1,yes,TRIAD_ALLOWED,CELL_QP093A-0115_f_++-,++-,110,CELL_QP093A-0115_f_--+,--+,001,CELL_QP093A-0115_v_+x;CELL_QP093A-0115_v_+y;CELL_QP093A-0115_v_-z,CELL_QP093A-0115_v_+z;CELL_QP093A-0115_v_-x;CELL_QP093A-0115_v_-y,CELL_QP093A-0115_e_+x_+y;CELL_QP093A-0115_e_+x_-z;CELL_QP093A-0115_e_+y_-z,CELL_QP093A-0115_e_-x_+z;CELL_QP093A-0115_e_-x_-y;CELL_QP093A-0115_e_-y_+z,true,true,true,true,OPEN_NO_UNIT_MAPPING,OPEN_CONVENTIONAL_ENGINEERING_INPUT,UNEMITTED_CR286_GATE,false,false
CELL_QP093A-0115_GATE_111_TO_000,CELL_QP093A-0115_PAIR_000_111,CELL_QP093A-0115,QP093A-0115,1+1+1,yes,TRIAD_ALLOWED,CELL_QP093A-0115_f_+++,+++,111,CELL_QP093A-0115_f_---,---,000,CELL_QP093A-0115_v_+x;CELL_QP093A-0115_v_+y;CELL_QP093A-0115_v_+z,CELL_QP093A-0115_v_-x;CELL_QP093A-0115_v_-y;CELL_QP093A-0115_v_-z,CELL_QP093A-0115_e_+x_+y;CELL_QP093A-0115_e_+x_+z;CELL_QP093A-0115_e_+y_+z,CELL_QP093A-0115_e_-x_-y;CELL_QP093A-0115_e_-x_-z;CELL_QP093A-0115_e_-y_-z,true,true,true,true,OPEN_NO_UNIT_MAPPING,OPEN_CONVENTIONAL_ENGINEERING_INPUT,UNEMITTED_CR286_GATE,false,false
CELL_QP093A-0116_GATE_000_TO_111,CELL_QP093A-0116_PAIR_000_111,CELL_QP093A-0116,QP093A-0116,1+1+2,yes,TRIAD_ALLOWED,CELL_QP093A-0116_f_---,---,000,CELL_QP093A-0116_f_+++,+++,111,CELL_QP093A-0116_v_-x;CELL_QP093A-0116_v_-y;CELL_QP093A-0116_v_-z,CELL_QP093A-0116_v_+x;CELL_QP093A-0116_v_+y;CELL_QP093A-0116_v_+z,CELL_QP093A-0116_e_-x_-y;CELL_QP093A-0116_e_-x_-z;CELL_QP093A-0116_e_-y_-z,CELL_QP093A-0116_e_+x_+y;CELL_QP093A-0116_e_+x_+z;CELL_QP093A-0116_e_+y_+z,true,true,true,true,OPEN_NO_UNIT_MAPPING,OPEN_CONVENTIONAL_ENGINEERING_INPUT,UNEMITTED_CR286_GATE,false,false
CELL_QP093A-0116_GATE_001_TO_110,CELL_QP093A-0116_PAIR_001_110,CELL_QP093A-0116,QP093A-0116,1+1+2,yes,TRIAD_ALLOWED,CELL_QP093A-0116_f_--+,--+,001,CELL_QP093A-0116_f_++-,++-,110,CELL_QP093A-0116_v_+z;CELL_QP093A-0116_v_-x;CELL_QP093A-0116_v_-y,CELL_QP093A-0116_v_+x;CELL_QP093A-0116_v_+y;CELL_QP093A-0116_v_-z,CELL_QP093A-0116_e_-x_+z;CELL_QP093A-0116_e_-x_-y;CELL_QP093A-0116_e_-y_+z,CELL_QP093A-0116_e_+x_+y;CELL_QP093A-0116_e_+x_-z;CELL_QP093A-0116_e_+y_-z,true,true,true,true,OPEN_NO_UNIT_MAPPING,OPEN_CONVENTIONAL_ENGINEERING_INPUT,UNEMITTED_CR286_GATE,false,false
