pair_id,cell_id,triad_candidate_id,triad_signature,low_face_bits,high_face_bits,directed_gate_count,complementary,vertex_disjoint,edge_disjoint,physical_scale_status
CELL_QP093A-0115_PAIR_000_111,CELL_QP093A-0115,QP093A-0115,1+1+1,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0115_PAIR_001_110,CELL_QP093A-0115,QP093A-0115,1+1+1,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0115_PAIR_010_101,CELL_QP093A-0115,QP093A-0115,1+1+1,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0115_PAIR_011_100,CELL_QP093A-0115,QP093A-0115,1+1+1,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0116_PAIR_000_111,CELL_QP093A-0116,QP093A-0116,1+1+2,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0116_PAIR_001_110,CELL_QP093A-0116,QP093A-0116,1+1+2,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0116_PAIR_010_101,CELL_QP093A-0116,QP093A-0116,1+1+2,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0116_PAIR_011_100,CELL_QP093A-0116,QP093A-0116,1+1+2,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0117_PAIR_000_111,CELL_QP093A-0117,QP093A-0117,1+1+3,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0117_PAIR_001_110,CELL_QP093A-0117,QP093A-0117,1+1+3,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0117_PAIR_010_101,CELL_QP093A-0117,QP093A-0117,1+1+3,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0117_PAIR_011_100,CELL_QP093A-0117,QP093A-0117,1+1+3,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0118_PAIR_000_111,CELL_QP093A-0118,QP093A-0118,1+1+4,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0118_PAIR_001_110,CELL_QP093A-0118,QP093A-0118,1+1+4,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0118_PAIR_010_101,CELL_QP093A-0118,QP093A-0118,1+1+4,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0118_PAIR_011_100,CELL_QP093A-0118,QP093A-0118,1+1+4,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0119_PAIR_000_111,CELL_QP093A-0119,QP093A-0119,1+1+6,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0119_PAIR_001_110,CELL_QP093A-0119,QP093A-0119,1+1+6,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0119_PAIR_010_101,CELL_QP093A-0119,QP093A-0119,1+1+6,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0119_PAIR_011_100,CELL_QP093A-0119,QP093A-0119,1+1+6,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0120_PAIR_000_111,CELL_QP093A-0120,QP093A-0120,1+1+8,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0120_PAIR_001_110,CELL_QP093A-0120,QP093A-0120,1+1+8,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0120_PAIR_010_101,CELL_QP093A-0120,QP093A-0120,1+1+8,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0120_PAIR_011_100,CELL_QP093A-0120,QP093A-0120,1+1+8,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0121_PAIR_000_111,CELL_QP093A-0121,QP093A-0121,1+1+9,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0121_PAIR_001_110,CELL_QP093A-0121,QP093A-0121,1+1+9,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
