source_id,role,path,expected_bytes,actual_bytes,expected_sha256,actual_sha256,verified,usage_boundary
S01,live_branch_direction,C:\VS\The_Courtroom\22_SAM_CHLADNI_DESALINATION\README.md,1907,1907,d78a02f5f3aec8e784968e9497a6243855f949f5ef6cf04617024fd6be1601b1,d78a02f5f3aec8e784968e9497a6243855f949f5ef6cf04617024fd6be1601b1,true,operative passive direction
S02,acoustic_shelf_boundary,C:\VS\The_Courtroom\22_SAM_CHLADNI_DESALINATION\ACOUSTIC_LANE_SHELF_RECORD.md,2444,2444,e479f7505b3979b4a94ff88edda76e29f66338aa5c2db48c31d58cc17ae7b8cf,e479f7505b3979b4a94ff88edda76e29f66338aa5c2db48c31d58cc17ae7b8cf,true,shelved historical lane no selector use
S03,prior_campaign_intake_result,C:\VS\The_Courtroom\22_SAM_CHLADNI_DESALINATION\CR284_WATER_ION_SHAPE_SELECTIVITY_CAMPAIGN_INTAKE\CR284_result.md,1827,1827,9f9c9b5fa0d633b71bde167b749c7e9abad395eebd84cb92854bc3bee4b380b3,9f9c9b5fa0d633b71bde167b749c7e9abad395eebd84cb92854bc3bee4b380b3,true,prior source-contract gate
S04,prior_campaign_intake_summary,C:\VS\The_Courtroom\22_SAM_CHLADNI_DESALINATION\CR284_WATER_ION_SHAPE_SELECTIVITY_CAMPAIGN_INTAKE\CR284_summary.json,1052,1052,0fa7f69be96d336b6d8b1923a6a3959abb0df10e778e72da6f590724162422a3,0fa7f69be96d336b6d8b1923a6a3959abb0df10e778e72da6f590724162422a3,true,prior machine-readable gate
S05,operative_shape_result,C:\VS\The_Courtroom\14_FOUNDATIONAL_TESTS\CR120U_QP093A_TYPED_MOTIF_OCTAHEDRAL_INCIDENCE_DISCOVERY\CR120U_result.md,1595,1595,4bf141e25a13daba8c1bb0f1d215bf3c1a94c8af7d5e7e707af0712a7bef5532,4bf141e25a13daba8c1bb0f1d215bf3c1a94c8af7d5e7e707af0712a7bef5532,true,operative topology result physical ontology open
S06,operative_shape_summary,C:\VS\The_Courtroom\14_FOUNDATIONAL_TESTS\CR120U_QP093A_TYPED_MOTIF_OCTAHEDRAL_INCIDENCE_DISCOVERY\CR120U_summary.json,7273,7273,d8efb491fd25f0cab7b927b26a67f2e58dca003fd498111901f9f7dce0fef9eb,d8efb491fd25f0cab7b927b26a67f2e58dca003fd498111901f9f7dce0fef9eb,true,operative topology summary
S07,operative_geometry_contract,C:\VS\The_Courtroom\14_FOUNDATIONAL_TESTS\CR120U_QP093A_TYPED_MOTIF_OCTAHEDRAL_INCIDENCE_DISCOVERY\CR120U_GEOMETRY_CONTRACT.json,1727,1727,21b046f6e6089e91a5e7667c7fe33bc8a4c6183e99eee0eac9002e3574e55b7e,21b046f6e6089e91a5e7667c7fe33bc8a4c6183e99eee0eac9002e3574e55b7e,true,operative V6 E12 F8 contract
S08,source_cell_templates,C:\VS\The_Courtroom\14_FOUNDATIONAL_TESTS\CR120U_QP093A_TYPED_MOTIF_OCTAHEDRAL_INCIDENCE_DISCOVERY\CR120U_CELL_TEMPLATES.csv,38741,38741,84d724772587772a77ae5341c1c2ae2fe414ff9ad3dce82dfaae7b4ecb53b232,84d724772587772a77ae5341c1c2ae2fe414ff9ad3dce82dfaae7b4ecb53b232,true,operative 120-cell catalog
S09,source_face_instances,C:\VS\The_Courtroom\14_FOUNDATIONAL_TESTS\CR120U_QP093A_TYPED_MOTIF_OCTAHEDRAL_INCIDENCE_DISCOVERY\CR120U_FACE_INSTANCES.csv,222263,222263,3110daf8962c39bad36f2196a245352454c61af3222feb596dc9049e457adaf5,3110daf8962c39bad36f2196a245352454c61af3222feb596dc9049e457adaf5,true,operative signed face states
S10,source_vertex_instances,C:\VS\The_Courtroom\14_FOUNDATIONAL_TESTS\CR120U_QP093A_TYPED_MOTIF_OCTAHEDRAL_INCIDENCE_DISCOVERY\CR120U_VERTEX_INSTANCES.csv,82077,82077,be6a05f9c12730dffcfbf9cf461d2068fa3046af50c2ee052ff7e71a3ef69001,be6a05f9c12730dffcfbf9cf461d2068fa3046af50c2ee052ff7e71a3ef69001,true,operative signed vertices
S11,source_edge_instances,C:\VS\The_Courtroom\14_FOUNDATIONAL_TESTS\CR120U_QP093A_TYPED_MOTIF_OCTAHEDRAL_INCIDENCE_DISCOVERY\CR120U_EDGE_INSTANCES.csv,218435,218435,1de108ba6b9c186a1542cd1683973a668cac1eb6d611bae5aea694ab581bfc50,1de108ba6b9c186a1542cd1683973a668cac1eb6d611bae5aea694ab581bfc50,true,operative cross-axis edges
S12,source_incidence_checks,C:\VS\The_Courtroom\14_FOUNDATIONAL_TESTS\CR120U_QP093A_TYPED_MOTIF_OCTAHEDRAL_INCIDENCE_DISCOVERY\CR120U_INCIDENCE_CHECKS.csv,13012,13012,bbe316665a4da5bd4d45351da9d30bf4539465ecf76e7f2c6c1954841cbd785a,bbe316665a4da5bd4d45351da9d30bf4539465ecf76e7f2c6c1954841cbd785a,true,operative topology checks
S13,row_geometry_open_boundary,C:\VS\The_Courtroom\09a_PARTICLE_MASS_CHAIN\CR283_EIGHTY_ROWS_PLUS_ONE_CLOSURE_ADDRESS_EQUALS_FACE_81\CR283_result.md,1820,1820,8d57a0c71e8140769fd291393c421a1e46c9647eb4eda7a1e1acfdb806a44fff,8d57a0c71e8140769fd291393c421a1e46c9647eb4eda7a1e1acfdb806a44fff,true,particle row-to-face geometry remains open
S14,operative_qp093a_row_map_candidate,C:\VS\The_Courtroom\QP093A_321_ROW_BUCKET_MAP (1).csv,82518,82518,cf137f6b861f0348f0f84eba521ffd5291b19a178bea2064bad1de9b145a8597,cf137f6b861f0348f0f84eba521ffd5291b19a178bea2064bad1de9b145a8597,true,source provenance only no water-ion targets
S15,unregistered_interface_context_only,C:\VS\The_Courtroom\15_SCALE_BRIDGE_SIMULATOR\PARTICLE_SHAPE_LEDGER_INTERFACE_UPDATED_PROPOSAL.md,28010,28010,ae3b4059f18d2cfee2e965218f37a8485739f202e285eba083ff9fc0e9e99c9b,ae3b4059f18d2cfee2e965218f37a8485739f202e285eba083ff9fc0e9e99c9b,true,constructive proposal not an operative selector
