source_id,role,path,bytes,sha256,usage_boundary
S01,live_branch_direction,C:\VS\The_Courtroom\22_SAM_CHLADNI_DESALINATION\README.md,1969,2bdc61b9eef3347b2cc4d92ec19ce4da44aa166dd2900fe4011abdac7e7f1011,operative CR286 direction
S02,frozen_species_roster,C:\VS\The_Courtroom\22_SAM_CHLADNI_DESALINATION\CR284_WATER_ION_SHAPE_SELECTIVITY_CAMPAIGN_INTAKE\CR284_species_roster.csv,666,82fd78e6a412160ac6f29bc160fb5c161edaf54ef1f0940ba1731b9cee8fe490,identity and total charge only observed targets forbidden
S03,campaign_intake_result,C:\VS\The_Courtroom\22_SAM_CHLADNI_DESALINATION\CR284_WATER_ION_SHAPE_SELECTIVITY_CAMPAIGN_INTAKE\CR284_result.md,1827,9f9c9b5fa0d633b71bde167b749c7e9abad395eebd84cb92854bc3bee4b380b3,prior observation-blind gate
S04,passive_grammar_result,C:\VS\The_Courtroom\22_SAM_CHLADNI_DESALINATION\CR285_PASSIVE_OCTAHEDRAL_MEMBRANE_CONSTRUCTION_GRAMMAR\CR285_result.md,2127,a2d1089c3310e2d0abc9999ed63cd33e2436fca113b3975fe9a5a20dc1bec954,operative passive topology result
S05,passive_grammar_summary,C:\VS\The_Courtroom\22_SAM_CHLADNI_DESALINATION\CR285_PASSIVE_OCTAHEDRAL_MEMBRANE_CONSTRUCTION_GRAMMAR\CR285_summary.json,1256,7d0eb3755f3447ecb6e258dd0c9d82e5b8be71d921c29e0b05fa727a58d7bc10,operative passive topology summary
S06,passive_gate_catalog,C:\VS\The_Courtroom\22_SAM_CHLADNI_DESALINATION\CR285_PASSIVE_OCTAHEDRAL_MEMBRANE_CONSTRUCTION_GRAMMAR\CR285_gate_catalog.csv,549743,16329b29f42529bde090d3cd78cdbe22e5b43b30401f2a8343ef3dd2e5ff79b7,gate inventory only no selection
S07,passive_cell_catalog,C:\VS\The_Courtroom\22_SAM_CHLADNI_DESALINATION\CR285_PASSIVE_OCTAHEDRAL_MEMBRANE_CONSTRUCTION_GRAMMAR\CR285_cell_catalog.csv,12748,f97a8f3034c1926a7cdd15b51fa8fd1f724a55659df7f47bd8aa18ebdaf67f49,cell inventory and source flags
S08,coefficient_free_operator,C:\VS\The_Courtroom\22_SAM_CHLADNI_DESALINATION\CR285_PASSIVE_OCTAHEDRAL_MEMBRANE_CONSTRUCTION_GRAMMAR\CR285_COMPATIBILITY_OPERATOR.md,2121,d16448713923c41915143f2d1ebf9bee848c5cdeadffc086b084ced922a1e62e,frozen future comparison rule
S09,passive_system_boundary,C:\VS\The_Courtroom\22_SAM_CHLADNI_DESALINATION\CR285_PASSIVE_OCTAHEDRAL_MEMBRANE_CONSTRUCTION_GRAMMAR\CR285_PASSIVE_MEMBRANE_SYSTEM.md,2919,5e42a3dd0c80a00be554b0c0a4ad7b6ebdcea3da2e1990956b0fc8bf18ad9c25,no material or physical scale
S10,operative_geometry_contract,C:\VS\The_Courtroom\14_FOUNDATIONAL_TESTS\CR120U_QP093A_TYPED_MOTIF_OCTAHEDRAL_INCIDENCE_DISCOVERY\CR120U_GEOMETRY_CONTRACT.json,1727,21b046f6e6089e91a5e7667c7fe33bc8a4c6183e99eee0eac9002e3574e55b7e,common OCT6 envelope and open tetra boundary
S11,operative_shape_result,C:\VS\The_Courtroom\14_FOUNDATIONAL_TESTS\CR120U_QP093A_TYPED_MOTIF_OCTAHEDRAL_INCIDENCE_DISCOVERY\CR120U_result.md,1595,4bf141e25a13daba8c1bb0f1d215bf3c1a94c8af7d5e7e707af0712a7bef5532,candidate physical ontology remains open
S12,row_geometry_open_boundary,C:\VS\The_Courtroom\09a_PARTICLE_MASS_CHAIN\CR283_EIGHTY_ROWS_PLUS_ONE_CLOSURE_ADDRESS_EQUALS_FACE_81\CR283_result.md,1820,8d57a0c71e8140769fd291393c421a1e46c9647eb4eda7a1e1acfdb806a44fff,no particle row-to-face selector
S13,acoustic_shelf_boundary,C:\VS\The_Courtroom\22_SAM_CHLADNI_DESALINATION\ACOUSTIC_LANE_SHELF_RECORD.md,2444,e479f7505b3979b4a94ff88edda76e29f66338aa5c2db48c31d58cc17ae7b8cf,shelved no graph dependency
S14,stewardship_context,C:\VS\SAM_Research_Project\STEWARDSHIP_DECLARATION.md,4057,9b5be452c19e8830081f4024a34c0c3a4f75042b03beaa0fa2a5c2bcf0d655ca,stewardship context not graph evidence
