graph_id,species_id,chemical_species,formal_charge,variant_id,variant_name,variant_class,selection_status,core_atom_count,core_bond_count,envelope_contact_count,node_count,edge_count,core_degree_sequence,topology_fingerprint,charge_typed_fingerprint,observed_targets_used,gate_selector_status,physical_coordination_claim,species_selectivity_status
SP01_EV01_OCT6_PRIMARY,SP01,H2O,0,EV01,OCT6_PRIMARY,PRIMARY_SOURCE_NATIVE,PRIMARY_FOR_ALL_SPECIES,3,2,6,10,11,2;1;1,efd01f5ffcfac856d170,07971c921355b06d6198,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP01_EV02_TET4_EVEN_CONTROL,SP01,H2O,0,EV02,TET4_EVEN_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,3,2,4,8,9,2;1;1,fab7a0cf60da49087f89,fd65cc764f260364f541,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP01_EV03_TET4_ODD_CONTROL,SP01,H2O,0,EV03,TET4_ODD_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,3,2,4,8,9,2;1;1,fab7a0cf60da49087f89,fd65cc764f260364f541,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP01_EV04_CORE_ONLY_CONTROL,SP01,H2O,0,EV04,CORE_ONLY_CONTROL,NULL_CONTROL,CONTROL_ONLY,3,2,0,4,5,2;1;1,1874d3bee1deb660343c,519dd9274eea527b6a0b,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP02_EV01_OCT6_PRIMARY,SP02,Na+,1,EV01,OCT6_PRIMARY,PRIMARY_SOURCE_NATIVE,PRIMARY_FOR_ALL_SPECIES,1,0,6,8,7,0,cd112bffb879dada73cf,5357a475928e51739587,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP02_EV02_TET4_EVEN_CONTROL,SP02,Na+,1,EV02,TET4_EVEN_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,1,0,4,6,5,0,932db2ddc764813ba91c,2ea8414b3643ec9935e1,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP02_EV03_TET4_ODD_CONTROL,SP02,Na+,1,EV03,TET4_ODD_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,1,0,4,6,5,0,932db2ddc764813ba91c,2ea8414b3643ec9935e1,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP02_EV04_CORE_ONLY_CONTROL,SP02,Na+,1,EV04,CORE_ONLY_CONTROL,NULL_CONTROL,CONTROL_ONLY,1,0,0,2,1,0,3f1dcb3b27c1f17ce81d,efcc3e1814e378464262,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP03_EV01_OCT6_PRIMARY,SP03,K+,1,EV01,OCT6_PRIMARY,PRIMARY_SOURCE_NATIVE,PRIMARY_FOR_ALL_SPECIES,1,0,6,8,7,0,cd112bffb879dada73cf,5357a475928e51739587,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP03_EV02_TET4_EVEN_CONTROL,SP03,K+,1,EV02,TET4_EVEN_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,1,0,4,6,5,0,932db2ddc764813ba91c,2ea8414b3643ec9935e1,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP03_EV03_TET4_ODD_CONTROL,SP03,K+,1,EV03,TET4_ODD_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,1,0,4,6,5,0,932db2ddc764813ba91c,2ea8414b3643ec9935e1,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP03_EV04_CORE_ONLY_CONTROL,SP03,K+,1,EV04,CORE_ONLY_CONTROL,NULL_CONTROL,CONTROL_ONLY,1,0,0,2,1,0,3f1dcb3b27c1f17ce81d,efcc3e1814e378464262,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP04_EV01_OCT6_PRIMARY,SP04,Mg2+,2,EV01,OCT6_PRIMARY,PRIMARY_SOURCE_NATIVE,PRIMARY_FOR_ALL_SPECIES,1,0,6,8,7,0,cd112bffb879dada73cf,19923b433f7faa1d5892,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP04_EV02_TET4_EVEN_CONTROL,SP04,Mg2+,2,EV02,TET4_EVEN_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,1,0,4,6,5,0,932db2ddc764813ba91c,7687b87d7d4833517a1d,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP04_EV03_TET4_ODD_CONTROL,SP04,Mg2+,2,EV03,TET4_ODD_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,1,0,4,6,5,0,932db2ddc764813ba91c,7687b87d7d4833517a1d,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP04_EV04_CORE_ONLY_CONTROL,SP04,Mg2+,2,EV04,CORE_ONLY_CONTROL,NULL_CONTROL,CONTROL_ONLY,1,0,0,2,1,0,3f1dcb3b27c1f17ce81d,c748782c24019002e19b,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP05_EV01_OCT6_PRIMARY,SP05,Ca2+,2,EV01,OCT6_PRIMARY,PRIMARY_SOURCE_NATIVE,PRIMARY_FOR_ALL_SPECIES,1,0,6,8,7,0,cd112bffb879dada73cf,19923b433f7faa1d5892,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP05_EV02_TET4_EVEN_CONTROL,SP05,Ca2+,2,EV02,TET4_EVEN_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,1,0,4,6,5,0,932db2ddc764813ba91c,7687b87d7d4833517a1d,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP05_EV03_TET4_ODD_CONTROL,SP05,Ca2+,2,EV03,TET4_ODD_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,1,0,4,6,5,0,932db2ddc764813ba91c,7687b87d7d4833517a1d,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP05_EV04_CORE_ONLY_CONTROL,SP05,Ca2+,2,EV04,CORE_ONLY_CONTROL,NULL_CONTROL,CONTROL_ONLY,1,0,0,2,1,0,3f1dcb3b27c1f17ce81d,c748782c24019002e19b,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP06_EV01_OCT6_PRIMARY,SP06,Cl-,-1,EV01,OCT6_PRIMARY,PRIMARY_SOURCE_NATIVE,PRIMARY_FOR_ALL_SPECIES,1,0,6,8,7,0,cd112bffb879dada73cf,a0ed50ddb5f2fdb584e9,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP06_EV02_TET4_EVEN_CONTROL,SP06,Cl-,-1,EV02,TET4_EVEN_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,1,0,4,6,5,0,932db2ddc764813ba91c,6ba587c7b618e0f04d23,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP06_EV03_TET4_ODD_CONTROL,SP06,Cl-,-1,EV03,TET4_ODD_CONTROL,GEOMETRY_CONTROL,CONTROL_ONLY,1,0,4,6,5,0,932db2ddc764813ba91c,6ba587c7b618e0f04d23,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
SP06_EV04_CORE_ONLY_CONTROL,SP06,Cl-,-1,EV04,CORE_ONLY_CONTROL,NULL_CONTROL,CONTROL_ONLY,1,0,0,2,1,0,3f1dcb3b27c1f17ce81d,02f18e17e829f1376b99,false,OPEN_NO_SOURCE_NATIVE_ELEMENT_TO_TRIAD_MAP,false,UNEMITTED
