graph_id,edge_id,node_u,node_v,edge_type,source_provenance,physical_interaction_claim
SP01_EV01_OCT6_PRIMARY,SP01_EV01_OCT6_PRIMARY_MEMBER_H1,SP01_EV01_OCT6_PRIMARY_FRAME,SP01_EV01_OCT6_PRIMARY_CORE_H1,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP01_EV01_OCT6_PRIMARY,SP01_EV01_OCT6_PRIMARY_MEMBER_H2,SP01_EV01_OCT6_PRIMARY_FRAME,SP01_EV01_OCT6_PRIMARY_CORE_H2,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP01_EV01_OCT6_PRIMARY,SP01_EV01_OCT6_PRIMARY_MEMBER_O1,SP01_EV01_OCT6_PRIMARY_FRAME,SP01_EV01_OCT6_PRIMARY_CORE_O1,FRAME_MEMBERSHIP,CR286 common graph construction,false
SP01_EV01_OCT6_PRIMARY,SP01_EV01_OCT6_PRIMARY_CORE_B01,SP01_EV01_OCT6_PRIMARY_CORE_O1,SP01_EV01_OCT6_PRIMARY_CORE_H1,DECLARED_CONNECTIVITY_NO_BOND_ORDER,H2O formula connectivity,connectivity_only_no_order_or_energy
SP01_EV01_OCT6_PRIMARY,SP01_EV01_OCT6_PRIMARY_CORE_B02,SP01_EV01_OCT6_PRIMARY_CORE_O1,SP01_EV01_OCT6_PRIMARY_CORE_H2,DECLARED_CONNECTIVITY_NO_BOND_ORDER,H2O formula connectivity,connectivity_only_no_order_or_energy
SP01_EV01_OCT6_PRIMARY,SP01_EV01_OCT6_PRIMARY_HYDRATION_01,SP01_EV01_OCT6_PRIMARY_FRAME,SP01_EV01_OCT6_PRIMARY_W01,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP01_EV01_OCT6_PRIMARY,SP01_EV01_OCT6_PRIMARY_HYDRATION_02,SP01_EV01_OCT6_PRIMARY_FRAME,SP01_EV01_OCT6_PRIMARY_W02,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP01_EV01_OCT6_PRIMARY,SP01_EV01_OCT6_PRIMARY_HYDRATION_03,SP01_EV01_OCT6_PRIMARY_FRAME,SP01_EV01_OCT6_PRIMARY_W03,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP01_EV01_OCT6_PRIMARY,SP01_EV01_OCT6_PRIMARY_HYDRATION_04,SP01_EV01_OCT6_PRIMARY_FRAME,SP01_EV01_OCT6_PRIMARY_W04,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP01_EV01_OCT6_PRIMARY,SP01_EV01_OCT6_PRIMARY_HYDRATION_05,SP01_EV01_OCT6_PRIMARY_FRAME,SP01_EV01_OCT6_PRIMARY_W05,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP01_EV01_OCT6_PRIMARY,SP01_EV01_OCT6_PRIMARY_HYDRATION_06,SP01_EV01_OCT6_PRIMARY_FRAME,SP01_EV01_OCT6_PRIMARY_W06,HYDRATION_SUPPORT_CANDIDATE,CR120U six signed-axis vertices,false
SP01_EV02_TET4_EVEN_CONTROL,SP01_EV02_TET4_EVEN_CONTROL_MEMBER_H1,SP01_EV02_TET4_EVEN_CONTROL_FRAME,SP01_EV02_TET4_EVEN_CONTROL_CORE_H1,FRAME_MEMBERSHIP,CR286 common graph construction,false
