census_index,assembly_template_id,opaque_token_id,disposition,template_class,structural_bucket,arity,partition_signature,component_labels,closure_depth,q_sign,q_abs,surface_sign,numeric_lane,dependency_class,M_native_source,M_native_fraction,M_native_fractional_digits,S_debit_or_credit_source,S_debit_or_credit_fraction,S_debit_or_credit_fractional_digits,M_observed_candidate_source,M_observed_candidate_fraction,M_observed_candidate_fractional_digits,qA_source_support_source,qA_source_support_fraction,qA_source_support_fractional_digits,tensor_carrier_support_source,tensor_carrier_support_fraction,tensor_carrier_support_fractional_digits,retained_write_support_source,retained_write_support_fraction,retained_write_support_fractional_digits,lift_excess_fraction,q_expected_fraction,rho_o_fraction,rho_q_fraction,rho_t_fraction,rho_r_fraction,rho_balance_fraction,raw_numeric_class_id,typed_raw_class_id,dependency_class_id,dependency_core_class_id,dependency_residual_subclass_id,scale_free_class_id,scale_lambda_fraction,scale_free_basis_q_preserved,membership_effect,particle_identity_assignment
1,TPL_58cfdae6acf2ee6faf1e70f9,TOK_00d00434c0d3fe0ecb8c82c7,LEGAL_LOCAL_TEMPLATE,UNORDERED_TRIAD,THREE_BODY_COLOR,3,3+4+6,3|4|6,3,negative,1,negative_credit,ACTIVE_LIFT,LOCAL_R2_LIFT,2196,2196,0,-0.1853298611111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,-185329861111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,100,2196.185329861111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,2196185329861111111111111111111111111111111111111111111111111111111111111111111111111111111111111111/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,96,2211.436616874035493827160493827160493827160493827160493827160493827160493827160493827160493827160493,2211436616874035493827160493827160493827160493827160493827160493827160493827160493827160493827160493/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,96,276.4295771092544367283950617283950617283950617283950617283950617283950617283950617283950617283950616,345536971386568045910493827160493827160493827160493827160493827160493827160493827160493827160493827/1250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,97,1935.007039764781057098765432098765432098765432098765432098765432098765432098765432098765432098765431,1935007039764781057098765432098765432098765432098765432098765432098765432098765432098765432098765431/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,96,7625643506462191358024691358024691358024691358024691358024691358024691358024691358024691358024691/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,63689374565972222222222222222222222222222222222222222222222222222222222222222222222222222222222222219/28800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-111/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-103/144000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1/40000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-3/8000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1/2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,RAWNUM_a6e227373b238f8570db6cc6,TYPEDRAW_c79f91bffbeec44d2569e4a7,DEP_7a2efaca0dc1d220c017fd69,DEPCORE_e55bcf688427b8a09a7cb273,DEPRES_45af428a3d53b4b09e605cf6,SHAPE_ab3b63999165ef9498888c25,2211436616874035493827160493827160493827160493827160493827160493827160493827160493827160493827160493/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,732000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/737145538958011831275720164609053497942386831275720164609053497942386831275720164609053497942386831|-185329861111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111/2211436616874035493827160493827160493827160493827160493827160493827160493827160493827160493827160493000|1|-37/737145538958011831275720164609053497942386831275720164609053497942386831275720164609053497942386831000|-1/88457464674961419753086419753086419753086419753086419753086419753086419753086419753086419753086419720|-1/5897164311664094650205761316872427983539094650205761316872427983539094650205761316872427983539094648,NONE,NONE
2,TPL_79b46f9272ea2c8b407b075a,TOK_015c560e1a10aa4d5293673c,LEGAL_LOCAL_TEMPLATE,UNARY_CONJUGATE,ONE_BODY_CONJUGATE,1,6,6,0,positive,6,positive_debit,ACTIVE_LIFT,LOCAL_R2_LIFT,9.0,9,1,4.50,9/2,2,4.50,9/2,2,4.687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002,2343750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,99,0.5859375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002,2929687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,100,4.101562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,4101562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,99,93750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,75/16,0,1/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1/20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-3/4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1/1250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,RAWNUM_8703179210e192449b5829b9,TYPEDRAW_4f02112be1b431622f2f9836,DEP_7310322f2248b82c7ca71e20,DEPCORE_d781bd87295e15f0fde7f0e6,DEPRES_c1d23bc68bd98ee3b839c693,SHAPE_9b6cff72ca063091dfb3b13e,9,1|1/2|2343750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001/4500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|0|-1/180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|-1/12000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,NONE,NONE
3,TPL_c9c04d2368bc129a963bcb05,TOK_02173cab5d4816e349e4106e,LEGAL_LOCAL_TEMPLATE,UNARY_DIRECT,ONE_BODY_DIRECT,1,4,4,1,positive,4,zero_contact,ACTIVE_LIFT,LOCAL_R2_LIFT,60.00,60,2,0,0,0,60.00,60,2,61.66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666668,1541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/25000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,98,7.708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333335,1541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,99,53.95833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333335,1079166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,98,41666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/25000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,185/3,0,1/75000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1/200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1/200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,RAWNUM_83a5073a3117fe3183badb5e,TYPEDRAW_c147fb55e8e2dd867b3867e8,DEP_d315b61afaa36c21eecd3848,DEPCORE_e90efd4c346beb413d1ad0db,DEPRES_7e0ba9927b3325d24bdbbee3,SHAPE_09c83e864646b975b3711709,1541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/25000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/513888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888889|0|1|0|0|1/12333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333336,NONE,NONE
4,TPL_0ddf20b6737a09217653acc1,TOK_034ba9120b4732871d2d2fe9,LEGAL_LOCAL_TEMPLATE,UNORDERED_TRIAD,THREE_BODY_COLOR,3,2+8+9,2|8|9,3,negative,6,negative_credit,ACTIVE_LIFT,LOCAL_R2_LIFT,5364,5364,0,-1.746093750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-447/256,99,5365.746093750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1373631/256,96,5589.318847656250000000000000000000000000000000000000000000000000000000000000000000000000000000000002,2794659423828125000000000000000000000000000000000000000000000000000000000000000000000000000000000001/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,96,698.6648559570312500000000000000000000000000000000000000000000000000000000000000000000000000000000002,3493324279785156250000000000000000000000000000000000000000000000000000000000000000000000000000000001/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,97,4890.653991699218750000000000000000000000000000000000000000000000000000000000000000000000000000000001,4890653991699218750000000000000000000000000000000000000000000000000000000000000000000000000000000001/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,96,111786376953125000000000000000000000000000000000000000000000000000000000000000000000000000000000001/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11446925/2048,0,1/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1/20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-3/4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1/1250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,RAWNUM_15fcebe3090810ff7d4fb6e0,TYPEDRAW_30edce880b093d507ff6852d,DEP_da89fe6160ddf1ec010f8c8b,DEPCORE_83197ac51dbb46e13c368ae3,DEPRES_7b703651e62eb5dec98c2a2a,SHAPE_b4acf30425c86fa1d90520fb,2794659423828125000000000000000000000000000000000000000000000000000000000000000000000000000000000001/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,894000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/931553141276041666666666666666666666666666666666666666666666666666666666666666666666666666666666667|-291015625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/931553141276041666666666666666666666666666666666666666666666666666666666666666666666666666666666667|1|0|-1/111786376953125000000000000000000000000000000000000000000000000000000000000000000000000000000000000040|-1/7452425130208333333333333333333333333333333333333333333333333333333333333333333333333333333333333336,NONE,NONE
5,TPL_343545ca202c27d63a8b1460,TOK_0353a54ae1805c0bc7b82689,LEGAL_LOCAL_TEMPLATE,UNARY_DIRECT,ONE_BODY_DIRECT,1,2,2,2,negative,2,zero_contact,ACTIVE_LIFT,LOCAL_R2_LIFT,432.0,432,1,0,0,0,432.0,432,1,438.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,438,97,54.7500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,219/4,97,383.250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1533/4,96,6,438,0,0,0,0,0,RAWNUM_27effef2f22d01bede44ef40,TYPEDRAW_c52fba08e1f610303f5e822e,DEP_c3298c11d221201bb308428c,DEPCORE_3c0453700f8663ff8d8da71a,DEPRES_73ca7a9ed16e954dab204089,SHAPE_7affee3d04578c527b3bb78a,438,72/73|0|1|0|0|0,NONE,NONE
6,TPL_b4a10c7271eda9624b68cb69,TOK_0356998f059af083410ff18d,LEGAL_LOCAL_TEMPLATE,UNARY_DIRECT,ONE_BODY_DIRECT,1,8,8,2,neutral,0,zero_contact,ZERO_FEE,LOCAL_R2_LIFT,144.000,144,3,0,0,0,144.000,144,3,144.000,144,3,18.000,18,3,126.000,126,3,0,144,0,0,0,0,0,RAWNUM_933967c467dd9539e60308b4,TYPEDRAW_37732a7742120eb04ade6709,DEP_644277b1580521a30146c665,DEPCORE_b3e5cb2deb3c38b95d717b29,DEPRES_73ca7a9ed16e954dab204089,SHAPE_4a5a7e41bcde015a08457156,144,1|0|1|0|0|0,NONE,NONE
7,TPL_264fb3a35bb7c91c6c2c0a6b,TOK_040a0d0c564e1b2ea0cdab36,LEGAL_LOCAL_TEMPLATE,UNARY_CONJUGATE,ONE_BODY_CONJUGATE,1,8,8,1,negative,8,negative_credit,ACTIVE_LIFT,LOCAL_R2_LIFT,120.00,120,2,-6.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,-6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,99,126.6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1266666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,97,133.7037037037037037037037037037037037037037037037037037037037037037037037037037037037037037037037038,668518518518518518518518518518518518518518518518518518518518518518518518518518518518518518518518519/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,97,16.71296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296298,835648148148148148148148148148148148148148148148148148148148148148148148148148148148148148148148149/50000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,98,116.9907407407407407407407407407407407407407407407407407407407407407407407407407407407407407407407408,73119212962962962962962962962962962962962962962962962962962962962962962962962962962962962962962963/625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,97,70370370370370370370370370370370370370370370370370370370370370370370370370370370370370370370370371/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,24066666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666673/180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,33/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11/180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1/200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1/40000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1/50000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,RAWNUM_3bd3ca657e6844322f4c32aa,TYPEDRAW_298490a5085857d43370d266,DEP_e2b2edc6636293373d9948f2,DEPCORE_9866597b01c9dd85279a1479,DEPRES_66d3854d93bbba4f497c952b,SHAPE_9bef2512303c9f30aace89d3,668518518518518518518518518518518518518518518518518518518518518518518518518518518518518518518518519/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/668518518518518518518518518518518518518518518518518518518518518518518518518518518518518518518518519|-6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/133703703703703703703703703703703703703703703703703703703703703703703703703703703703703703703703703800|1|33/133703703703703703703703703703703703703703703703703703703703703703703703703703703703703703703703703800|1/26740740740740740740740740740740740740740740740740740740740740740740740740740740740740740740740740760|-1/5348148148148148148148148148148148148148148148148148148148148148148148148148148148148148148148148152,NONE,NONE
8,TPL_20fe545c214a5417b1c6b9e0,TOK_040bcfc6458cf4ccc60ecfe0,NONLOCAL_NODE,CARRIER_INFRASTRUCTURE,CARRIER_INFRASTRUCTURE,0,18,,3,neutral,0,none,ZERO_SUPPORT,ZERO_SUPPORT_NONLOCAL_OR_REJECTED,18,18,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,-18,0,0,0,0,0,0,RAWNUM_696d445c7ba2f2c72d2eb29f,TYPEDRAW_20373aa3fb9b80c611b58fd6,DEP_f5a552e53e9e8114bc286d48,DEPCORE_af6fb4da5178db78d6ef5146,DEPRES_73ca7a9ed16e954dab204089,SHAPE_38c9d96c28812c6a64e0aaf9,18,1|0|0|0|0|0,NONE,NONE
9,TPL_2ea2c2651533431af8aaec43,TOK_052ff3596fba526808a95b7c,LEGAL_LOCAL_TEMPLATE,UNORDERED_TRIAD,THREE_BODY_COLOR,3,1+2+12,1|2|12,0,negative,1,negative_credit,ACTIVE_LIFT,LOCAL_R2_LIFT,5364,5364,0,-1788.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1788,96,7152.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7152,96,7201.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666663,7201666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666663/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,96,900.2083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333329,9002083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333329/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,97,6301.45833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,630145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333/100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,95,49666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666663/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,21605/3,0,-11/3000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1/40000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1/8000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,RAWNUM_f64daf4c4d588d6c649d7437,TYPEDRAW_df48b885043a7e7467f9cc33,DEP_c63e1913fb9bed375118e5d0,DEPCORE_4f26f964f002ed303d93e5f1,DEPRES_b3994fe6877479d7a8fe2f99,SHAPE_745c761d2d9b92300c09fffa,7201666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666663/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5364000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/7201666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666663|-1788000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/7201666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666663|1|0|1/288066666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666520|-1/57613333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333304,NONE,NONE
10,TPL_ffda376abfa612ca220619f8,TOK_05db2c9dc0728929b776fe91,LEGAL_LOCAL_TEMPLATE,UNORDERED_TRIAD,THREE_BODY_COLOR,3,1+1+3,1|1|3,3,neutral,0,positive_debit,ZERO_FEE,LOCAL_R2_LIFT,396,396,0,0.2434895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333334,1217447916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,100,395.7565104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,3957565104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,97,395.7565104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,3957565104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,97,49.46956380208333333333333333333333333333333333333333333333333333333333333333333333333333333333333334,2473478190104166666666666666666666666666666666666666666666666666666666666666666666666666666666666667/50000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,98,346.2869466145833333333333333333333333333333333333333333333333333333333333333333333333333333333333334,1731434733072916666666666666666666666666666666666666666666666666666666666666666666666666666666666667/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,97,0,3957565104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,167/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1/400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3/80000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1/25000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,RAWNUM_2f7a29cb582d4aee3cb02f52,TYPEDRAW_68051429e8b8e7242baadcc0,DEP_ac2ddc632bc2582cd8a884d8,DEPCORE_5ea69391dff725c92ce642b3,DEPRES_3540f755b205dc5d317d1934,SHAPE_a68bba8680394508dd003b52,396,1|1217447916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/1980000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|3957565104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/3960000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|167/1980000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|1/158400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|1/10560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,NONE,NONE
