label,Z,N,recipes,minimum_cells,construction,reference_stable
H1,1,0,1,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
H2,1,1,1,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
H3,1,2,1,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
He3,2,1,2,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
He4,2,2,2,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Li6,3,3,3,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Li7,3,4,2,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Be7,4,3,4,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Be8,4,4,4,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
C12,6,6,7,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
O-16,8,8,10,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
O-17,8,9,8,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
O-18,8,10,7,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
O-19,8,11,5,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
O-20,8,12,4,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
O-21,8,13,3,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
O-22,8,14,2,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
O-23,8,15,1,2,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
O-24,8,16,1,2,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
O-25,8,17,0,,EXTEND_INVENTORY_TEMPLATE_BASIS,False
O-26,8,18,0,,EXTEND_INVENTORY_TEMPLATE_BASIS,False
F-18,9,9,12,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
F-19,9,10,10,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
F-20,9,11,8,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
F-21,9,12,7,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
F-22,9,13,5,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
F-23,9,14,4,1,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
F-24,9,15,3,2,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
F-25,9,16,2,2,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
F-26,9,17,1,2,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
